wall_type,floor_area_m2,total_wall_area_m2,labor_count,duration_days
Brick,186.7,357.2,16,10
Brick,133.6,261.5,13,10
Concrete Block,190.6,341.1,14,7
Concrete Block,251.4,453.2,18,8
Concrete Block,235.4,425,4,17
Brick,208.2,330.9,13,10
Brick,131.6,238.9,15,8
Brick,240.9,408.8,10,12
Concrete Block,178.7,293.1,17,6
Concrete Block,251.4,453.2,20,8
Brick,190.8,330.2,4,19
Concrete Block,219.1,443.9,15,9
Brick,178.7,296,10,10
Brick,213.4,348.4,13,10
Brick,215.3,404.8,6,17
Brick,96,186.3,15,8
Concrete Block,178.7,293.1,16,6
Brick,159.6,287.1,3,19
Brick,140.4,227.7,15,8
Brick,213.4,348.4,4,17
Brick,184.1,300.8,16,9
Brick,172.2,333.9,8,13
Brick,260.2,428.5,13,11
Concrete Block,145.7,215.3,4,10
Brick,233.1,398.6,20,9
Brick,142.1,261.9,11,9
Brick,257.2,433.9,20,10
Concrete Block,162.5,266.2,7,8
Brick,184.1,300.8,14,9
Concrete Block,102.3,154.5,3,9
Concrete Block,207.1,332.8,18,7
Brick,144,230.4,18,8
Concrete Block,120.5,233.9,12,6
Brick,257.2,433.9,9,14
Brick,142.1,261.9,8,11
Brick,160.2,328.4,10,11
Brick,142.1,261.9,19,8
Brick,221.9,420.3,16,9
Brick,240.9,408.8,14,10
Brick,233.1,398.6,14,10
Brick,240.9,408.8,6,16
Brick,264.9,481.7,19,11
Concrete Block,202.5,370.7,14,7
Brick,91.9,141.9,3,11
Brick,91.9,141.9,13,7
Brick,269.5,500,20,10
Concrete Block,137.3,237.4,15,6
Brick,145.7,269,15,8
Concrete Block,219.6,429.2,13,8
Concrete Block,225.3,364.4,18,7
Concrete Block,162.5,266.2,18,6
Brick,115.4,200.3,14,8
Brick,178.7,309.7,7,12
Brick,154.3,230.1,14,8
Brick,120,201.5,7,10
Concrete Block,132.1,240.9,7,10
Concrete Block,156.4,274.2,3,13
Brick,260.2,428.5,5,17
Brick,144,230.4,6,11
Concrete Block,221.3,397.4,7,11
Concrete Block,102.3,154.5,19,5
Concrete Block,207.1,332.8,2,23
Concrete Block,244.3,388.4,10,9
Brick,190.4,369.7,10,12
Brick,166.5,302.1,17,9
Brick,270.8,500,16,12
Brick,157.3,239.5,6,11
Concrete Block,171.1,317.8,5,11
Brick,233.1,398.6,12,11
Concrete Block,219.6,429.2,12,9
Concrete Block,178.7,293.1,6,9
Concrete Block,120.5,233.9,19,6
Brick,220.9,443.3,13,12
Brick,158.7,282.5,6,13
Brick,218.3,393.4,3,21
Brick,229.3,381,19,9
Brick,117.1,207.8,2,17
Concrete Block,177.2,332.6,5,15
Brick,120,201.5,10,8
Brick,190.4,369.7,19,9
Concrete Block,157.6,309.3,8,10
Concrete Block,202.9,365.5,2,22
Concrete Block,137.3,237.4,18,6
Concrete Block,207.1,332.8,11,9
Brick,144,230.4,19,8
Brick,127.6,226,5,12
Brick,212.4,371.4,19,10
Concrete Block,219.1,443.9,13,9
Concrete Block,260.9,433.5,4,18
Brick,208.2,330.9,10,11
Brick,144,230.4,9,10
Brick,131.6,238.9,19,8
Concrete Block,171.1,317.8,6,10
Concrete Block,218.1,418.9,6,13
Concrete Block,145.7,215.3,11,6
Brick,270.8,500,14,12
Brick,178.3,300.5,13,9
Concrete Block,157.6,309.3,12,9
Brick,115.4,200.3,18,7
Brick,217.5,394.8,15,11
Brick,142.1,261.9,3,17
Brick,220.9,443.3,3,26
Brick,180.7,281.2,2,22
Concrete Block,110.8,212.9,4,9
Brick,180.7,281.2,18,8
Brick,233.1,398.6,17,10
Concrete Block,203.2,352,4,13
Brick,213.4,348.4,20,8
Concrete Block,260.9,433.5,19,8
Brick,262.5,500,16,12
Concrete Block,177.2,332.6,7,12
Brick,172.2,333.9,7,14
Concrete Block,221.3,397.4,17,7
Brick,260.2,428.5,8,13
Concrete Block,120.5,233.9,18,6
Brick,253.9,439.4,20,10
Brick,172.2,333.9,12,11
Brick,270.8,500,7,17
Brick,210.5,415.2,4,19
Brick,213.8,354.6,6,15
Concrete Block,144.3,247.2,20,6
Concrete Block,174.5,317.1,19,7
Brick,157.3,239.5,17,7
Concrete Block,190.6,341.1,5,11
Brick,113.6,190.5,11,8
Concrete Block,244.3,388.4,4,15
Brick,221.9,386.7,3,20
Brick,197.6,343,9,12
Brick,167.4,304.8,16,8
Brick,172.2,333.9,14,10
Brick,270.8,500,6,19
Brick,117.5,208.8,2,18
Concrete Block,190.6,341.1,16,7
Brick,213.8,354.6,12,11
Brick,167.4,304.8,14,8
Brick,223.2,346,11,12
Concrete Block,120.5,233.9,9,7
Brick,249.7,454.4,8,17
Brick,190.4,369.7,11,12
Concrete Block,160.6,251.7,13,7
Brick,208.2,330.9,15,10
Brick,144,230.4,15,8
Brick,253.9,439.4,7,16
Concrete Block,219.1,443.9,9,11
Concrete Block,110.8,212.9,16,6
Concrete Block,202.5,370.7,7,10
Brick,181.2,357,2,27
Brick,173.3,283.9,10,12
Brick,166.5,302.1,5,15
Brick,113.6,190.5,3,14
Concrete Block,260.9,433.5,9,12
Brick,115.4,200.3,9,9
Concrete Block,207.1,332.8,20,7
Concrete Block,253.1,457.6,14,9
Concrete Block,143.5,240.4,8,7
Brick,232.9,365.7,17,10
Concrete Block,221.3,397.4,5,13
Concrete Block,253.1,457.6,3,20
Brick,96,186.3,4,12
Brick,113.6,190.5,7,9
Concrete Block,246.5,387.4,8,9
Brick,186.7,357.2,12,11
Brick,127.6,226,14,8
Brick,144,230.4,16,8
Brick,212.4,371.4,17,10
Brick,166.6,248.9,13,9
Brick,96,186.3,9,9
Brick,197.6,343,20,9
Concrete Block,132.1,240.9,16,7
Brick,220.9,443.3,12,12
Brick,220.9,443.3,19,10
Brick,249.8,454.7,8,16
Brick,172.2,333.9,13,10
Brick,197.6,343,15,10
Brick,200.6,366.5,11,11
Concrete Block,207.1,332.8,4,15
Concrete Block,199.3,400.8,12,9
Brick,113.6,190.5,15,7
Brick,133.1,287.8,12,11
Concrete Block,221.3,397.4,13,8
Brick,180.7,281.2,10,10
Brick,228.7,361.6,4,17
Concrete Block,171.1,317.8,14,7
Brick,190.8,330.2,17,9
Brick,255.1,402.1,7,14
Brick,249.8,454.7,13,13
Brick,200.6,366.5,19,9
Brick,232.6,470.4,20,10
Concrete Block,170.8,309.1,8,10
Brick,208.7,324.1,18,9
Concrete Block,235.4,425,17,8
Brick,140.4,227.7,9,9
Brick,213.4,348.4,16,9
Brick,133.6,261.5,19,9
Concrete Block,144.3,247.2,11,7
Brick,117.1,207.8,12,8
Brick,215.3,404.8,20,10
Concrete Block,218.1,418.9,12,9
Brick,227.4,331.3,16,9
Brick,221.9,386.7,4,17
Brick,223.2,346,8,14
Brick,190.8,330.2,7,14
Brick,217.5,394.8,10,14
Brick,157.3,239.5,15,8
Brick,221.9,420.3,6,15
Concrete Block,162.4,311.8,16,7
Concrete Block,157.6,309.3,18,7
Brick,133.6,261.5,15,10
Brick,255.1,402.1,14,10
Concrete Block,219.1,443.9,4,18
Brick,159.6,287.1,2,24
Concrete Block,207.1,332.8,9,10
Brick,166.6,248.9,17,8
Brick,172.2,333.9,15,10
Brick,260.2,428.5,18,9
Brick,205.1,378.2,7,15
Brick,172.4,327.8,2,25
Brick,142.1,261.9,16,8
Brick,172.4,327.8,8,12
Brick,141.5,225.2,10,8
Brick,217.5,394.8,12,13
Brick,223.2,346,16,10
Brick,133.1,287.8,6,15
Brick,249.7,454.4,12,14
Brick,127.6,226,6,11
Brick,257.2,433.9,18,11
Concrete Block,218.1,418.9,13,9
Brick,252.7,419.1,14,11
Concrete Block,203.2,352,13,7
Brick,221.9,420.3,10,11
Brick,200.6,366.5,3,22
Brick,233.6,358.7,4,19
Brick,120,201.5,5,11
Brick,133.1,287.8,2,27
Brick,120,201.5,19,7
Brick,167.4,304.8,7,11
Brick,154.3,230.1,18,7
Brick,217.5,394.8,13,12
Concrete Block,246.5,387.4,10,8
Concrete Block,190.6,341.1,20,6
Brick,215.3,404.8,4,22
Brick,154.3,230.1,5,11
Brick,166.6,248.9,7,12
Brick,223.2,346,17,10
Brick,178.7,296,3,19
Brick,208.7,324.1,13,10
Brick,220.9,443.3,9,14
Brick,127.6,226,15,8
Brick,120,201.5,20,7
Concrete Block,170.8,309.1,13,8
Brick,166.6,248.9,19,8
Concrete Block,199.3,400.8,11,9
Brick,227.4,331.3,5,14
Brick,249.7,454.4,11,15
Concrete Block,218.1,418.9,3,20
Brick,192.1,307.6,6,13
Concrete Block,177.2,332.6,3,20
Brick,141.2,262.3,7,11
Concrete Block,244.3,388.4,19,7
Concrete Block,225.3,364.4,17,8
Brick,184.1,300.8,20,8
Brick,127.6,226,15,8
Brick,186.7,357.2,9,13
Brick,181.2,357,11,11
Concrete Block,120.5,233.9,13,6
Concrete Block,251.4,453.2,7,13
Concrete Block,202.9,365.5,16,7
Concrete Block,225.3,364.4,20,7
Brick,113.6,190.5,18,7
Brick,144,230.4,2,20
Brick,210.5,415.2,7,14
Brick,91.9,141.9,16,6
Brick,229.3,381,14,10
Brick,145.7,269,3,16
Brick,91.9,141.9,7,8
Brick,249.7,454.4,3,31
Concrete Block,162.4,311.8,7,9
Brick,91.9,141.9,17,6
Brick,197.6,343,11,11
Concrete Block,120.5,233.9,2,14
Concrete Block,144.3,247.2,11,7
Brick,217.5,394.8,4,22
Brick,145.6,264.1,10,10
Brick,200.6,366.5,15,10
Brick,228.7,361.6,17,9
Brick,276.2,477.7,12,12
Concrete Block,143.5,240.4,2,14
Brick,166.5,302.1,10,11
Brick,181.2,357,2,27
Brick,178.7,296,14,9
Brick,192.1,307.6,3,19
Brick,145.7,269,19,7
Brick,140.4,227.7,12,8
Brick,249.8,454.7,10,14
Concrete Block,171.1,317.8,13,7
Brick,264.9,481.7,11,14
Concrete Block,177.2,332.6,20,7
Brick,218.4,425.4,13,10
Brick,141.2,262.3,6,12
Concrete Block,202.9,365.5,11,9
Brick,221.9,420.3,5,16
Concrete Block,246.5,387.4,2,20
Brick,120,201.5,8,9
Brick,178.7,296,18,8
Concrete Block,218.1,418.9,8,12
Concrete Block,137.3,237.4,4,9
Brick,154.3,230.1,7,10
Concrete Block,260.2,420.5,20,7
Brick,120,201.5,12,8
Brick,178.7,309.7,14,9
Brick,134,270.6,3,16
Brick,192.1,307.6,10,10
Brick,141.2,262.3,16,8
Brick,223.2,346,10,12
Concrete Block,202.5,370.7,20,6
Brick,220.9,443.3,11,13
Concrete Block,219.6,429.2,15,8
Brick,213.4,348.4,11,10
Concrete Block,110.8,212.9,7,7
Brick,183.8,353.1,4,18
Brick,115.4,200.3,6,10
Concrete Block,244.3,388.4,16,8
Brick,141.2,262.3,11,9
Brick,190.8,330.2,10,12
Brick,96,186.3,3,14
Brick,186.7,357.2,6,16
Concrete Block,151.8,311.1,12,9
Brick,200.6,366.5,12,11
Concrete Block,253.1,457.6,6,14
Brick,116.4,195.9,5,13
Brick,260.2,428.5,14,10
Brick,127.6,226,13,8
Concrete Block,132.1,240.9,6,11
Concrete Block,202.9,365.5,13,8
Concrete Block,246.5,387.4,6,11
Concrete Block,156.4,274.2,18,6
Brick,262.5,500,7,17
Brick,157.3,239.5,16,7
Brick,213.4,348.4,9,11
Concrete Block,151.8,311.1,4,15
Brick,115.4,200.3,4,12
Concrete Block,162.4,311.8,12,7
Brick,232.6,470.4,13,12
Brick,178.7,296,6,13
Brick,217.5,394.8,10,14
Brick,134,270.6,7,11
Brick,269.5,500,6,17
Concrete Block,219.6,429.2,18,7
Brick,221.9,386.7,12,10
Brick,145.7,269,16,8
Concrete Block,156.4,274.2,4,11
Brick,221.9,420.3,19,9
Concrete Block,202.9,365.5,7,11
Brick,172.4,327.8,14,10
Concrete Block,178.7,293.1,8,8
Brick,113.6,190.5,9,9
Concrete Block,156.4,274.2,11,7
Brick,145.6,264.1,4,15
Concrete Block,174.5,317.1,11,9
Concrete Block,171.1,317.8,11,8
Concrete Block,144.3,247.2,10,7
Concrete Block,110.8,212.9,18,6
Brick,173.3,283.9,8,13
Brick,133.1,287.8,19,9
Brick,178.3,300.5,6,13
Brick,253.9,439.4,9,14
Brick,217.5,394.8,8,15
Brick,214.6,409.1,10,12
Concrete Block,251.4,453.2,12,10
Brick,181.2,357,3,21
Brick,183.8,353.1,12,11
Concrete Block,199.3,400.8,19,7
Brick,147.3,258.9,15,9
Concrete Block,203.2,352,3,15
Concrete Block,190.6,341.1,6,10
Brick,213.4,348.4,8,12
Brick,233.1,398.6,2,29
Brick,117.1,207.8,8,9
Brick,249.8,454.7,2,36
Concrete Block,260.9,433.5,3,22
Brick,220.9,443.3,8,15
Brick,249.8,454.7,11,14
Brick,127.6,226,9,10
Brick,255.1,402.1,6,15
Concrete Block,102.3,154.5,7,6
Brick,212.4,371.4,14,11
Brick,220.9,443.3,16,11
Brick,233.6,358.7,3,22
Brick,115.4,200.3,12,8
Concrete Block,174.5,317.1,4,16
Brick,249.8,454.7,15,12
Brick,223.2,346,14,11
Brick,249.8,454.7,18,11
Brick,192.1,307.6,4,16
Concrete Block,178.7,293.1,19,6
Concrete Block,144.3,247.2,16,6
Brick,232.9,365.7,15,10
Concrete Block,178.7,293.1,12,7
Brick,159.6,287.1,4,16
Brick,133.6,261.5,18,9
Concrete Block,203.2,352,2,19
Concrete Block,157.6,309.3,3,18
Brick,158.7,282.5,14,9
Concrete Block,177.2,332.6,19,8
Brick,158.7,282.5,16,9
Concrete Block,260.9,433.5,7,13
Brick,184.1,300.8,18,8
Brick,157.3,239.5,18,7
Brick,178.7,296,19,8
Brick,131.6,238.9,6,12
Brick,145.6,264.1,11,10
Brick,210.5,415.2,19,9
Brick,213.8,354.6,5,17
Brick,257.2,433.9,12,13
Concrete Block,177.2,332.6,17,8
Concrete Block,132.1,240.9,20,6
Brick,190.4,369.7,13,11
Brick,269.5,500,5,19
Brick,142.1,261.9,2,21
Concrete Block,102.3,154.5,9,6
Brick,214.6,409.1,2,30
Concrete Block,177.2,332.6,16,8
Concrete Block,221.3,397.4,12,9
Brick,233.1,398.6,8,13
Brick,232.9,365.7,2,29
Brick,232.6,470.4,6,17
Brick,113.6,190.5,4,12
Concrete Block,157.6,309.3,2,23
Brick,133.6,261.5,11,11
Brick,166.6,248.9,14,9
Concrete Block,219.6,429.2,19,7
Brick,144,230.4,14,8
Concrete Block,260.2,420.5,5,15
Concrete Block,174.5,317.1,14,8
Brick,249.7,454.4,7,19
Brick,229.3,381,11,12
Concrete Block,244.3,388.4,14,8
Concrete Block,235.4,425,7,12
Brick,208.2,330.9,9,12
Brick,133.1,287.8,8,13
Concrete Block,174.5,317.1,9,10
Concrete Block,260.9,433.5,16,9
Concrete Block,174.5,317.1,5,14
Concrete Block,170.8,309.1,4,14
Brick,232.6,470.4,9,14
Brick,257.2,433.9,11,13
Brick,113.6,190.5,6,10
Brick,217.5,394.8,14,12
Concrete Block,145.7,215.3,18,6
Brick,220.9,443.3,2,33
Concrete Block,145.7,215.3,13,6
Brick,255.1,402.1,19,9
Concrete Block,244.3,388.4,3,18
Brick,192.1,307.6,13,9
Brick,173.3,283.9,15,10
Brick,157.3,239.5,3,14
Concrete Block,145.7,215.3,4,10
Concrete Block,218.1,418.9,13,9
Brick,116.4,195.9,19,8
Concrete Block,246.5,387.4,7,10
Brick,205.1,378.2,13,11
Brick,133.6,261.5,4,18
Concrete Block,110.8,212.9,11,6
Brick,249.8,454.7,9,15
Brick,262.5,500,17,11
Brick,154.3,230.1,16,7
Brick,140.4,227.7,7,10
Brick,262.5,500,5,21
Concrete Block,235.4,425,10,10
Brick,160.2,328.4,5,15
Brick,213.4,348.4,5,15
Concrete Block,244.3,388.4,13,8
Brick,227.4,331.3,11,10
Brick,120,201.5,6,10
Concrete Block,219.1,443.9,8,12
Concrete Block,110.8,212.9,15,6
Brick,221.9,420.3,9,12
Brick,147.3,258.9,16,8
Brick,210.5,415.2,9,12
Concrete Block,202.9,365.5,3,17
Brick,240.9,408.8,3,23
Brick,208.7,324.1,12,10
Brick,218.3,393.4,15,10
Brick,205.1,378.2,6,16
Brick,178.7,309.7,17,9
Concrete Block,171.1,317.8,18,7
Brick,96,186.3,16,7
Concrete Block,145.7,215.3,6,8
Brick,178.3,300.5,9,11
Brick,183.8,353.1,11,11
Concrete Block,260.2,420.5,16,8
Brick,184.1,300.8,4,16
Brick,91.9,141.9,2,13
Brick,276.2,477.7,10,13
Brick,220.9,443.3,17,11
Brick,167.4,304.8,20,8
Concrete Block,177.2,332.6,4,17
Concrete Block,260.2,420.5,12,9
Brick,190.8,330.2,18,9
Brick,115.4,200.3,13,8
Brick,208.7,324.1,10,11
Brick,276.2,477.7,14,11
Brick,180.7,281.2,4,15
Brick,131.6,238.9,11,9
Brick,233.1,398.6,19,9
Brick,218.4,425.4,3,21
Brick,208.7,324.1,5,15
Concrete Block,202.5,370.7,17,7
Brick,232.6,470.4,2,32
Brick,159.6,287.1,19,8
Concrete Block,174.5,317.1,8,11
Concrete Block,162.4,311.8,10,8
Brick,210.5,415.2,18,9
Brick,214.6,409.1,6,16
Brick,192.1,307.6,9,11
Brick,220.9,443.3,4,22
Brick,264.9,481.7,9,15
Concrete Block,260.2,420.5,17,8
Brick,253.9,439.4,3,26
Brick,117.5,208.8,20,7
Brick,197.6,343,16,10
Brick,227.4,331.3,19,8
Brick,178.3,300.5,16,9
Brick,167.4,304.8,3,16
Brick,134,270.6,9,10
Brick,133.1,287.8,14,10
Brick,157.3,239.5,4,13
Concrete Block,235.4,425,12,9
Brick,145.6,264.1,4,15
Brick,233.6,358.7,7,14
Concrete Block,244.3,388.4,13,8
Brick,264.9,481.7,2,37
Concrete Block,244.3,388.4,18,7
Brick,181.2,357,5,16
Brick,227.4,331.3,15,9
Brick,215.3,404.8,3,25
Brick,172.2,333.9,10,12
Brick,215.3,404.8,14,11
Brick,166.5,302.1,16,9
Concrete Block,225.3,364.4,14,8
Brick,141.2,262.3,19,8
Brick,115.4,200.3,17,7
Brick,227.4,331.3,20,8
Concrete Block,132.1,240.9,12,8
Concrete Block,120.5,233.9,20,6
Brick,184.1,300.8,7,12
Concrete Block,221.3,397.4,16,8
Brick,213.4,348.4,15,9
Concrete Block,203.2,352,5,11
Concrete Block,178.7,293.1,15,6
Brick,127.6,226,19,7
Brick,141.2,262.3,12,9
Concrete Block,219.6,429.2,17,8
Brick,262.5,500,18,11
Brick,213.4,348.4,10,11
Brick,257.2,433.9,4,22
Brick,213.4,348.4,2,25
Concrete Block,120.5,233.9,10,7
Concrete Block,110.8,212.9,13,6
Brick,208.2,330.9,19,9
Brick,186.7,357.2,12,11
Brick,172.2,333.9,2,28
Concrete Block,160.6,251.7,12,7
Concrete Block,207.1,332.8,13,8
Brick,141.2,262.3,3,16
Brick,213.8,354.6,19,9
Brick,160.2,328.4,6,13
Concrete Block,235.4,425,19,8
Brick,190.4,369.7,20,9
Concrete Block,151.7,247.2,14,6
Brick,178.7,296,2,23
Concrete Block,260.2,420.5,6,13
Brick,276.2,477.7,19,10
Concrete Block,235.4,425,20,8
Brick,172.4,327.8,13,10
Concrete Block,143.5,240.4,13,6
Brick,228.7,361.6,6,14
Brick,181.2,357,4,18
Brick,218.4,425.4,9,12
Concrete Block,195.3,351.6,16,8
Brick,213.4,348.4,7,13
Brick,133.6,261.5,4,18
Concrete Block,202.9,365.5,4,14
Concrete Block,157.6,309.3,16,8
Brick,158.7,282.5,20,8
Concrete Block,218.1,418.9,15,9
Brick,160.2,328.4,8,12
Brick,96,186.3,14,8
Brick,233.1,398.6,15,10
Brick,183.8,353.1,7,13
Brick,178.7,309.7,5,14
Concrete Block,203.2,352,20,6
Concrete Block,203.2,352,9,9
Concrete Block,151.7,247.2,6,9
Concrete Block,110.8,212.9,5,8
Brick,215.3,404.8,11,13
Brick,190.8,330.2,9,12
Brick,257.2,433.9,7,16
Concrete Block,110.8,212.9,7,7
Brick,133.1,287.8,10,12
Brick,229.3,381,17,10
Brick,276.2,477.7,8,15
Brick,228.7,361.6,9,11
Brick,212.4,371.4,5,18
Brick,276.2,477.7,4,21
Brick,213.8,354.6,4,19
Brick,208.2,330.9,19,9
Concrete Block,260.2,420.5,15,8
Concrete Block,190.6,341.1,2,19
Brick,249.8,454.7,4,24
Concrete Block,207.1,332.8,14,8
Brick,160.2,328.4,4,16
Concrete Block,225.3,364.4,14,8
Concrete Block,144.3,247.2,7,8
Brick,215.3,404.8,19,10
Brick,172.2,333.9,17,9
Brick,214.6,409.1,3,23
Brick,192.1,307.6,5,14
Brick,221.9,386.7,5,15
Brick,166.5,302.1,14,10
Brick,190.4,369.7,15,10
Brick,257.2,433.9,5,20
Brick,249.8,454.7,16,12
Concrete Block,170.8,309.1,12,8
Brick,197.6,343,13,11
Brick,253.9,439.4,6,17
Concrete Block,171.1,317.8,15,7
Brick,157.3,239.5,18,7
Concrete Block,145.7,215.3,19,6
Brick,140.4,227.7,3,15
Concrete Block,203.2,352,18,7
Brick,210.5,415.2,10,12
Brick,228.7,361.6,8,12
Brick,262.5,500,8,16
Concrete Block,190.6,341.1,10,8
Brick,133.1,287.8,16,10
Brick,260.2,428.5,19,9
Brick,252.7,419.1,8,14
Concrete Block,178.7,293.1,2,17
Concrete Block,251.4,453.2,6,14
Brick,217.5,394.8,16,11
Brick,220.9,443.3,6,18
Concrete Block,143.5,240.4,18,6
Brick,166.6,248.9,12,9
Brick,262.5,500,10,14
Brick,134,270.6,6,12
Concrete Block,162.4,311.8,15,7
Brick,173.3,283.9,14,10
Brick,133.1,287.8,17,9
Concrete Block,260.2,420.5,13,9
Brick,233.6,358.7,8,13
Brick,200.6,366.5,6,15
Brick,192.1,307.6,19,8
Brick,159.6,287.1,14,9
Brick,229.3,381,15,10
Brick,215.3,404.8,5,19
Brick,157.3,239.5,5,11
Concrete Block,221.3,397.4,4,15
Brick,154.3,230.1,11,8
Brick,215.3,404.8,16,11
Concrete Block,137.3,237.4,7,7
Concrete Block,137.3,237.4,11,6
Brick,218.4,425.4,12,11
Brick,133.6,261.5,16,9
Brick,173.3,283.9,9,13
Brick,233.6,358.7,9,12
Brick,214.6,409.1,7,15
Concrete Block,221.3,397.4,6,12
Brick,166.5,302.1,12,10
Brick,217.5,394.8,20,10
Brick,252.7,419.1,18,10
Concrete Block,251.4,453.2,8,12
Concrete Block,145.7,215.3,12,6
Concrete Block,143.5,240.4,7,8
Brick,181.2,357,6,15
Brick,145.7,269,16,8
Brick,140.4,227.7,19,7
Brick,190.4,369.7,4,20
Concrete Block,218.1,418.9,19,8
Concrete Block,207.1,332.8,12,9
Brick,140.4,227.7,5,12
Concrete Block,110.8,212.9,8,7
Brick,120,201.5,2,17
Brick,166.6,248.9,5,13
Brick,144,230.4,11,9
Brick,213.4,348.4,17,9
Brick,145.7,269,9,10
Brick,192.1,307.6,2,23
Brick,172.4,327.8,7,13
Concrete Block,260.9,433.5,10,11
Brick,212.4,371.4,20,9
Brick,228.7,361.6,19,9
Brick,147.3,258.9,14,9
Brick,116.4,195.9,6,12
Concrete Block,246.5,387.4,9,9
Brick,264.9,481.7,3,28
Brick,117.5,208.8,15,8
Brick,117.1,207.8,17,7
Concrete Block,260.2,420.5,8,11
Brick,262.5,500,14,12
Brick,192.1,307.6,16,9
Concrete Block,260.9,433.5,6,14
Concrete Block,143.5,240.4,5,9
Brick,228.7,361.6,13,10
Concrete Block,151.7,247.2,5,10
Concrete Block,246.5,387.4,3,15
Brick,264.9,481.7,5,21
Brick,145.6,264.1,9,11
Concrete Block,143.5,240.4,15,6
Brick,264.9,481.7,6,19
Brick,197.6,343,5,16
Brick,208.7,324.1,11,10
Brick,141.5,225.2,9,9
Brick,145.6,264.1,7,12
Brick,212.4,371.4,16,10
Brick,264.9,481.7,13,13
Brick,252.7,419.1,2,30
Concrete Block,202.9,365.5,5,13
Brick,134,270.6,13,9
Brick,214.6,409.1,8,14
Brick,249.7,454.4,17,12
Brick,158.7,282.5,18,8
Brick,178.3,300.5,2,23
Brick,262.5,500,2,36
Concrete Block,260.9,433.5,20,8
Concrete Block,199.3,400.8,4,15
Brick,249.7,454.4,5,23
Brick,142.1,261.9,18,8
Concrete Block,202.5,370.7,13,8
Brick,160.2,328.4,9,11
Brick,180.7,281.2,8,11
Brick,255.1,402.1,12,11
Brick,172.4,327.8,11,11
Brick,145.7,269,4,14
Concrete Block,235.4,425,6,13
Brick,147.3,258.9,5,13
Brick,210.5,415.2,15,10
Brick,145.7,269,14,8
Brick,276.2,477.7,7,16
Brick,252.7,419.1,10,12
Concrete Block,199.3,400.8,13,8
Concrete Block,202.9,365.5,15,8
Brick,166.5,302.1,11,11
Brick,218.4,425.4,11,11
Brick,145.6,264.1,5,14
Brick,96,186.3,5,11
Concrete Block,235.4,425,18,8
Brick,208.2,330.9,20,9
Brick,117.5,208.8,18,7
Concrete Block,235.4,425,13,9
Brick,134,270.6,2,20
Concrete Block,199.3,400.8,7,11
Concrete Block,162.5,266.2,11,7
Brick,154.3,230.1,19,7
Brick,276.2,477.7,3,25
Concrete Block,174.5,317.1,20,7
Concrete Block,207.1,332.8,3,18
Brick,113.6,190.5,5,11
Brick,158.7,282.5,3,18
Brick,186.7,357.2,7,14
Brick,213.8,354.6,10,12
Brick,133.6,261.5,12,10
Concrete Block,151.8,311.1,8,10
Brick,215.3,404.8,10,13
Brick,160.2,328.4,19,8
Brick,257.2,433.9,19,10
Concrete Block,160.6,251.7,11,7
Brick,134,270.6,18,8
Concrete Block,203.2,352,7,10
Brick,166.6,248.9,6,12
Brick,181.2,357,18,9
Concrete Block,246.5,387.4,16,7
Concrete Block,157.6,309.3,19,7
Brick,172.4,327.8,3,20
Brick,253.9,439.4,15,11
Brick,252.7,419.1,15,10
Brick,233.1,398.6,18,9
Concrete Block,120.5,233.9,11,6
Concrete Block,246.5,387.4,15,7
Brick,217.5,394.8,11,13
Brick,141.2,262.3,19,8
Brick,133.6,261.5,7,13
Brick,218.4,425.4,5,16
Concrete Block,195.3,351.6,15,8
Brick,158.7,282.5,17,8
Concrete Block,219.6,429.2,3,18
Brick,113.6,190.5,11,8
Brick,131.6,238.9,9,10
Brick,228.7,361.6,16,9
Brick,264.9,481.7,4,24
Brick,172.2,333.9,8,13
Brick,133.6,261.5,10,11
Concrete Block,260.2,420.5,19,8
Brick,172.4,327.8,18,9
Brick,253.9,439.4,18,10
Brick,214.6,409.1,14,11
Brick,213.8,354.6,11,11
Brick,270.8,500,12,13
Brick,262.5,500,15,12
Brick,141.5,225.2,17,7
Brick,134,270.6,15,8
Brick,159.6,287.1,5,15
Concrete Block,251.4,453.2,14,9
Concrete Block,132.1,240.9,8,9
Concrete Block,195.3,351.6,13,9
Concrete Block,151.8,311.1,10,9
Brick,210.5,415.2,11,11
Concrete Block,218.1,418.9,17,8
Concrete Block,202.9,365.5,6,12
Brick,221.9,420.3,12,11
Concrete Block,110.8,212.9,2,13
Brick,229.3,381,18,9
Brick,127.6,226,3,16
Brick,127.6,226,10,9
Concrete Block,156.4,274.2,9,8
Brick,134,270.6,3,16
Brick,208.7,324.1,3,19
Brick,232.9,365.7,18,10
Brick,214.6,409.1,17,10
Brick,133.1,287.8,20,9
Brick,270.8,500,9,15
Brick,144,230.4,8,10
Brick,210.5,415.2,2,28
Concrete Block,219.6,429.2,11,9
Concrete Block,162.5,266.2,10,7
Concrete Block,145.7,215.3,3,11
Brick,178.7,309.7,18,8
Brick,232.6,470.4,4,21
Brick,167.4,304.8,6,12
Brick,131.6,238.9,5,13
Concrete Block,162.5,266.2,5,9
Concrete Block,244.3,388.4,8,10
Brick,172.4,327.8,5,15
Concrete Block,203.2,352,14,7
Brick,159.6,287.1,12,10
Concrete Block,170.8,309.1,9,9
Concrete Block,120.5,233.9,6,8
Brick,232.6,470.4,8,14
