door_count,door_material,window_count,window_material,duration_days,labor_count
9,Glass,15,Aluminium,2,5
11,uPVC,14,uPVC,1,9
13,Timber,14,Aluminium,1,12
8,Glass,10,Aluminium,1,13
8,uPVC,12,uPVC,1,11
4,Aluminium,15,Aluminium,1,12
9,Timber,11,uPVC,1,10
14,uPVC,15,Aluminium,1,11
7,Timber,14,uPVC,5,2
3,uPVC,13,Timber,9,1
2,Timber,8,Timber,1,8
12,Timber,14,Timber,9,2
5,uPVC,11,uPVC,1,11
7,Aluminium,13,Timber,1,9
7,uPVC,10,Timber,2,4
14,Timber,15,Aluminium,8,2
8,Aluminium,11,uPVC,1,11
3,Glass,15,uPVC,8,1
5,Glass,13,Aluminium,2,4
2,uPVC,15,Aluminium,1,13
7,Aluminium,9,Timber,1,13
7,Aluminium,14,Aluminium,1,11
8,Glass,9,uPVC,1,10
8,Aluminium,14,uPVC,2,4
10,Glass,15,uPVC,2,5
4,Aluminium,7,Aluminium,2,2
7,Glass,8,Timber,2,5
6,Timber,9,Timber,1,9
14,Aluminium,15,Timber,1,11
6,uPVC,10,Aluminium,3,2
10,Timber,15,Aluminium,1,12
3,Aluminium,12,Timber,1,9
14,uPVC,15,Aluminium,1,9
10,Timber,11,Aluminium,1,8
13,Timber,15,Timber,1,11
8,Aluminium,10,uPVC,1,5
3,Aluminium,12,uPVC,1,5
7,uPVC,12,uPVC,1,7
2,Glass,3,Timber,1,8
7,Glass,13,Aluminium,1,8
2,Aluminium,8,Aluminium,1,3
4,Timber,15,Timber,1,13
7,uPVC,8,uPVC,1,4
9,uPVC,15,uPVC,10,1
6,Aluminium,9,Aluminium,1,6
4,uPVC,6,Timber,1,9
3,Timber,7,uPVC,1,13
5,Timber,9,uPVC,2,4
10,uPVC,15,Timber,1,8
3,uPVC,13,Aluminium,1,7
5,Glass,15,uPVC,1,13
11,uPVC,13,Timber,4,3
10,Glass,14,Timber,2,4
3,Glass,8,Timber,1,9
9,Timber,14,Aluminium,1,11
10,Timber,11,Timber,1,11
3,uPVC,12,Timber,1,10
3,uPVC,4,uPVC,1,13
3,uPVC,8,Aluminium,1,7
14,Glass,15,Timber,21,1
7,uPVC,15,Aluminium,1,11
11,Glass,12,Aluminium,1,11
8,Glass,11,Aluminium,1,9
4,uPVC,15,uPVC,1,10
9,Glass,11,Timber,1,12
9,Glass,14,Timber,2,5
10,Glass,12,Aluminium,1,6
14,Timber,15,Timber,21,1
9,Aluminium,15,Timber,2,7
12,uPVC,14,uPVC,10,1
14,uPVC,15,uPVC,1,12
10,Timber,12,uPVC,1,9
10,Glass,15,uPVC,1,9
10,Aluminium,14,Aluminium,4,2
3,Timber,12,Aluminium,1,12
4,Timber,9,uPVC,1,6
6,Glass,12,Aluminium,2,3
10,Aluminium,15,uPVC,11,1
6,Timber,14,Timber,18,1
9,Timber,12,Aluminium,1,8
2,Aluminium,5,Aluminium,1,3
5,Timber,11,uPVC,1,4
12,Glass,15,Timber,7,2
3,Aluminium,6,Aluminium,1,5
2,Glass,7,Timber,1,8
11,uPVC,12,Timber,6,2
12,Timber,15,uPVC,2,7
4,uPVC,12,Timber,1,10
4,Timber,14,Aluminium,4,2
6,Glass,13,uPVC,1,9
5,Glass,9,Aluminium,1,6
12,Aluminium,13,uPVC,1,7
8,Timber,14,uPVC,1,13
14,Timber,15,Aluminium,3,3
5,Timber,15,Aluminium,2,5
9,uPVC,15,Timber,1,11
4,Timber,6,uPVC,1,7
6,uPVC,7,uPVC,1,4
11,Timber,13,Timber,1,10
9,Timber,15,Aluminium,1,13
3,Aluminium,14,uPVC,8,1
14,Aluminium,15,uPVC,5,2
9,uPVC,14,Aluminium,4,2
5,Aluminium,7,Timber,9,1
3,Glass,10,Aluminium,3,2
10,uPVC,12,Timber,13,1
7,Glass,9,Timber,5,2
13,Aluminium,15,Timber,1,11
8,Timber,14,Timber,7,2
10,uPVC,15,uPVC,2,4
3,Timber,7,uPVC,2,3
11,uPVC,12,Aluminium,1,6
7,Aluminium,15,Aluminium,1,7
10,Aluminium,12,Timber,1,7
6,Glass,11,Aluminium,9,1
10,Timber,15,Timber,2,5
10,Glass,11,Timber,1,9
5,uPVC,14,uPVC,1,4
7,Timber,8,Timber,1,9
13,Glass,15,Aluminium,15,1
2,Glass,3,uPVC,2,2
3,uPVC,14,Aluminium,1,6
4,Timber,6,Aluminium,1,13
5,Timber,12,Aluminium,2,3
7,uPVC,14,uPVC,2,4
13,Aluminium,15,uPVC,1,10
5,Aluminium,7,Timber,1,5
9,Glass,14,Aluminium,1,7
11,uPVC,15,uPVC,2,3
4,Timber,7,Aluminium,1,10
2,uPVC,5,Aluminium,1,2
13,uPVC,15,Timber,1,11
12,Aluminium,14,Aluminium,1,8
11,uPVC,15,uPVC,12,1
6,Aluminium,13,uPVC,1,9
11,Glass,12,Timber,19,1
7,uPVC,10,Aluminium,7,1
12,uPVC,14,Aluminium,4,2
6,Glass,13,Aluminium,1,13
3,Glass,8,Aluminium,6,1
2,Aluminium,12,Aluminium,1,5
5,Timber,10,Timber,1,10
13,Glass,14,Timber,1,12
4,Timber,13,Timber,1,11
7,Timber,12,Timber,1,12
6,Aluminium,7,uPVC,1,11
7,uPVC,13,Timber,2,4
5,uPVC,7,Aluminium,1,9
8,Glass,12,uPVC,1,10
5,uPVC,8,uPVC,5,1
12,Timber,13,uPVC,2,6
10,Glass,11,uPVC,1,7
8,Timber,12,uPVC,5,2
7,Timber,15,Aluminium,1,13
6,uPVC,7,uPVC,1,9
14,Aluminium,15,Aluminium,1,13
7,uPVC,10,uPVC,1,9
6,uPVC,10,Aluminium,1,11
12,Aluminium,15,uPVC,1,7
2,Timber,12,Timber,1,5
4,Aluminium,10,Timber,4,2
5,Timber,12,Aluminium,1,10
12,Timber,13,Aluminium,7,2
4,Aluminium,8,Timber,1,13
13,Timber,14,Aluminium,7,2
12,uPVC,15,Timber,2,5
11,Timber,13,Aluminium,1,11
4,Aluminium,9,Timber,2,4
13,uPVC,14,uPVC,1,8
5,Aluminium,11,Timber,2,5
5,Timber,11,Aluminium,1,4
4,Glass,8,Timber,1,12
11,Glass,14,Aluminium,2,6
2,Glass,14,Timber,14,1
3,Aluminium,9,Timber,1,8
7,Glass,14,uPVC,1,7
11,uPVC,15,Aluminium,2,3
11,Timber,13,Timber,17,1
12,Glass,14,uPVC,1,9
12,Timber,15,Aluminium,1,10
6,uPVC,15,Timber,1,13
9,Glass,12,Aluminium,1,13
8,Glass,11,Aluminium,1,8
9,Timber,14,Aluminium,6,2
7,uPVC,15,uPVC,1,8
12,Timber,13,Timber,1,9
14,Aluminium,15,uPVC,1,8
5,uPVC,10,Timber,2,4
3,uPVC,15,Timber,1,11
7,Timber,14,Aluminium,1,11
7,Aluminium,12,uPVC,1,8
4,Aluminium,5,uPVC,1,8
9,uPVC,12,Timber,2,3
6,Timber,14,uPVC,5,2
8,Timber,15,uPVC,1,9
12,Glass,15,uPVC,1,11
6,Glass,11,Aluminium,2,3
12,Glass,15,uPVC,3,3
5,uPVC,13,Timber,1,13
13,uPVC,15,uPVC,1,5
2,uPVC,8,uPVC,1,3
6,Aluminium,14,Timber,1,13
4,Glass,6,uPVC,1,10
13,Aluminium,15,uPVC,1,8
6,uPVC,14,Aluminium,1,7
4,Glass,12,Aluminium,1,13
8,Glass,15,uPVC,1,9
9,uPVC,10,Aluminium,1,11
5,Glass,9,uPVC,2,3
3,uPVC,6,Timber,6,1
7,uPVC,15,Timber,6,2
7,Aluminium,11,uPVC,1,8
10,Timber,11,Timber,1,9
12,Glass,15,uPVC,2,4
12,Aluminium,14,uPVC,2,5
8,Aluminium,9,uPVC,2,3
14,Timber,15,uPVC,7,2
13,Aluminium,14,Aluminium,1,6
4,Timber,10,uPVC,8,1
5,Timber,9,Timber,2,5
7,uPVC,12,Aluminium,1,5
8,Timber,9,Timber,1,12
4,uPVC,14,Aluminium,1,8
5,Aluminium,10,uPVC,1,5
6,Glass,8,Aluminium,8,1
6,Glass,12,Aluminium,1,6
14,Aluminium,15,uPVC,1,12
2,uPVC,3,uPVC,1,7
13,Glass,14,Timber,2,5
6,Timber,8,uPVC,3,2
6,Glass,15,Aluminium,1,11
14,uPVC,15,Aluminium,12,1
12,Glass,15,Timber,2,8
4,Glass,9,uPVC,1,4
12,Timber,13,uPVC,1,7
5,Aluminium,10,Timber,1,5
5,Aluminium,8,Timber,1,11
7,uPVC,13,uPVC,1,7
4,Aluminium,14,Timber,1,12
12,Glass,13,Aluminium,1,7
4,Glass,15,Aluminium,3,2
12,Glass,15,uPVC,1,10
5,uPVC,6,Aluminium,1,10
7,Aluminium,14,uPVC,2,3
13,Aluminium,15,Aluminium,11,1
5,Glass,8,Aluminium,1,4
2,Glass,5,Timber,1,10
5,uPVC,7,Aluminium,2,2
5,Timber,11,Timber,2,6
4,Timber,9,uPVC,1,12
7,Glass,8,Timber,4,2
3,Aluminium,7,uPVC,1,3
11,uPVC,13,uPVC,1,12
9,Aluminium,12,Aluminium,1,10
13,Glass,15,uPVC,1,11
3,uPVC,10,uPVC,1,11
10,uPVC,12,Timber,3,3
12,uPVC,15,uPVC,2,5
4,Glass,9,Timber,1,7
12,Glass,13,Timber,1,10
9,uPVC,15,Timber,1,7
13,Aluminium,14,uPVC,1,11
3,uPVC,10,Aluminium,2,2
9,Aluminium,15,Aluminium,1,12
4,Glass,6,Aluminium,1,10
8,Aluminium,11,Aluminium,1,9
8,Aluminium,14,Timber,2,4
6,Aluminium,13,Timber,1,11
12,Glass,14,Aluminium,1,12
8,Timber,10,uPVC,1,11
11,Glass,13,Aluminium,1,8
10,uPVC,13,Aluminium,1,10
5,Timber,10,Aluminium,2,4
9,Aluminium,10,Timber,2,6
9,Glass,15,Aluminium,5,2
10,Aluminium,15,Timber,1,10
5,uPVC,7,uPVC,1,3
7,Timber,8,Aluminium,10,1
10,uPVC,14,uPVC,1,6
8,Timber,10,uPVC,1,9
7,Aluminium,15,Timber,1,13
9,uPVC,15,Aluminium,1,13
9,Glass,10,Timber,2,6
4,Glass,15,uPVC,2,3
11,Aluminium,12,Timber,2,4
5,Glass,6,Aluminium,1,4
7,Glass,8,uPVC,2,4
4,uPVC,8,Aluminium,1,3
7,Aluminium,10,uPVC,1,13
6,uPVC,14,Timber,5,2
7,Timber,9,Aluminium,2,4
2,Glass,8,Aluminium,1,3
9,Glass,11,Aluminium,4,2
5,Glass,15,Aluminium,2,3
14,Timber,15,Timber,11,2
3,Glass,15,Aluminium,1,4
2,uPVC,14,Timber,1,6
2,uPVC,12,Aluminium,2,3
3,Glass,9,Timber,1,12
6,Glass,8,uPVC,1,8
11,Glass,13,Timber,18,1
10,Timber,12,Aluminium,1,13
3,Glass,8,uPVC,1,11
12,uPVC,13,uPVC,1,10
5,Aluminium,14,uPVC,1,10
11,Aluminium,15,Timber,2,6
3,Timber,7,Timber,1,13
10,uPVC,14,Timber,3,3
8,Timber,12,Aluminium,13,1
7,Timber,8,uPVC,1,10
2,Timber,6,Aluminium,1,8
2,Aluminium,4,Aluminium,1,10
13,Glass,14,Aluminium,1,8
10,Glass,14,Aluminium,1,9
14,uPVC,15,uPVC,4,2
8,Glass,13,Aluminium,1,11
8,Timber,11,Aluminium,1,7
9,Timber,11,Timber,2,6
6,Glass,7,Aluminium,1,13
6,uPVC,11,uPVC,1,8
7,Timber,15,Aluminium,4,2
6,Glass,11,uPVC,1,5
10,Aluminium,15,Aluminium,1,7
9,Glass,10,Timber,1,8
5,Timber,13,uPVC,2,4
6,Aluminium,12,Timber,3,3
5,Aluminium,9,Timber,1,12
11,Timber,12,Aluminium,14,1
11,Glass,12,uPVC,1,11
11,Timber,13,uPVC,1,9
2,Glass,5,uPVC,2,2
2,Aluminium,5,Aluminium,1,5
7,Glass,15,Aluminium,5,2
5,Timber,6,Aluminium,1,5
13,Glass,15,uPVC,6,2
9,Glass,12,uPVC,1,10
4,Timber,11,Aluminium,1,9
6,uPVC,7,uPVC,5,1
7,Glass,13,Aluminium,2,4
3,uPVC,11,Timber,1,6
5,Glass,10,Aluminium,1,4
5,uPVC,10,Timber,1,12
14,Timber,15,Timber,2,11
13,Glass,14,uPVC,1,13
11,Glass,14,uPVC,3,3
2,Timber,11,Aluminium,1,12
14,Timber,15,uPVC,2,7
12,Timber,14,uPVC,1,10
7,Aluminium,14,uPVC,1,5
2,uPVC,9,Timber,1,6
12,Aluminium,15,uPVC,1,11
8,Aluminium,11,uPVC,1,12
6,Aluminium,15,Aluminium,1,11
7,Aluminium,8,uPVC,1,9
11,uPVC,13,uPVC,4,2
13,Glass,14,Aluminium,1,10
4,uPVC,15,uPVC,1,13
14,Timber,15,uPVC,4,3
9,Aluminium,15,Aluminium,4,2
10,Glass,11,Aluminium,1,13
5,Timber,12,uPVC,1,10
7,Timber,15,Timber,1,13
9,Glass,12,Aluminium,1,10
5,Timber,13,Aluminium,1,6
12,Aluminium,15,Aluminium,3,3
11,Timber,13,uPVC,1,13
7,Timber,8,Aluminium,1,7
11,uPVC,15,Timber,2,4
5,Aluminium,11,Aluminium,2,3
7,Timber,10,Timber,1,13
11,uPVC,13,Timber,1,7
11,uPVC,14,Timber,1,13
14,Glass,15,Timber,2,5
4,Aluminium,12,uPVC,1,5
5,Aluminium,14,Timber,1,7
3,Aluminium,10,Timber,1,12
11,Timber,13,uPVC,3,3
12,Glass,13,Timber,1,12
12,uPVC,13,uPVC,1,11
4,Aluminium,15,uPVC,1,6
3,uPVC,11,Timber,1,10
11,Aluminium,13,Aluminium,2,5
7,uPVC,12,Timber,1,6
11,Timber,12,Aluminium,4,3
12,uPVC,14,Aluminium,1,12
7,Aluminium,8,uPVC,6,1
9,uPVC,12,Aluminium,1,10
5,Aluminium,7,uPVC,1,13
13,Timber,15,Aluminium,2,7
7,Aluminium,9,uPVC,1,12
11,Glass,15,Aluminium,3,3
8,Glass,15,uPVC,1,7
13,Timber,15,Aluminium,1,9
14,Timber,15,Timber,1,12
12,Aluminium,15,uPVC,2,4
7,Aluminium,8,Timber,1,12
12,Timber,13,uPVC,17,1
7,Aluminium,10,Aluminium,1,8
3,Aluminium,4,Timber,2,2
13,Glass,15,Aluminium,3,3
8,uPVC,9,Timber,2,5
7,uPVC,9,Timber,1,4
7,Timber,10,uPVC,1,6
4,uPVC,5,uPVC,1,11
11,Timber,12,uPVC,2,6
8,Glass,9,Timber,1,12
6,Aluminium,8,uPVC,2,3
12,uPVC,13,Timber,3,3
2,uPVC,12,Timber,1,8
8,uPVC,14,uPVC,2,3
5,Aluminium,11,Timber,1,7
10,uPVC,15,Timber,1,9
4,Timber,15,Aluminium,1,5
13,Timber,15,Timber,3,5
11,Glass,12,Timber,1,11
7,uPVC,14,Aluminium,1,4
14,Timber,15,uPVC,1,12
3,uPVC,12,Aluminium,1,11
6,Aluminium,13,Aluminium,1,12
8,Timber,12,Aluminium,15,1
3,Timber,13,Timber,1,7
6,Timber,12,uPVC,1,9
14,Glass,15,uPVC,1,13
3,Timber,13,Timber,12,1
10,Glass,11,uPVC,2,4
13,Aluminium,14,Aluminium,1,7
5,uPVC,12,Timber,3,3
11,Glass,14,Timber,1,10
8,Timber,10,Timber,7,2
9,Timber,15,Timber,1,11
9,Timber,13,Timber,1,10
8,uPVC,14,Aluminium,2,3
6,Timber,8,uPVC,1,5
3,Aluminium,7,uPVC,1,8
9,Timber,14,uPVC,1,6
5,Glass,6,uPVC,1,6
2,Aluminium,11,uPVC,1,11
13,Glass,15,Aluminium,1,7
7,uPVC,12,Aluminium,4,2
14,uPVC,15,Timber,2,7
5,Glass,11,uPVC,1,8
11,uPVC,14,Timber,1,10
11,Glass,12,Timber,6,2
3,Aluminium,4,Aluminium,1,7
3,Timber,11,Timber,1,12
11,Timber,13,uPVC,2,4
8,Glass,11,Aluminium,4,2
8,Aluminium,13,Timber,15,1
3,Timber,14,Aluminium,1,8
9,Glass,13,Timber,1,10
5,uPVC,6,uPVC,1,12
7,Timber,15,Timber,1,10
8,Timber,12,Aluminium,1,10
7,Timber,10,uPVC,2,5
10,Timber,15,uPVC,1,8
5,uPVC,15,Timber,1,13
4,uPVC,8,Timber,4,2
5,uPVC,9,uPVC,1,12
2,Glass,4,uPVC,1,3
4,uPVC,8,uPVC,1,12
13,Aluminium,15,uPVC,1,11
10,Timber,13,Timber,4,3
6,Timber,13,Timber,1,10
2,Glass,3,uPVC,3,1
7,Timber,14,Aluminium,1,8
12,Timber,13,Aluminium,1,7
10,Timber,14,uPVC,1,13
10,Aluminium,12,uPVC,1,12
13,Aluminium,15,Timber,1,13
5,Glass,15,uPVC,10,1
10,uPVC,13,Aluminium,1,12
4,Glass,10,Timber,1,13
6,Aluminium,7,Aluminium,1,7
9,Timber,12,uPVC,1,8
4,Aluminium,5,uPVC,1,6
14,uPVC,15,uPVC,2,4
12,Aluminium,13,uPVC,1,10
2,Glass,14,uPVC,1,8
12,Glass,15,Aluminium,2,6
7,Timber,8,Aluminium,1,6
3,Glass,13,Timber,1,13
10,uPVC,13,Timber,5,2
10,uPVC,13,Aluminium,4,2
9,Glass,11,Aluminium,1,8
3,Aluminium,15,uPVC,1,11
12,Timber,14,uPVC,1,9
12,Glass,14,Aluminium,1,13
8,Timber,12,Timber,15,1
9,Glass,11,Aluminium,2,5
2,Timber,6,uPVC,1,5
4,Aluminium,11,uPVC,1,6
8,Timber,11,Timber,1,6
6,Aluminium,14,Timber,1,9
10,Aluminium,14,Timber,2,4
6,Aluminium,15,uPVC,2,4
10,Aluminium,14,Timber,1,11
5,Timber,10,uPVC,1,6
8,Glass,15,uPVC,5,2
3,uPVC,11,uPVC,1,4
12,Timber,14,uPVC,1,13
12,Timber,13,Timber,2,6
2,uPVC,3,Aluminium,3,1
3,Timber,9,Timber,1,13
4,uPVC,8,Aluminium,1,9
11,Glass,12,Aluminium,1,10
9,Aluminium,10,uPVC,1,6
10,Glass,15,uPVC,1,10
4,Glass,14,Timber,1,8
6,Glass,13,Aluminium,10,1
9,Timber,13,uPVC,1,11
4,uPVC,11,uPVC,2,3
9,Glass,10,Aluminium,5,2
13,Timber,14,uPVC,21,1
6,uPVC,15,Aluminium,1,10
8,Aluminium,13,Aluminium,2,4
14,Glass,15,Aluminium,3,3
3,uPVC,9,uPVC,1,8
6,uPVC,12,Timber,2,5
3,Glass,7,uPVC,1,11
11,Glass,13,Timber,1,10
6,Glass,11,Aluminium,1,11
3,Glass,9,uPVC,1,7
5,Timber,8,Aluminium,1,10
11,Aluminium,14,uPVC,1,10
4,Glass,14,uPVC,1,11
3,uPVC,14,uPVC,1,10
14,Timber,15,uPVC,1,10
12,Glass,13,Timber,18,1
14,Glass,15,Aluminium,2,6
4,Aluminium,8,uPVC,2,2
9,Aluminium,15,uPVC,1,12
4,Aluminium,15,uPVC,1,8
4,Glass,14,Aluminium,4,2
14,Timber,15,Aluminium,1,8
10,Timber,15,Timber,17,1
3,Aluminium,10,uPVC,1,10
10,uPVC,15,Aluminium,1,13
10,Timber,11,Timber,2,8
3,uPVC,8,uPVC,1,10
11,Aluminium,15,Timber,1,9
11,Timber,12,uPVC,2,5
3,Glass,15,Timber,2,4
7,Glass,14,Aluminium,1,10
8,Glass,13,uPVC,2,4
11,uPVC,12,Aluminium,2,4
3,Glass,7,Aluminium,1,13
9,Aluminium,12,Timber,2,6
6,Timber,14,Aluminium,1,11
4,Timber,10,uPVC,2,3
4,Timber,10,uPVC,1,4
12,Aluminium,15,Aluminium,1,11
11,Aluminium,15,Aluminium,1,6
13,Glass,14,Timber,1,10
7,Glass,13,Timber,14,1
3,Glass,12,uPVC,1,13
7,Aluminium,15,uPVC,1,8
6,Aluminium,10,Timber,1,6
12,Aluminium,15,Aluminium,1,8
4,Aluminium,14,uPVC,1,8
8,Glass,11,Aluminium,2,5
6,Glass,12,uPVC,1,4
2,Aluminium,11,Aluminium,1,5
2,Aluminium,14,Aluminium,1,11
2,Glass,15,Aluminium,1,6
5,Timber,10,Timber,2,5
3,Timber,8,Aluminium,1,9
2,Timber,15,Timber,1,7
8,Timber,11,uPVC,1,11
11,uPVC,15,uPVC,4,2
5,Aluminium,8,uPVC,3,2
2,Glass,7,uPVC,1,12
9,uPVC,14,Timber,6,2
7,Aluminium,8,Aluminium,1,8
13,uPVC,14,Timber,3,3
4,Aluminium,11,Aluminium,1,11
9,Glass,11,Aluminium,11,1
5,uPVC,9,Timber,1,8
5,Timber,11,Timber,1,12
4,Timber,8,Timber,1,6
2,uPVC,15,Timber,1,7
2,Aluminium,14,Timber,1,12
2,Glass,6,uPVC,4,1
4,Timber,11,Timber,1,13
11,Glass,15,uPVC,2,5
3,Glass,12,uPVC,1,12
3,Aluminium,6,Timber,1,4
10,Timber,12,uPVC,5,2
9,Aluminium,14,uPVC,1,6
13,Glass,15,Aluminium,1,8
2,Glass,6,uPVC,2,2
6,Aluminium,13,Timber,2,4
4,Glass,13,Timber,1,13
13,uPVC,14,Aluminium,1,9
8,Glass,9,Timber,2,4
11,uPVC,14,Aluminium,1,10
3,Aluminium,13,Timber,1,10
5,Timber,11,uPVC,4,2
6,Glass,12,Timber,3,3
8,uPVC,11,Aluminium,1,5
12,Aluminium,13,Aluminium,1,9
2,uPVC,10,uPVC,1,3
3,Aluminium,12,uPVC,1,7
9,uPVC,13,Aluminium,1,10
6,uPVC,15,Aluminium,1,8
5,Timber,10,Aluminium,1,5
6,Aluminium,10,Timber,1,7
11,Glass,14,uPVC,1,8
5,Glass,15,Timber,3,3
4,uPVC,5,Aluminium,1,12
10,Timber,14,Timber,4,3
4,Glass,7,Aluminium,1,7
7,Glass,11,Timber,1,8
10,Aluminium,12,Timber,1,12
14,Glass,15,uPVC,1,10
12,Glass,13,Aluminium,1,10
5,Timber,9,Timber,2,4
3,uPVC,9,Timber,1,13
10,Glass,11,Timber,1,12
12,Glass,13,uPVC,1,12
12,Aluminium,13,Timber,1,11
13,Timber,14,Timber,5,3
10,Aluminium,13,Timber,5,2
2,uPVC,10,Aluminium,1,8
5,Timber,9,Aluminium,4,2
6,Glass,7,Timber,2,5
13,Aluminium,14,uPVC,10,1
6,Glass,8,Aluminium,1,10
11,Glass,13,uPVC,5,2
7,Glass,12,Timber,5,2
8,Aluminium,13,uPVC,2,3
12,Aluminium,15,Timber,2,6
5,uPVC,10,Aluminium,2,3
11,Timber,12,Timber,9,2
10,Glass,11,Aluminium,5,2
11,uPVC,14,Aluminium,1,8
8,Timber,9,Timber,1,8
4,Glass,13,Timber,14,1
7,Aluminium,9,Timber,1,7
11,Glass,15,uPVC,2,4
14,Timber,15,Aluminium,1,10
12,Timber,13,Aluminium,5,2
2,uPVC,3,uPVC,1,13
2,Timber,12,Timber,1,7
3,Aluminium,10,Aluminium,2,3
9,uPVC,14,Aluminium,2,3
2,uPVC,10,Aluminium,1,11
6,Aluminium,15,Timber,1,8
11,Timber,13,uPVC,1,11
10,uPVC,13,Aluminium,2,3
7,uPVC,14,Aluminium,2,3
12,Aluminium,15,uPVC,2,5
8,Glass,11,uPVC,1,6
13,Aluminium,15,Aluminium,1,10
9,Aluminium,11,Aluminium,1,5
13,Timber,15,uPVC,16,1
3,Glass,10,Timber,1,7
5,uPVC,6,Aluminium,1,9
2,Aluminium,15,Timber,2,4
5,Aluminium,7,Timber,1,4
6,uPVC,12,uPVC,2,3
2,Aluminium,4,uPVC,1,12
5,uPVC,14,Aluminium,3,2
12,Aluminium,13,uPVC,1,13
7,Aluminium,10,Timber,1,13
6,Glass,13,uPVC,2,3
4,Timber,12,uPVC,1,13
4,Timber,12,uPVC,2,4
14,uPVC,15,Aluminium,1,7
9,Aluminium,13,Timber,2,7
13,Glass,14,Aluminium,5,2
11,uPVC,13,Aluminium,4,2
10,Glass,15,Timber,1,13
5,Glass,13,uPVC,1,8
9,Aluminium,12,uPVC,2,3
13,Glass,14,uPVC,3,3
13,Glass,15,Timber,1,9
3,Aluminium,12,uPVC,1,12
9,Timber,13,uPVC,1,10
12,uPVC,14,Aluminium,1,7
5,Aluminium,7,uPVC,3,2
3,Timber,7,Aluminium,1,8
13,uPVC,15,Timber,18,1
5,uPVC,13,uPVC,1,8
9,Timber,14,uPVC,15,1
6,Timber,9,uPVC,2,3
5,Timber,11,Timber,1,9
9,Glass,15,Timber,4,3
3,Aluminium,6,Aluminium,1,11
12,uPVC,13,uPVC,2,3
3,Aluminium,12,Aluminium,1,7
13,Glass,14,uPVC,2,5
5,Aluminium,12,uPVC,2,3
6,Glass,10,uPVC,1,11
8,Aluminium,11,uPVC,9,1
13,Aluminium,15,uPVC,2,5
3,Glass,5,uPVC,1,4
14,Aluminium,15,Aluminium,1,10
3,Aluminium,9,Aluminium,1,3
11,uPVC,12,Timber,1,7
10,Aluminium,11,uPVC,4,2
2,uPVC,8,uPVC,1,10
8,Aluminium,13,Timber,2,5
3,uPVC,6,uPVC,1,8
4,Aluminium,6,uPVC,1,5
12,Aluminium,13,Timber,2,7
2,Aluminium,13,Timber,10,1
7,Glass,9,Aluminium,1,12
14,Glass,15,uPVC,1,8
8,uPVC,12,Timber,2,5
3,uPVC,9,Aluminium,1,8
14,Aluminium,15,Timber,1,12
10,Aluminium,14,Timber,2,5
13,Timber,15,uPVC,22,1
3,Glass,4,uPVC,1,8
9,Glass,12,uPVC,4,2
9,Glass,13,Timber,1,13
9,Glass,10,Timber,1,11
7,Timber,11,Aluminium,1,12
7,Glass,14,Aluminium,1,5
9,Glass,13,uPVC,5,2
9,Glass,12,uPVC,1,6
10,Aluminium,14,Aluminium,1,11
14,Aluminium,15,Timber,2,5
14,uPVC,15,uPVC,3,3
14,Glass,15,uPVC,3,3
5,Aluminium,12,Timber,1,13
9,uPVC,11,Aluminium,1,10
9,Timber,14,Aluminium,2,5
3,uPVC,10,Timber,1,10
3,Glass,7,uPVC,1,3
2,Timber,4,Timber,1,5
3,Timber,14,Aluminium,2,3
4,Aluminium,11,Aluminium,1,13
8,Aluminium,10,Aluminium,1,9
8,Glass,13,Timber,17,1
9,Timber,10,uPVC,1,6
4,uPVC,10,Timber,1,9
5,uPVC,11,uPVC,1,13
6,Glass,8,Timber,1,11
4,Timber,9,Timber,2,3
13,Glass,14,Timber,1,11
4,Aluminium,13,uPVC,1,13
5,Glass,11,Timber,3,3
7,Timber,14,uPVC,1,8
6,uPVC,15,Timber,1,12
10,Timber,13,Aluminium,1,11
3,uPVC,7,uPVC,1,9
3,Timber,6,uPVC,1,7
14,Glass,15,uPVC,1,11
9,uPVC,15,uPVC,1,7
7,Glass,10,Timber,2,4
6,Glass,13,Aluminium,1,8
10,Glass,11,Aluminium,13,1
11,Aluminium,12,Aluminium,1,12
4,Aluminium,12,Timber,11,1
11,uPVC,13,Aluminium,1,10
6,Timber,7,Aluminium,1,4
6,Timber,12,Timber,1,13
3,Glass,8,uPVC,6,1
2,Timber,10,Aluminium,1,9
2,uPVC,15,Timber,11,1
6,Aluminium,11,Timber,1,10
3,Glass,13,Timber,1,11
6,Timber,15,Timber,4,3
7,Aluminium,8,Timber,1,5
6,Glass,10,Aluminium,1,5
2,Timber,11,uPVC,6,1
2,Timber,13,uPVC,1,11
4,Glass,9,uPVC,1,13
4,uPVC,8,uPVC,3,2
2,Glass,15,Aluminium,1,5
5,Glass,11,Timber,4,2
2,uPVC,9,uPVC,1,4
6,Aluminium,8,uPVC,1,7
8,Glass,15,Aluminium,2,4
13,Timber,14,Timber,2,11
7,Aluminium,8,uPVC,1,7
4,Aluminium,5,uPVC,2,2
9,uPVC,14,Aluminium,1,11
7,Timber,9,uPVC,9,1
2,uPVC,15,Timber,5,2
4,Timber,12,uPVC,1,4
3,Timber,11,Timber,5,2
10,uPVC,13,uPVC,1,6
5,Aluminium,14,Aluminium,2,3
8,Glass,9,uPVC,10,1
10,Glass,13,Timber,1,10
3,uPVC,5,uPVC,1,5
