roof_area_m2,roof_height_m,roof_type,roof_covering,labor_count,duration_days
150.8,1.11,Gable,Asbestos Sheets,2,23
304.9,3.97,Gable,Concrete Tiles,2,58
185.4,3.3,Hip,Metal Sheets,11,13
273.1,3.03,Lean-to,Asbestos Sheets,14,13
308.5,3.49,Gable,Asbestos Sheets,6,22
191.2,3.65,Gable,Clay Tiles,9,21
339.4,2.21,Lean-to,Asbestos Sheets,15,11
213.6,2.76,Flat,RC Slab,13,26
307.7,2.76,Lean-to,Metal Sheets,9,13
151.3,2.06,Lean-to,Metal Sheets,11,7
189.6,1.95,Flat,RC Slab,15,21
198.2,1.62,Hip,Clay Tiles,13,21
98.7,2.87,Gable,Concrete Tiles,7,12
164.7,3.2,Flat,RC Slab,11,22
344.2,3.14,Flat,RC Slab,6,42
226.5,2.17,Lean-to,Metal Sheets,14,7
116.3,1.9,Hip,Asbestos Sheets,3,19
150.9,2.44,Gable,Concrete Tiles,5,20
119.3,2.62,Hip,Metal Sheets,6,13
68.5,3.71,Flat,RC Slab,4,18
350.9,3.51,Hip,Clay Tiles,10,31
176.8,3.69,Lean-to,Metal Sheets,11,9
143.9,3.42,Hip,Metal Sheets,14,8
216.9,3.98,Gable,Metal Sheets,9,14
55.5,2.46,Hip,Concrete Tiles,10,8
137.5,1.33,Flat,RC Slab,10,19
249.6,1.5,Lean-to,Asbestos Sheets,2,31
227.4,2.32,Hip,Metal Sheets,11,13
400.4,2.04,Hip,Concrete Tiles,2,60
223.4,1.8,Hip,Asbestos Sheets,9,18
184.1,3.9,Hip,Metal Sheets,15,11
270.3,1.88,Gable,Concrete Tiles,13,16
335.6,3.94,Lean-to,Metal Sheets,9,16
255.6,3.14,Lean-to,Metal Sheets,6,18
379.4,2.83,Hip,Clay Tiles,13,29
278.3,2.91,Hip,Metal Sheets,14,14
315.8,2.2,Gable,Metal Sheets,7,18
101.2,2.84,Hip,Clay Tiles,3,32
259.7,1.85,Hip,Concrete Tiles,10,25
174.8,3.8,Flat,RC Slab,10,23
204.1,2.14,Gable,Clay Tiles,15,15
233.7,2.03,Flat,RC Slab,14,29
386.1,3,Gable,Clay Tiles,5,44
404.3,2.87,Flat,RC Slab,5,40
139.7,2.44,Flat,RC Slab,15,17
260.2,2.81,Gable,Asbestos Sheets,6,20
266.1,1.77,Hip,Clay Tiles,8,34
152.6,2.91,Lean-to,Metal Sheets,6,10
103.7,2.07,Flat,RC Slab,7,16
76.6,2.07,Gable,Concrete Tiles,9,10
276.4,1.78,Hip,Clay Tiles,6,38
187.2,2.2,Gable,Metal Sheets,7,14
405.8,2.2,Flat,RC Slab,6,39
180.9,2.44,Flat,RC Slab,3,39
395.3,1.86,Gable,Asbestos Sheets,13,12
167.8,1.87,Flat,RC Slab,14,19
282.9,2.61,Flat,RC Slab,8,34
92.7,1.67,Lean-to,Asbestos Sheets,4,9
204.8,2.95,Gable,Concrete Tiles,11,18
286.4,3.84,Gable,Clay Tiles,9,26
349.1,2.39,Hip,Concrete Tiles,9,29
295.1,3.62,Gable,Clay Tiles,10,24
74.8,1.56,Hip,Clay Tiles,12,9
158.7,1.3,Gable,Metal Sheets,2,20
80,3.03,Gable,Clay Tiles,3,19
99.9,3.14,Flat,RC Slab,3,25
240.4,3.4,Gable,Concrete Tiles,4,32
253,1.38,Flat,RC Slab,15,25
275,3.18,Gable,Clay Tiles,12,22
315.1,2.29,Hip,Metal Sheets,11,15
262.2,2.14,Hip,Clay Tiles,11,22
285.9,1.81,Lean-to,Metal Sheets,2,33
80.1,4.32,Lean-to,Asbestos Sheets,4,9
128.2,1.41,Hip,Concrete Tiles,13,13
223.8,3.34,Flat,RC Slab,8,30
311.5,2.83,Gable,Asbestos Sheets,9,17
52.1,3.07,Hip,Clay Tiles,12,8
193.7,3,Gable,Metal Sheets,3,25
241,3.45,Hip,Asbestos Sheets,13,17
71.2,1.84,Gable,Concrete Tiles,11,7
165.4,0.87,Lean-to,Asbestos Sheets,7,12
331.2,2.73,Hip,Clay Tiles,8,30
239.2,2.25,Hip,Metal Sheets,3,31
128.8,1.66,Hip,Asbestos Sheets,4,17
308.9,1.85,Gable,Metal Sheets,5,23
153,2.2,Gable,Asbestos Sheets,14,8
309.1,1.44,Lean-to,Asbestos Sheets,3,28
142,1.38,Lean-to,Asbestos Sheets,6,11
214.6,3.69,Gable,Clay Tiles,3,49
164.4,2.16,Flat,RC Slab,5,29
136.8,4.13,Hip,Metal Sheets,2,30
326.1,3.97,Gable,Metal Sheets,5,20
118.4,1.72,Hip,Concrete Tiles,12,11
92.7,3.01,Gable,Clay Tiles,12,8
151.6,2.74,Gable,Concrete Tiles,7,20
254.5,2.95,Flat,RC Slab,11,31
288.6,1.55,Gable,Metal Sheets,10,14
437,1.86,Lean-to,Concrete Tiles,14,16
141.5,1.47,Flat,RC Slab,13,17
167,2.75,Lean-to,Metal Sheets,5,13
107,4.18,Flat,RC Slab,10,21
210.2,2.9,Lean-to,Metal Sheets,13,11
431.9,3,Hip,Clay Tiles,6,45
248.8,4.15,Hip,Clay Tiles,10,30
216,2.92,Hip,Asbestos Sheets,7,23
163.3,1.29,Lean-to,Metal Sheets,6,11
342.9,3.48,Gable,Concrete Tiles,4,39
189.1,2.27,Hip,Clay Tiles,2,56
106.4,0.96,Lean-to,Metal Sheets,12,5
157,2.54,Hip,Asbestos Sheets,13,11
86.9,3.8,Lean-to,Metal Sheets,11,5
121.4,2.03,Hip,Clay Tiles,5,25
64.1,2.51,Gable,Clay Tiles,2,20
178,1.81,Hip,Asbestos Sheets,10,15
227.6,1.38,Hip,Asbestos Sheets,4,25
151.9,1.49,Gable,Clay Tiles,9,19
170,3.04,Gable,Concrete Tiles,15,12
375.7,3.47,Gable,Clay Tiles,2,59
266.8,1.72,Lean-to,Asbestos Sheets,10,13
200.8,2.11,Lean-to,Metal Sheets,15,9
138.9,1.87,Hip,Metal Sheets,6,14
331.9,1.2,Gable,Asbestos Sheets,13,13
128.3,2.64,Hip,Clay Tiles,13,14
147.9,2.97,Lean-to,Metal Sheets,8,8
339.1,2.85,Flat,RC Slab,6,44
197.7,2.32,Gable,Clay Tiles,11,20
263.3,2.64,Gable,Clay Tiles,10,26
214.7,1.55,Lean-to,Metal Sheets,8,13
233.5,1.76,Lean-to,Metal Sheets,4,16
142.1,3.77,Gable,Asbestos Sheets,12,8
129.6,3.14,Lean-to,Metal Sheets,4,13
147.2,3.73,Gable,Metal Sheets,3,19
111.4,3.7,Gable,Clay Tiles,2,30
319.6,2.85,Lean-to,Metal Sheets,8,14
138.6,3.75,Hip,Concrete Tiles,3,36
206.4,2.37,Hip,Asbestos Sheets,6,22
282.2,0.95,Lean-to,Metal Sheets,5,18
279,1.41,Lean-to,Metal Sheets,8,13
174.3,1.61,Gable,Metal Sheets,12,9
183.8,1.55,Flat,RC Slab,8,23
423.2,2.24,Lean-to,Asbestos Sheets,9,16
240.2,2.98,Hip,Concrete Tiles,4,35
291.6,3.22,Lean-to,Metal Sheets,3,23
335.2,2.72,Flat,RC Slab,15,28
280.5,1.73,Gable,Clay Tiles,10,28
117.9,3.1,Gable,Metal Sheets,2,17
206.6,2.25,Lean-to,Asbestos Sheets,9,12
97.8,1.08,Lean-to,Asbestos Sheets,2,16
233.3,2.09,Gable,Clay Tiles,3,50
372.3,2.2,Gable,Clay Tiles,7,31
193.2,2.07,Lean-to,Concrete Tiles,11,16
173,3.29,Gable,Metal Sheets,10,10
74.3,3.13,Gable,Clay Tiles,13,8
376.2,2.96,Lean-to,Concrete Tiles,4,36
98.1,1.71,Lean-to,Asbestos Sheets,4,10
76.7,3.28,Lean-to,Metal Sheets,9,6
130.6,2.92,Flat,RC Slab,14,16
86.4,1.87,Gable,Clay Tiles,12,10
178.5,2.85,Lean-to,Asbestos Sheets,11,10
194.1,2.5,Gable,Clay Tiles,3,38
145,2.41,Gable,Concrete Tiles,14,10
80.9,1.61,Lean-to,Asbestos Sheets,15,4
100.5,2.57,Flat,RC Slab,10,18
161.4,1.57,Lean-to,Metal Sheets,6,11
84.6,1.79,Gable,Asbestos Sheets,11,6
247.9,1.69,Lean-to,Metal Sheets,10,11
122.4,3.9,Flat,RC Slab,15,17
142.7,2.1,Flat,RC Slab,3,28
163.7,2.25,Lean-to,Metal Sheets,9,9
169.1,2.18,Hip,Concrete Tiles,11,19
47.4,3.61,Flat,RC Slab,6,13
100.6,2.66,Flat,RC Slab,13,14
313.7,3.71,Lean-to,Asbestos Sheets,2,37
46.4,2.13,Lean-to,Metal Sheets,3,7
192,1.62,Flat,RC Slab,13,22
187.2,2.64,Gable,Concrete Tiles,3,34
149.6,2.23,Gable,Asbestos Sheets,7,14
172.6,3.26,Lean-to,Asbestos Sheets,5,15
277.7,3.53,Lean-to,Asbestos Sheets,11,15
303.4,2.48,Lean-to,Metal Sheets,2,30
133.7,4.03,Gable,Clay Tiles,6,22
147.2,2.64,Hip,Concrete Tiles,15,15
129.9,2.07,Lean-to,Metal Sheets,7,8
184.7,2.51,Lean-to,Asbestos Sheets,10,10
243,1.27,Gable,Clay Tiles,15,15
126.9,3.27,Flat,RC Slab,10,19
149.1,1.57,Gable,Clay Tiles,12,15
352.9,2.15,Hip,Clay Tiles,15,22
79.9,2.66,Gable,Clay Tiles,10,10
179.9,1.3,Gable,Clay Tiles,13,14
252.4,1.49,Gable,Concrete Tiles,9,21
110.2,2.96,Lean-to,Asbestos Sheets,13,6
79.4,1.45,Flat,RC Slab,10,14
107.3,2.48,Lean-to,Metal Sheets,6,8
345.2,2.22,Hip,Clay Tiles,9,29
57.4,1.96,Hip,Metal Sheets,6,6
118.6,1.86,Hip,Clay Tiles,7,17
72,3.14,Flat,RC Slab,6,15
100.2,3.89,Hip,Concrete Tiles,8,16
223.3,1.71,Flat,RC Slab,6,32
129.7,3.94,Lean-to,Metal Sheets,10,6
208.6,2.73,Lean-to,Asbestos Sheets,7,14
214.5,2.83,Gable,Metal Sheets,8,15
307.3,3,Hip,Concrete Tiles,3,51
52.5,2.98,Gable,Asbestos Sheets,7,6
309.1,3.32,Gable,Metal Sheets,6,18
223,2.5,Flat,RC Slab,15,26
113.1,2.6,Hip,Clay Tiles,8,19
274.7,2.18,Flat,RC Slab,2,55
310.2,1.59,Gable,Clay Tiles,6,28
132.4,2.89,Lean-to,Metal Sheets,12,6
345.2,1.25,Lean-to,Metal Sheets,4,24
178.3,2.08,Hip,Concrete Tiles,4,31
218.4,1.55,Lean-to,Metal Sheets,7,14
404.4,1.86,Gable,Clay Tiles,6,32
156.1,2.82,Flat,RC Slab,8,25
291,2.8,Lean-to,Metal Sheets,2,29
146.3,2.38,Lean-to,Asbestos Sheets,12,8
285.2,1.53,Lean-to,Asbestos Sheets,4,21
217.6,2.4,Hip,Asbestos Sheets,11,16
124.4,2.25,Lean-to,Metal Sheets,9,7
168.4,3.03,Flat,RC Slab,4,34
146.2,2.69,Gable,Clay Tiles,8,17
90.6,2.51,Gable,Asbestos Sheets,2,16
71.3,2.5,Lean-to,Asbestos Sheets,11,5
152.6,3.99,Flat,RC Slab,6,25
65,3.12,Hip,Concrete Tiles,7,12
113.7,2.52,Lean-to,Metal Sheets,4,11
257.2,2.49,Flat,RC Slab,7,33
251.3,1.2,Hip,Clay Tiles,7,33
261.9,3.83,Hip,Metal Sheets,5,25
146,2.17,Flat,RC Slab,15,16
328,2.03,Lean-to,Asbestos Sheets,5,20
215.6,4.43,Hip,Concrete Tiles,4,47
104.3,3.02,Hip,Concrete Tiles,9,14
108.7,1.33,Flat,RC Slab,6,17
246.2,1.41,Flat,RC Slab,8,31
115.3,1.19,Lean-to,Metal Sheets,12,5
191.8,2.74,Gable,Clay Tiles,3,36
416.6,1.45,Lean-to,Asbestos Sheets,9,14
51.5,3.78,Hip,Concrete Tiles,2,20
63.3,3.8,Gable,Clay Tiles,2,17
419.4,2.62,Flat,RC Slab,3,48
212.9,2.77,Flat,RC Slab,4,39
104.5,2.11,Hip,Clay Tiles,6,21
332.1,1.42,Lean-to,Concrete Tiles,15,17
322.8,3.07,Gable,Clay Tiles,14,20
199.5,1.58,Gable,Clay Tiles,3,43
223.8,1.51,Hip,Concrete Tiles,15,17
136.4,2.16,Hip,Metal Sheets,10,10
80.7,1.07,Flat,RC Slab,9,15
215.8,2.4,Lean-to,Asbestos Sheets,13,10
141.1,2.99,Flat,RC Slab,8,24
236.7,3.26,Gable,Metal Sheets,5,19
301.2,2.75,Hip,Clay Tiles,9,33
64.4,3.41,Gable,Asbestos Sheets,12,4
216.1,2.35,Flat,RC Slab,11,28
127.5,3.42,Gable,Asbestos Sheets,4,15
319.4,2.54,Hip,Concrete Tiles,15,24
132.2,1.95,Lean-to,Asbestos Sheets,5,12
220.5,3.84,Flat,RC Slab,13,30
204.2,2.08,Gable,Clay Tiles,6,28
164.2,1.19,Gable,Clay Tiles,2,39
241.2,2,Flat,RC Slab,15,27
257.4,2.27,Hip,Clay Tiles,10,30
207.9,2.24,Gable,Clay Tiles,5,32
269.2,2.58,Lean-to,Clay Tiles,2,43
402.6,3.55,Hip,Clay Tiles,3,58
169.7,2.12,Hip,Concrete Tiles,4,36
193.7,2.57,Gable,Clay Tiles,14,15
60.2,2.22,Hip,Clay Tiles,4,16
283.9,3.32,Gable,Clay Tiles,4,43
195.2,1.77,Gable,Clay Tiles,13,16
167,1.58,Hip,Concrete Tiles,14,13
95.5,2.53,Hip,Asbestos Sheets,4,14
327.8,2.9,Lean-to,Metal Sheets,11,15
163.9,3.24,Lean-to,Clay Tiles,9,16
242.8,2.71,Gable,Concrete Tiles,10,20
110,3.17,Gable,Concrete Tiles,6,14
377.9,2.32,Lean-to,Metal Sheets,12,13
116.5,1.24,Lean-to,Metal Sheets,14,5
120.9,1.63,Lean-to,Asbestos Sheets,12,6
311.9,1.28,Gable,Concrete Tiles,14,20
341.2,2.2,Gable,Clay Tiles,3,51
123.5,2.52,Gable,Metal Sheets,11,7
182.2,2.25,Lean-to,Metal Sheets,15,7
260.1,2.65,Hip,Metal Sheets,9,19
321.7,2.49,Hip,Clay Tiles,15,24
160.1,2.92,Hip,Asbestos Sheets,6,16
194.4,2.89,Gable,Clay Tiles,14,15
263.1,2.17,Flat,RC Slab,15,24
259.3,2.23,Gable,Clay Tiles,10,21
278.6,2.7,Flat,RC Slab,11,26
208.8,2.73,Flat,RC Slab,9,26
98.6,2.16,Flat,RC Slab,6,18
336,2.2,Gable,Concrete Tiles,9,24
315.1,2.96,Lean-to,Metal Sheets,15,12
284.7,2.84,Flat,RC Slab,2,54
97.2,1.69,Gable,Asbestos Sheets,4,12
121.9,2.42,Gable,Concrete Tiles,8,15
263.7,3.59,Flat,RC Slab,6,37
67.5,1.26,Gable,Clay Tiles,10,8
397,3.44,Gable,Clay Tiles,7,33
159.7,1.78,Gable,Asbestos Sheets,11,10
255.1,2.54,Gable,Concrete Tiles,3,52
326.7,2.38,Hip,Metal Sheets,6,25
163.8,1.04,Flat,RC Slab,11,19
146.5,3.69,Gable,Clay Tiles,8,19
219.9,2.44,Flat,RC Slab,11,26
211.9,3.9,Gable,Asbestos Sheets,10,15
167.3,2.1,Gable,Concrete Tiles,6,19
217.9,3.48,Gable,Concrete Tiles,7,24
356.5,3.72,Lean-to,Metal Sheets,15,11
181.6,2.64,Lean-to,Metal Sheets,15,8
120.3,1.9,Hip,Asbestos Sheets,2,26
159.7,2.94,Gable,Asbestos Sheets,11,11
163.7,2.63,Gable,Clay Tiles,8,20
105.6,3.84,Gable,Asbestos Sheets,2,21
113.1,2.41,Lean-to,Metal Sheets,10,6
243.4,2.06,Gable,Clay Tiles,2,58
151.1,1.7,Lean-to,Metal Sheets,6,12
371.9,2.97,Hip,Clay Tiles,11,30
130.1,4.05,Hip,Clay Tiles,13,16
97,1.21,Lean-to,Metal Sheets,7,8
267.4,3.08,Gable,Clay Tiles,13,21
323.1,3.75,Lean-to,Asbestos Sheets,13,13
137.5,1.47,Gable,Metal Sheets,8,10
121.4,1.61,Lean-to,Asbestos Sheets,4,13
118.1,2.95,Hip,Clay Tiles,11,14
195.7,2.85,Gable,Metal Sheets,2,31
181.8,1.44,Lean-to,Metal Sheets,14,7
133.5,3.37,Gable,Metal Sheets,7,12
78.5,2.58,Gable,Concrete Tiles,12,8
185.1,3.65,Lean-to,Metal Sheets,12,9
375.8,3.53,Hip,Clay Tiles,8,39
233.2,3.29,Lean-to,Asbestos Sheets,15,11
188.7,2.56,Flat,RC Slab,13,26
100.3,2.02,Flat,RC Slab,14,14
132,2.54,Gable,Asbestos Sheets,3,19
141.1,1.57,Gable,Concrete Tiles,8,15
271.6,2.87,Lean-to,Clay Tiles,15,17
320.8,1.69,Gable,Asbestos Sheets,13,13
334.6,2.55,Hip,Clay Tiles,8,36
404.3,1.37,Gable,Metal Sheets,2,38
401.2,2.13,Gable,Clay Tiles,5,41
370.3,1.97,Hip,Concrete Tiles,10,28
88.5,2.78,Lean-to,Metal Sheets,10,5
107.2,3.21,Lean-to,Clay Tiles,14,10
143.2,1.38,Lean-to,Asbestos Sheets,3,16
204,3.42,Gable,Clay Tiles,7,29
96.4,3.46,Hip,Clay Tiles,5,22
305.6,2.22,Gable,Clay Tiles,15,22
222.3,2.87,Flat,RC Slab,4,41
201.2,2.34,Gable,Metal Sheets,5,17
113.6,1.76,Hip,Asbestos Sheets,6,13
132.1,2.59,Gable,Clay Tiles,3,29
112.5,1.52,Lean-to,Metal Sheets,11,6
308.5,3.53,Lean-to,Asbestos Sheets,9,18
212.8,3.73,Lean-to,Metal Sheets,9,13
260.7,3.32,Gable,Concrete Tiles,14,17
141.4,2.66,Lean-to,Metal Sheets,8,10
158.3,2.65,Gable,Clay Tiles,6,23
166.2,4.15,Gable,Clay Tiles,7,21
269.8,2.01,Gable,Asbestos Sheets,13,12
274.5,1.47,Gable,Clay Tiles,9,27
122.4,2.66,Hip,Clay Tiles,4,31
361.1,2.2,Gable,Metal Sheets,11,15
102.9,2.18,Hip,Asbestos Sheets,12,9
331.4,1,Flat,RC Slab,5,43
97.4,2.73,Lean-to,Metal Sheets,9,6
134.6,2.05,Flat,RC Slab,9,21
305.9,1.85,Hip,Clay Tiles,4,50
116.7,1.29,Gable,Concrete Tiles,2,29
168.3,2.27,Lean-to,Metal Sheets,12,7
177.2,3.53,Gable,Concrete Tiles,10,19
130.4,2.21,Gable,Clay Tiles,11,15
252,2.92,Gable,Clay Tiles,7,28
308.2,3.12,Flat,RC Slab,9,33
319.7,2.19,Hip,Clay Tiles,15,25
151,3.32,Flat,RC Slab,5,27
198.1,2.95,Gable,Metal Sheets,11,10
131.1,2.65,Hip,Clay Tiles,3,37
130.3,0.88,Hip,Clay Tiles,2,37
112.7,1.26,Gable,Concrete Tiles,15,9
359.9,4.23,Hip,Metal Sheets,3,37
326.9,3.2,Flat,RC Slab,11,36
276.4,3.8,Hip,Clay Tiles,9,34
194.5,3.63,Gable,Concrete Tiles,13,16
187.5,1.15,Flat,RC Slab,9,23
197.8,3.23,Gable,Concrete Tiles,11,18
199.6,2.43,Gable,Clay Tiles,14,18
173.4,3.22,Gable,Asbestos Sheets,13,10
105.7,1,Hip,Metal Sheets,12,7
104.2,2.11,Gable,Clay Tiles,4,20
369.6,3.11,Flat,RC Slab,4,50
185.3,3.23,Gable,Clay Tiles,8,22
370.4,2.78,Lean-to,Metal Sheets,11,13
113.2,2.14,Gable,Clay Tiles,11,11
204.5,2.16,Flat,RC Slab,13,30
122.6,3.99,Lean-to,Metal Sheets,3,15
132.1,2.41,Hip,Asbestos Sheets,4,19
71.4,2.43,Gable,Metal Sheets,4,9
102.5,2.63,Hip,Clay Tiles,9,14
343.9,2.36,Lean-to,Metal Sheets,10,13
147,2.64,Lean-to,Metal Sheets,3,16
219.7,2.4,Gable,Concrete Tiles,14,16
181,3.34,Lean-to,Metal Sheets,6,14
165.2,3.66,Gable,Asbestos Sheets,11,10
198.3,3.77,Gable,Metal Sheets,12,12
118.4,2.66,Flat,RC Slab,2,35
410.7,2.42,Hip,Clay Tiles,14,27
293.2,2.99,Hip,Concrete Tiles,15,19
263,3.38,Lean-to,Asbestos Sheets,15,10
181.9,2.66,Gable,Metal Sheets,3,25
110.8,2.97,Flat,RC Slab,7,28
346.4,3.11,Hip,Concrete Tiles,5,47
151.5,2.91,Gable,Clay Tiles,8,20
80.5,3.1,Hip,Concrete Tiles,15,9
151.7,1.91,Lean-to,Metal Sheets,12,7
283.2,2.53,Hip,Concrete Tiles,12,26
224.1,2.71,Gable,Clay Tiles,7,25
266.4,0.92,Flat,RC Slab,15,22
282.9,3.44,Lean-to,Asbestos Sheets,14,11
123.5,2.76,Lean-to,Asbestos Sheets,13,7
348.5,1.67,Hip,Clay Tiles,13,26
174.2,3.31,Hip,Clay Tiles,11,22
229,3.02,Hip,Metal Sheets,3,32
48.7,3.13,Lean-to,Metal Sheets,5,5
420,2.32,Lean-to,Asbestos Sheets,12,13
138.1,3.44,Lean-to,Asbestos Sheets,6,11
85.1,2.37,Hip,Clay Tiles,4,18
179.3,2.67,Gable,Metal Sheets,15,8
105.1,0.86,Hip,Concrete Tiles,8,13
110.7,2.84,Gable,Concrete Tiles,14,10
226.9,3.02,Gable,Clay Tiles,5,36
163.4,2.67,Hip,Clay Tiles,7,23
347.2,2.52,Flat,RC Slab,6,39
146.5,3.28,Lean-to,Metal Sheets,7,12
257.5,2.93,Lean-to,Concrete Tiles,8,21
180,2.08,Lean-to,Asbestos Sheets,6,15
235.5,3.94,Lean-to,Asbestos Sheets,13,12
217.3,2.99,Flat,RC Slab,6,38
182.9,4.19,Gable,Clay Tiles,8,24
367.8,4.03,Flat,RC Slab,14,31
151.8,3.71,Gable,Concrete Tiles,8,18
116.2,3.12,Gable,Metal Sheets,2,20
241.3,2.76,Gable,Concrete Tiles,2,51
305.7,1.81,Lean-to,Metal Sheets,8,13
76.3,2.62,Flat,RC Slab,11,15
177.1,3.15,Lean-to,Asbestos Sheets,15,9
329.4,2.57,Lean-to,Metal Sheets,3,25
265.9,3.49,Lean-to,Metal Sheets,9,13
416.7,1.61,Gable,Asbestos Sheets,6,21
198.2,2.3,Lean-to,Metal Sheets,8,11
235.5,2.54,Lean-to,Metal Sheets,8,11
142.8,2.4,Lean-to,Asbestos Sheets,6,11
365.7,1.6,Gable,Asbestos Sheets,2,40
157.2,1.75,Gable,Clay Tiles,3,28
261.9,3.38,Lean-to,Asbestos Sheets,9,15
165.8,2.5,Gable,Clay Tiles,5,28
206.5,1.34,Hip,Clay Tiles,6,34
255.3,1.11,Hip,Clay Tiles,3,51
192.2,2.48,Gable,Concrete Tiles,2,38
337.9,1.79,Gable,Clay Tiles,3,51
169.7,2.99,Lean-to,Metal Sheets,7,12
231.5,3.24,Lean-to,Asbestos Sheets,4,24
151.7,1.96,Lean-to,Asbestos Sheets,5,16
167,2.72,Gable,Metal Sheets,6,13
174.8,1.76,Gable,Metal Sheets,6,11
104.2,2.14,Hip,Clay Tiles,2,31
94.9,3.57,Hip,Clay Tiles,3,27
237.9,2.62,Gable,Concrete Tiles,15,17
234.1,3.56,Lean-to,Asbestos Sheets,11,12
236.4,1.95,Lean-to,Metal Sheets,3,21
65.5,2.2,Hip,Clay Tiles,5,14
148.1,2.47,Hip,Clay Tiles,7,21
120.6,2.49,Hip,Clay Tiles,14,14
276.7,4.36,Gable,Asbestos Sheets,14,13
312.7,1.62,Gable,Concrete Tiles,12,19
130.7,3.43,Hip,Clay Tiles,3,32
238,3.47,Hip,Concrete Tiles,8,30
105.1,2.64,Hip,Concrete Tiles,8,15
136.8,2.23,Lean-to,Metal Sheets,10,8
107.4,2.57,Gable,Clay Tiles,13,11
138.6,2.12,Gable,Metal Sheets,6,11
240.2,3.25,Gable,Clay Tiles,9,23
339.9,2.53,Gable,Concrete Tiles,5,32
121.5,3.74,Hip,Concrete Tiles,4,25
201.1,2.79,Lean-to,Asbestos Sheets,6,19
249,2.56,Lean-to,Clay Tiles,12,17
370.2,3,Flat,RC Slab,8,36
220.3,2.54,Hip,Metal Sheets,11,14
132.5,3.64,Gable,Concrete Tiles,11,13
224.9,1.84,Hip,Clay Tiles,7,35
146.8,4.04,Gable,Concrete Tiles,15,12
393.2,3.29,Lean-to,Asbestos Sheets,2,39
165,3.46,Hip,Asbestos Sheets,14,12
243.7,2.5,Gable,Metal Sheets,2,39
67.6,3.38,Gable,Clay Tiles,7,12
165.1,2.15,Gable,Metal Sheets,13,8
320,3.14,Lean-to,Asbestos Sheets,11,14
220.4,1.71,Gable,Concrete Tiles,6,27
175.7,2.15,Gable,Concrete Tiles,14,14
356.9,2.42,Gable,Concrete Tiles,3,43
309.4,2.18,Lean-to,Asbestos Sheets,11,14
147.2,2.31,Hip,Clay Tiles,9,20
201.8,3.32,Flat,RC Slab,4,38
187.3,2.03,Hip,Clay Tiles,14,17
226.9,3.09,Gable,Metal Sheets,12,12
149.8,1.46,Lean-to,Concrete Tiles,2,27
130.2,3.15,Gable,Metal Sheets,3,16
341.3,3.23,Gable,Clay Tiles,2,60
348.5,2.34,Hip,Clay Tiles,7,38
304.4,3.03,Gable,Clay Tiles,7,35
395.7,3.69,Gable,Metal Sheets,12,15
264.3,3.26,Lean-to,Asbestos Sheets,11,15
271.6,2.32,Hip,Asbestos Sheets,2,49
270.8,2.5,Gable,Clay Tiles,8,29
184.9,3.19,Gable,Concrete Tiles,12,19
178.8,2.12,Flat,RC Slab,14,20
129.4,3.27,Gable,Metal Sheets,6,10
230.8,2.19,Gable,Clay Tiles,2,57
139.9,3.27,Flat,RC Slab,4,29
133.1,1.52,Flat,RC Slab,6,23
213.3,1.31,Lean-to,Clay Tiles,8,21
167.5,4.37,Hip,Concrete Tiles,6,26
124.9,3.49,Gable,Clay Tiles,3,32
292.2,3.55,Hip,Clay Tiles,6,37
312.7,3.88,Flat,RC Slab,6,43
114.2,2.41,Gable,Metal Sheets,8,9
55.7,2.1,Hip,Concrete Tiles,3,13
150.3,1.68,Gable,Metal Sheets,13,7
284.5,2.53,Lean-to,Asbestos Sheets,7,16
302.5,1.94,Lean-to,Metal Sheets,6,17
107.4,3.79,Hip,Metal Sheets,14,7
275.3,0.95,Lean-to,Concrete Tiles,12,17
101.6,1.72,Lean-to,Metal Sheets,3,11
162.7,2.01,Gable,Metal Sheets,4,20
436.3,1.89,Hip,Clay Tiles,2,60
119.5,1.96,Flat,RC Slab,9,20
111.1,2.87,Gable,Clay Tiles,6,16
170.5,2.19,Hip,Clay Tiles,7,25
223.2,2.77,Gable,Metal Sheets,9,16
354.7,3.58,Lean-to,Metal Sheets,9,13
399.1,2.74,Hip,Clay Tiles,2,60
87.8,2.96,Lean-to,Asbestos Sheets,3,11
107.3,2.27,Hip,Clay Tiles,13,12
281.7,1.77,Gable,Metal Sheets,15,10
135.9,2.18,Lean-to,Concrete Tiles,13,10
325.2,3.97,Gable,Clay Tiles,14,22
236.6,2.79,Gable,Clay Tiles,8,21
100.6,2.08,Hip,Asbestos Sheets,13,7
299.5,2.43,Flat,RC Slab,14,28
116.1,3.37,Gable,Clay Tiles,14,10
170.7,2.89,Gable,Clay Tiles,4,34
203.9,2.65,Gable,Asbestos Sheets,4,22
190.1,3.56,Gable,Metal Sheets,7,14
243.9,2.9,Gable,Concrete Tiles,9,22
233.2,2.83,Hip,Concrete Tiles,15,20
417.2,1.86,Gable,Asbestos Sheets,6,24
441.2,1.59,Gable,Concrete Tiles,13,24
194.2,3.98,Flat,RC Slab,14,26
95.9,2.73,Flat,RC Slab,15,16
258.1,2.37,Gable,Concrete Tiles,4,41
393.8,2.71,Gable,Metal Sheets,5,23
146.3,1.4,Gable,Concrete Tiles,5,23
180,3.32,Lean-to,Metal Sheets,12,9
171,1.93,Gable,Clay Tiles,11,17
81.1,3.27,Gable,Concrete Tiles,7,11
