foundation_type,soil_condition,total_volume_m3,labor_count,duration_days
Rubble,Soft,70.1,11,4
Concrete,Normal,69.6,11,8
Concrete,Soft,47.9,15,5
Rubble,Normal,66,8,4
Raft,Soft,41.1,4,11
Pile,Normal,73.9,15,12
Strip,Normal,57.3,8,6
Strip,Normal,142.8,8,12
Concrete,Soft,94.8,4,19
Concrete,Hard,16.7,9,3
Rubble,Normal,56.4,12,4
Concrete,Hard,73,7,11
Strip,Normal,62.4,9,5
Concrete,Hard,25,6,5
Pile,Normal,99.3,15,19
Rubble,Normal,26.9,2,5
Strip,Soft,64,10,5
Pile,Normal,99.3,8,27
Raft,Soft,143.7,14,16
Raft,Normal,111.7,10,15
Strip,Soft,100.1,2,22
Strip,Normal,61.5,4,12
Concrete,Hard,69.5,10,8
Concrete,Normal,117.1,14,10
Concrete,Normal,105.9,9,10
Concrete,Soft,94.2,6,13
Strip,Normal,51.3,9,5
Concrete,Normal,104.5,3,24
Pile,Hard,118.2,13,21
Rubble,Soft,75.8,4,9
Rubble,Normal,58.3,9,5
Raft,Soft,100.8,11,13
Strip,Normal,33,9,4
Strip,Soft,65,11,5
Raft,Normal,73.8,4,23
Concrete,Hard,16.7,8,3
Pile,Hard,118.2,4,43
Rubble,Normal,58.3,13,4
Rubble,Normal,26.9,4,3
Strip,Soft,88.7,9,7
Pile,Hard,118.2,10,25
Strip,Hard,78.4,12,7
Raft,Hard,65.5,13,10
Concrete,Normal,93.4,13,9
Concrete,Soft,94.2,7,12
Strip,Soft,78,2,19
Concrete,Normal,103.3,13,8
Rubble,Soft,70.1,6,7
Strip,Normal,121.8,15,8
Concrete,Soft,94.8,13,9
Raft,Hard,65.5,14,10
Raft,Soft,146.9,9,19
Strip,Normal,44.1,12,4
Rubble,Soft,70.1,5,7
Strip,Normal,57.3,15,4
Raft,Soft,84.3,10,12
Strip,Normal,55.7,10,6
Rubble,Soft,44.2,8,3
Raft,Soft,146.9,14,14
Raft,Normal,93.8,10,13
Pile,Hard,46.8,15,11
Strip,Normal,51.3,15,4
Concrete,Normal,84.3,2,25
Rubble,Soft,75.8,6,7
Pile,Soft,23.7,14,6
Raft,Soft,143.7,5,30
Concrete,Normal,84.3,3,19
Rubble,Normal,66,11,3
Raft,Normal,93.8,5,19
Concrete,Hard,47.1,3,14
Pile,Normal,99.3,10,24
Rubble,Normal,26.9,9,2
Raft,Hard,64.5,10,13
Strip,Normal,65.2,5,8
Concrete,Normal,89.5,5,15
Strip,Normal,35.9,7,4
Concrete,Normal,112.6,11,10
Strip,Hard,78.4,10,7
Concrete,Normal,84.3,5,13
Rubble,Soft,45.7,12,3
Raft,Normal,137,2,56
Strip,Normal,83.1,15,6
Raft,Normal,52.6,5,11
Rubble,Normal,66,2,12
Concrete,Soft,47.9,12,5
Raft,Normal,52.6,7,10
Concrete,Normal,93.4,4,19
Concrete,Soft,67.6,10,7
Raft,Normal,51.9,14,8
Raft,Soft,41.1,12,6
Raft,Normal,70.8,9,11
Concrete,Normal,112.6,9,11
Concrete,Soft,47.9,13,5
Strip,Normal,33,4,7
Strip,Hard,78.4,13,6
Raft,Normal,51.9,7,12
Strip,Normal,35.9,14,3
Strip,Soft,64,6,7
Raft,Soft,146.9,10,17
Concrete,Soft,94.2,10,9
Strip,Normal,24.1,5,4
Rubble,Normal,80.7,5,8
Rubble,Normal,58.8,5,6
Concrete,Normal,82.2,15,7
Concrete,Normal,69.6,10,9
Rubble,Soft,16.1,11,1
Concrete,Normal,89.5,2,28
Concrete,Normal,112.6,15,8
Strip,Normal,35.6,5,6
Strip,Soft,64,15,4
Raft,Soft,106.1,6,18
Strip,Normal,33,3,8
Rubble,Hard,24.6,5,4
Concrete,Normal,84.3,11,8
Rubble,Normal,29.1,12,2
Strip,Normal,65.7,8,7
Strip,Soft,31.6,13,3
Concrete,Soft,75,11,8
Concrete,Normal,93.5,6,13
Strip,Hard,89.9,14,8
Strip,Normal,33,12,4
Raft,Normal,93.8,9,14
Strip,Hard,62.4,5,11
Strip,Soft,31.6,4,5
Strip,Normal,62.4,7,6
Strip,Normal,61.5,8,8
Raft,Normal,70.8,10,11
Strip,Soft,65,14,5
Raft,Soft,143.7,2,55
Strip,Normal,83.1,6,11
Concrete,Normal,69.6,7,11
Strip,Normal,57.3,9,6
Concrete,Normal,105.9,2,28
Strip,Normal,57.3,10,5
Concrete,Normal,85,4,15
Concrete,Soft,82.6,3,16
Raft,Normal,135.2,10,18
Concrete,Soft,94.2,15,7
Concrete,Normal,82.2,6,12
Strip,Normal,33,2,10
Concrete,Hard,25,9,4
Raft,Soft,100.8,6,19
Strip,Soft,39.1,5,6
Concrete,Soft,94.2,13,8
Strip,Normal,50.7,14,4
Strip,Normal,43.8,3,8
Concrete,Normal,84.3,12,8
Strip,Normal,57.3,7,7
Raft,Normal,109.3,2,46
Raft,Normal,88.9,15,9
Raft,Hard,65.5,8,14
Raft,Soft,178.5,14,21
Strip,Soft,78,14,5
Raft,Soft,183.4,13,20
Raft,Soft,97.3,3,24
Rubble,Soft,45.7,2,9
Concrete,Hard,74.7,13,8
Concrete,Hard,74.7,12,9
Pile,Normal,99.3,9,25
Rubble,Normal,78.5,6,7
Concrete,Normal,117.1,9,13
Rubble,Hard,24.6,4,4
Raft,Hard,65.5,4,20
Strip,Soft,39.1,7,5
Concrete,Normal,103.3,6,14
Strip,Soft,31.6,15,3
Pile,Soft,23.7,7,7
Strip,Soft,100.1,8,8
Raft,Normal,111.7,12,13
Concrete,Hard,74.7,8,11
Raft,Normal,125.8,3,32
Concrete,Soft,94.2,4,17
Rubble,Normal,26.9,13,2
Raft,Soft,143.7,6,27
Concrete,Normal,119.8,14,9
Raft,Normal,135.2,5,28
Rubble,Soft,45.7,14,2
Rubble,Hard,24.6,2,7
Rubble,Normal,56.4,4,8
Rubble,Normal,29.1,6,3
Rubble,Soft,71.8,10,4
Concrete,Soft,34.6,11,5
Strip,Normal,65.7,15,5
Strip,Normal,128.6,9,11
Strip,Normal,24.1,9,3
Strip,Normal,49.8,15,4
Strip,Normal,43.8,5,6
Strip,Hard,89.9,4,18
Strip,Soft,64,7,7
Strip,Normal,97,12,7
Strip,Soft,39.1,4,7
Strip,Soft,66.1,13,5
Strip,Normal,29.9,6,5
Pile,Hard,46.8,5,20
Concrete,Soft,47.9,10,6
Raft,Soft,79.6,12,9
Strip,Normal,43.8,14,4
Concrete,Soft,67.6,14,6
Strip,Hard,78.4,4,13
Concrete,Normal,69.6,13,8
Raft,Normal,88.9,7,14
Pile,Normal,99.3,3,48
Raft,Hard,64.5,11,13
Concrete,Soft,94.8,11,10
Strip,Normal,43.8,10,4
Concrete,Hard,47.1,5,10
Raft,Normal,109.3,9,18
Rubble,Normal,66,3,9
Strip,Normal,83.1,13,6
Pile,Normal,50,7,15
Pile,Normal,22.6,13,5
Strip,Soft,88.7,2,21
Strip,Normal,51.3,13,4
Raft,Hard,64.5,15,11
Strip,Soft,78,7,8
Pile,Hard,39.1,10,11
Strip,Normal,121.8,2,33
Pile,Normal,73.9,5,22
Strip,Normal,51.3,6,7
Rubble,Hard,32.9,6,4
Raft,Normal,70.8,4,18
Concrete,Normal,105.9,14,8
Rubble,Normal,29.1,11,2
Concrete,Soft,26.5,5,5
Concrete,Soft,94.8,8,12
Raft,Soft,41.1,2,16
Concrete,Soft,26.5,10,3
Concrete,Normal,58.5,10,7
Concrete,Soft,75,15,6
Strip,Normal,121.8,14,8
Strip,Normal,43.8,6,5
Concrete,Soft,82.6,7,9
Rubble,Normal,78.5,3,12
Rubble,Soft,29.3,11,2
Rubble,Normal,66,5,6
Pile,Hard,39.1,14,9
Raft,Normal,137,8,23
Rubble,Hard,24.6,9,2
Strip,Normal,35.9,6,5
Strip,Soft,66.1,4,10
Pile,Normal,22.6,9,6
Raft,Soft,178.5,15,21
Strip,Normal,50.7,15,4
Rubble,Normal,29.1,2,6
Concrete,Normal,36.9,6,6
Pile,Normal,22.6,3,10
Rubble,Normal,58.3,3,10
Concrete,Hard,47.1,12,6
Concrete,Normal,93.5,2,27
Rubble,Soft,75.8,14,4
Rubble,Soft,70.1,14,4
Concrete,Normal,82.2,12,8
Concrete,Soft,26.5,3,6
Raft,Normal,164.6,5,34
Rubble,Soft,45.7,11,3
Strip,Normal,43.8,13,4
Pile,Normal,50,3,24
Pile,Normal,60.4,9,15
Concrete,Hard,16.7,6,4
Concrete,Normal,89.5,6,13
Concrete,Hard,69.5,6,11
Rubble,Soft,75.8,15,3
Strip,Soft,100.1,10,7
Concrete,Normal,58.5,7,8
Strip,Normal,49.8,9,5
Concrete,Soft,94.8,3,23
Strip,Soft,66.1,11,5
Raft,Soft,41.1,13,6
Raft,Hard,87.6,13,12
Raft,Soft,97.3,15,10
Raft,Normal,135.2,7,22
Concrete,Hard,47.1,11,6
Strip,Hard,62.4,8,8
Raft,Soft,183.4,9,24
Concrete,Normal,85,14,7
Rubble,Normal,37.8,9,3
Rubble,Normal,29.1,3,5
Raft,Normal,52.6,6,10
Rubble,Soft,29.3,15,2
Rubble,Hard,24.6,3,5
Concrete,Soft,67.6,5,10
Concrete,Normal,103.3,15,8
Pile,Normal,73.9,8,17
Strip,Normal,121.8,3,25
Strip,Normal,121.8,8,12
Raft,Hard,64.5,7,16
Rubble,Normal,29.1,10,2
Raft,Normal,93.8,7,16
Strip,Normal,50.7,11,5
Strip,Normal,35.9,13,3
Concrete,Normal,84.3,6,12
Pile,Hard,39.1,4,18
Raft,Normal,70.8,11,10
Pile,Normal,73.9,7,19
Strip,Normal,50.7,12,5
Concrete,Soft,34.6,6,7
Concrete,Hard,16.7,5,4
Raft,Soft,79.6,10,10
Raft,Normal,111.7,2,40
Strip,Normal,128.6,13,9
Raft,Normal,52.6,11,8
Concrete,Soft,49.6,3,12
Strip,Normal,44.1,3,9
Strip,Normal,43.8,11,4
Concrete,Normal,104.5,8,12
Rubble,Soft,71.8,5,7
Pile,Normal,73.9,4,26
Pile,Normal,99.3,2,62
Rubble,Normal,66,10,4
Strip,Soft,39.1,11,4
Strip,Soft,100.1,15,6
Strip,Hard,78.4,9,8
Strip,Normal,97,13,7
Pile,Hard,118.2,3,52
Rubble,Soft,45.7,4,5
Raft,Soft,100.8,8,16
Strip,Normal,24.1,11,3
Strip,Normal,51.3,12,4
Strip,Normal,62.4,4,9
Strip,Normal,44.1,5,6
Strip,Hard,62.4,15,5
Concrete,Normal,119.8,11,11
Strip,Soft,39.1,9,4
Strip,Normal,128.6,10,10
Raft,Normal,137,10,20
Concrete,Normal,117.1,6,18
Concrete,Normal,58.5,15,5
Concrete,Normal,36.9,2,11
Raft,Soft,41.1,3,13
Concrete,Normal,103.3,5,16
Raft,Normal,64.7,11,10
Raft,Hard,87.6,4,23
Pile,Soft,23.7,11,6
Rubble,Normal,56.4,3,10
Strip,Soft,65,8,6
Concrete,Soft,75,10,8
Strip,Normal,65.7,2,17
Rubble,Hard,32.9,3,6
Concrete,Normal,103.3,10,10
