paint_area_m2,painting_location,number_of_coats,floors,labor_count,duration_days
243.91,Exterior,2,1,6,5
62.59,Both,2,6,9,2
611.01,Both,2,3,10,10
417.94,Interior,3,1,4,16
409.19,Both,2,1,20,4
2010.37,Interior,4,4,7,67
73.38,Both,3,2,7,4
270.04,Interior,2,1,7,5
317.7,Interior,4,3,13,8
244.03,Exterior,2,2,3,10
4385.65,Both,3,3,9,105
72.46,Exterior,1,3,1,5
712.64,Interior,1,1,10,4
679.92,Both,2,1,11,9
3486.66,Exterior,3,2,3,203
644.06,Interior,2,1,3,21
4685.88,Interior,3,2,19,47
211.13,Both,2,4,5,7
329.86,Interior,4,2,5,15
951.27,Interior,4,2,10,21
1033.64,Interior,2,2,3,35
1317.35,Exterior,2,1,3,48
178.11,Exterior,2,3,2,12
628.63,Interior,2,1,16,5
449.61,Exterior,2,1,6,9
653.39,Interior,2,2,4,17
1031.21,Interior,2,2,13,10
108.33,Exterior,1,1,6,2
342.76,Interior,2,4,13,4
628.9,Interior,3,4,5,23
205.76,Interior,4,1,5,9
87.68,Both,3,4,10,4
1994.15,Both,2,5,2,161
1615.7,Interior,2,4,15,15
783.59,Interior,2,3,2,42
1042.87,Interior,2,1,1,96
204.94,Both,1,1,15,2
508.53,Both,1,1,1,32
2364.25,Interior,4,1,6,74
199.24,Interior,3,1,15,4
164.05,Interior,3,1,2,13
2930.26,Both,1,3,15,17
1607.54,Exterior,2,3,3,67
3560.81,Exterior,2,3,4,111
77.18,Both,3,2,3,7
462.24,Exterior,3,3,12,10
410.53,Both,2,1,14,5
3419.24,Interior,3,3,10,56
297.67,Interior,2,2,2,16
245.04,Interior,3,9,4,16
1274.2,Exterior,3,1,14,18
617.01,Both,4,2,4,42
100.14,Exterior,3,1,1,18
1647.33,Interior,2,2,3,55
303.89,Interior,3,3,12,6
149.58,Exterior,2,4,6,4
2579.96,Interior,4,1,4,119
270.75,Interior,3,3,12,6
324.83,Exterior,2,1,10,4
565.14,Exterior,4,2,9,17
458.41,Exterior,3,1,5,17
217.39,Interior,3,1,13,5
486.05,Both,2,1,2,30
576.3,Both,1,1,1,36
271.52,Exterior,2,2,6,6
573.81,Both,2,1,9,9
185.02,Interior,2,3,5,5
243.89,Interior,3,8,5,12
103.03,Interior,3,4,6,5
1783.35,Exterior,2,2,9,24
209.13,Exterior,2,4,10,4
132.86,Interior,2,3,6,3
534.41,Interior,2,3,14,6
177.59,Both,4,5,11,7
450.99,Interior,2,3,4,13
723.24,Both,3,4,3,56
391.79,Exterior,2,1,2,22
1328.61,Exterior,4,2,12,29
77.29,Interior,3,3,1,14
3715.12,Interior,4,1,6,115
1492.5,Interior,3,1,12,20
164.19,Exterior,2,3,10,3
226.91,Interior,2,4,5,6
2170.12,Exterior,4,1,2,234
3599.25,Interior,3,2,6,90
134.76,Exterior,4,4,13,5
452.89,Interior,3,5,1,84
684.05,Interior,3,1,18,8
1965.24,Exterior,2,2,4,58
2360.56,Interior,4,3,2,251
1873.67,Both,3,2,1,370
2398.9,Exterior,2,4,6,54
1987.72,Exterior,2,2,13,20
266.02,Interior,3,2,12,5
90.02,Interior,3,1,2,8
1966.09,Both,2,2,8,33
168.6,Interior,2,1,9,3
2406.14,Both,2,6,15,32
748.86,Both,2,3,4,27
580.62,Interior,4,1,6,20
1540.33,Both,2,3,2,109
222.39,Both,2,2,2,16
797.37,Interior,3,2,7,19
245.23,Interior,2,1,9,3
143.78,Both,4,1,4,11
2051.64,Interior,1,1,2,48
445.51,Exterior,3,4,6,17
150.91,Interior,4,3,5,8
85.87,Interior,2,1,6,2
156.08,Interior,2,1,3,6
2374.68,Interior,4,2,13,42
490.24,Interior,3,2,20,7
1917.96,Both,1,1,1,117
340.79,Exterior,2,4,9,6
640.26,Exterior,2,4,11,9
90.75,Interior,3,3,15,3
1796.07,Exterior,4,2,9,48
1219.22,Exterior,1,1,1,66
575.1,Both,3,1,4,28
775.41,Exterior,1,7,9,8
196.31,Exterior,4,2,1,47
1281.74,Both,3,2,6,44
348.73,Both,4,1,12,10
471.92,Exterior,4,1,4,27
2366.97,Both,3,1,3,145
519.8,Both,2,2,9,9
1843.96,Interior,2,1,4,43
606.54,Exterior,4,2,6,25
137.47,Both,2,1,3,7
1689.73,Interior,1,1,1,78
477.75,Exterior,3,4,10,12
150.69,Interior,3,1,4,7
133.25,Exterior,2,3,14,2
396.53,Both,4,1,5,21
184.68,Interior,1,1,4,3
473.4,Exterior,3,3,5,20
620.92,Exterior,2,1,1,67
213.19,Exterior,2,1,7,4
490.25,Exterior,3,1,4,22
134.38,Interior,4,3,9,5
723.03,Exterior,2,2,11,9
70.53,Both,2,2,10,2
555.31,Interior,2,2,10,6
4762.78,Both,2,1,5,116
62.7,Both,2,2,8,2
490.49,Interior,3,2,10,9
231.81,Interior,3,4,7,8
2029.37,Interior,2,6,8,33
2159.78,Both,3,1,9,46
89.9,Exterior,2,2,18,2
161.37,Both,2,1,7,4
2320.68,Interior,1,2,6,20
518.01,Both,3,3,15,10
80.24,Exterior,2,3,9,2
2436.54,Both,4,3,6,116
872.31,Interior,3,4,12,15
2004.17,Both,2,4,3,101
77.55,Both,2,2,12,2
1605.75,Interior,2,1,9,17
616.08,Interior,3,2,4,25
475.71,Exterior,4,3,6,22
673.81,Exterior,2,1,4,19
2911.65,Interior,3,3,10,48
176.32,Exterior,3,2,4,10
1991.64,Both,3,1,3,123
1838.07,Interior,2,2,15,15
1908.81,Exterior,4,3,7,70
944.19,Exterior,2,3,15,10
3210.54,Interior,3,2,12,44
228.06,Exterior,2,4,4,9
2776.99,Interior,2,2,6,46
2400.34,Interior,3,1,2,166
2481.31,Exterior,4,2,10,59
109.84,Exterior,3,2,4,7
386.95,Interior,3,4,6,13
135.14,Interior,1,2,2,4
453.74,Exterior,3,2,8,12
600.42,Both,3,6,9,19
1046.24,Interior,3,1,10,16
92.53,Exterior,3,6,6,5
475.33,Interior,3,1,3,24
124.89,Interior,1,1,14,1
228.85,Both,2,4,6,7
288.09,Interior,2,1,8,4
1608.41,Exterior,3,3,9,35
1934.61,Interior,3,1,10,28
378.82,Interior,2,7,13,5
726.41,Exterior,3,3,10,16
604.51,Interior,4,2,15,11
663.06,Exterior,1,3,6,8
91.16,Both,3,2,5,6
471.59,Interior,4,1,9,12
155.58,Interior,1,8,8,2
101.11,Interior,2,2,5,3
2954.46,Exterior,2,1,3,106
238.32,Both,1,1,7,3
664.06,Interior,2,1,9,8
55.78,Exterior,4,1,10,3
386.23,Exterior,3,1,6,12
1651.23,Both,2,2,2,109
483.64,Both,2,1,10,7
244.42,Interior,4,2,9,7
4606.25,Interior,3,1,5,128
416.05,Interior,2,1,8,6
1159.23,Exterior,3,4,13,22
4269.68,Interior,3,1,5,118
232.8,Interior,4,2,1,48
477.83,Both,3,3,6,19
741.02,Both,2,1,19,7
1409.18,Interior,3,3,4,58
356.95,Interior,3,3,8,9
213.26,Exterior,3,1,18,4
148.57,Exterior,3,1,19,4
105.47,Exterior,2,1,10,2
286.88,Interior,1,1,7,3
2039.4,Interior,3,1,20,19
624.69,Both,1,2,6,8
1349.78,Both,2,1,9,19
667.7,Both,2,1,9,10
128.37,Interior,4,4,17,4
3560.13,Interior,2,1,1,325
136.39,Interior,3,6,12,4
97.67,Interior,1,1,11,1
1853.64,Both,3,2,1,366
1442.19,Both,3,3,4,78
172.15,Interior,2,1,4,5
589.9,Interior,4,3,9,16
687.55,Both,3,1,11,14
431.18,Interior,2,2,2,22
1015.04,Exterior,2,2,7,18
209.41,Interior,2,2,18,2
227.04,Both,2,1,3,10
3794.68,Exterior,2,1,15,32
1518.08,Interior,2,5,13,16
145.15,Exterior,2,3,15,2
4040.64,Interior,2,2,11,38
756.05,Exterior,3,2,4,35
2419.45,Interior,3,1,1,332
291.48,Interior,2,1,5,6
1412.49,Both,2,1,3,58
1378.35,Exterior,2,1,11,15
185.49,Interior,3,1,13,4
453.93,Interior,2,2,15,4
2293.38,Interior,2,5,12,26
632.2,Interior,2,2,15,6
720.09,Interior,2,1,8,9
2247.7,Both,4,1,4,138
1845.69,Interior,2,4,13,19
505.88,Interior,2,3,9,7
570.07,Exterior,3,2,2,51
379.68,Interior,2,1,3,13
66.95,Both,2,2,1,10
592,Interior,2,2,13,6
54.94,Interior,2,1,13,1
1672.23,Exterior,3,5,1,356
550.77,Interior,3,1,8,11
170.81,Interior,4,3,8,7
109.89,Both,3,2,10,4
821.2,Exterior,4,7,12,25
199.83,Exterior,2,3,14,3
67.18,Both,2,6,9,2
557.59,Interior,3,1,11,9
612.71,Interior,2,2,15,6
167.39,Exterior,1,1,18,2
689.73,Both,3,1,9,16
127.29,Exterior,2,7,8,4
70.86,Exterior,1,3,7,2
232.27,Interior,2,1,9,3
153.71,Interior,4,2,1,32
133.68,Exterior,2,5,2,10
213.58,Exterior,2,2,2,13
626.97,Interior,1,1,4,8
386.52,Interior,3,2,6,11
1290.16,Both,2,3,8,24
703.06,Both,2,1,9,10
751.05,Interior,3,1,12,11
1069.33,Both,2,3,2,76
1499.76,Both,2,1,15,15
1354.9,Exterior,2,2,6,27
621.92,Exterior,2,1,1,68
72.94,Both,2,3,6,3
181.4,Exterior,2,2,2,11
53.61,Interior,2,2,6,2
257.15,Interior,2,1,10,3
189.35,Both,3,2,6,8
420.27,Interior,1,3,12,3
381.96,Interior,2,9,2,29
285.68,Both,1,4,7,4
152.5,Both,2,2,10,3
485.91,Interior,2,1,3,16
92.55,Interior,3,1,6,4
93.71,Interior,3,8,5,6
2367.86,Exterior,2,1,4,64
784.83,Exterior,2,2,13,9
4166.26,Interior,1,5,10,26
378.6,Exterior,4,1,6,15
197.58,Both,3,1,8,6
125.15,Exterior,2,3,19,2
1359.44,Interior,3,3,9,26
409.36,Interior,3,1,5,13
233.54,Both,3,3,4,14
351.77,Exterior,1,2,16,2
328.7,Interior,1,2,12,2
65.63,Exterior,2,3,2,5
417.4,Exterior,4,1,14,9
244.51,Interior,2,2,9,4
2193.51,Both,1,1,13,12
334.89,Exterior,2,2,9,5
514.98,Interior,3,1,11,9
150.14,Exterior,2,5,13,3
419.99,Both,1,4,16,3
561.52,Interior,2,1,13,5
519.25,Exterior,3,3,12,11
56.9,Both,3,3,7,4
141.09,Exterior,2,2,17,2
204.19,Exterior,4,1,6,9
354.66,Interior,3,1,5,12
461.15,Interior,2,4,6,10
164.52,Both,3,1,4,9
254.52,Interior,2,1,14,3
610.33,Exterior,2,1,7,10
526.93,Interior,3,1,2,38
1127.01,Both,4,2,11,30
1083.25,Interior,2,1,5,21
147.04,Both,1,1,20,2
872.12,Interior,3,1,8,17
3683.61,Interior,2,1,13,29
2399.74,Exterior,2,1,8,33
806.24,Both,2,4,11,12
728.08,Interior,3,4,10,14
728.55,Exterior,3,1,8,17
122.04,Interior,3,1,10,4
656.82,Both,2,6,14,10
4642.89,Both,3,1,2,424
2289.72,Both,3,1,6,71
184.61,Exterior,4,1,6,9
547.83,Interior,2,6,6,13
643.96,Interior,4,5,12,16
1932.42,Both,3,3,14,35
188.36,Both,4,3,8,9
644.88,Exterior,2,2,9,9
1180.81,Interior,1,1,7,9
998.26,Interior,4,7,6,47
168.01,Interior,2,2,12,2
581.29,Interior,2,2,7,9
1305.3,Interior,3,1,1,180
420.58,Both,2,10,9,11
369.42,Interior,4,1,12,8
1158.83,Exterior,3,3,2,110
2036.84,Interior,3,5,1,369
436.24,Exterior,4,3,10,13
1280.74,Both,3,2,3,86
1787.07,Both,3,3,7,56
493.59,Exterior,4,1,12,11
816.52,Exterior,3,3,17,13
790.5,Exterior,2,1,9,10
60.49,Both,3,2,19,3
73.76,Interior,2,2,4,3
2484.99,Exterior,1,2,14,13
180.64,Interior,2,1,10,3
167.37,Both,2,3,5,6
146.84,Exterior,2,2,1,18
2265.9,Exterior,2,3,10,29
1701.62,Interior,3,2,11,26
1153.48,Exterior,2,4,6,26
690.48,Interior,2,1,5,14
200.61,Interior,2,1,17,2
769.93,Interior,2,6,8,13
495.26,Exterior,3,2,18,8
531.31,Exterior,3,1,2,45
216.53,Both,3,1,7,8
1518,Exterior,2,2,4,45
100.84,Interior,3,2,3,7
4242.31,Interior,2,3,15,35
214.31,Interior,3,1,17,4
74.92,Interior,2,1,8,2
2122.94,Interior,3,1,2,147
308.65,Both,2,3,4,12
119.78,Exterior,2,1,1,14
239.3,Interior,2,3,20,3
735.23,Interior,3,1,7,16
329.33,Exterior,2,5,8,7
1224.24,Exterior,3,1,19,15
402.43,Interior,4,4,13,10
298.73,Interior,3,4,6,10
2406.33,Interior,1,3,9,15
819.17,Both,3,6,4,54
798.88,Both,3,2,6,28
1994.7,Exterior,2,3,20,16
274.25,Interior,2,6,12,4
123.41,Interior,2,1,7,3
313.17,Both,2,2,11,5
146.62,Interior,1,2,8,2
2430.57,Exterior,4,6,14,61
51.18,Exterior,2,1,2,4
255.87,Interior,2,2,14,3
147.48,Interior,3,1,8,5
740.81,Exterior,2,9,9,15
120.75,Interior,2,4,2,8
76.74,Interior,2,1,9,2
4957.34,Interior,2,2,7,71
202.88,Both,2,5,14,4
241.54,Both,2,1,2,16
215.97,Interior,3,1,8,6
668.73,Interior,2,2,1,67
2490.24,Interior,3,1,6,59
1654.47,Interior,4,2,7,48
130.26,Interior,2,1,2,7
60.19,Interior,2,2,3,3
284.68,Interior,1,1,8,3
1220.6,Both,2,1,8,19
144.41,Both,2,1,13,2
72.31,Exterior,3,3,3,6
1414.99,Both,2,1,7,26
298.89,Interior,3,2,2,24
139.15,Interior,4,2,4,9
3005.8,Exterior,1,1,8,21
2091.14,Both,3,1,6,65
916.04,Interior,4,2,5,38
243.5,Interior,4,1,17,5
1476.34,Exterior,4,8,5,101
678.88,Interior,2,1,2,32
255.86,Both,2,2,8,5
94.07,Exterior,3,1,2,10
177.92,Both,2,1,11,3
387.71,Both,2,1,5,10
3312.08,Both,4,1,5,163
247.05,Exterior,1,1,8,3
244.32,Exterior,4,3,11,8
1970.11,Both,2,2,7,38
1175.87,Interior,3,4,12,20
651.67,Interior,2,2,9,8
222.47,Interior,2,3,6,5
227.05,Both,3,1,4,12
231.83,Both,2,2,6,6
458.45,Interior,3,3,6,14
204.02,Interior,4,2,11,6
2766.74,Exterior,2,3,4,87
2317.17,Both,2,2,5,62
595.49,Interior,3,1,5,18
1506.57,Interior,2,1,8,18
375.01,Both,2,4,11,6
794.93,Interior,4,1,3,50
234.66,Both,4,2,5,14
86.27,Interior,4,3,8,4
70.78,Both,3,6,11,4
2265.05,Both,3,1,4,105
2135.64,Exterior,1,2,18,9
114.61,Interior,3,1,9,4
478.26,Both,2,4,7,11
552.59,Exterior,2,2,1,65
482.59,Exterior,3,3,7,15
362.6,Both,2,2,1,48
119.87,Both,4,4,2,20
1738,Both,2,1,2,106
189.16,Interior,3,3,6,7
1927.01,Interior,3,4,3,111
99.01,Interior,3,2,14,3
2072.03,Exterior,2,2,1,240
81.18,Both,1,3,6,2
483.57,Both,2,3,5,15
640.43,Interior,2,8,7,14
1481.28,Interior,2,4,20,11
2188.33,Exterior,2,2,12,24
124.3,Interior,2,1,8,2
106.44,Exterior,1,2,13,2
90.35,Both,2,1,6,3
684.83,Interior,2,6,3,30
2429.9,Exterior,2,1,7,38
966.45,Interior,3,1,12,14
209.21,Exterior,4,1,4,13
175.19,Both,2,1,7,4
1074.62,Both,2,3,8,20
323.03,Interior,3,6,4,17
249.4,Exterior,4,2,16,6
1043.32,Both,2,7,11,19
500.69,Interior,2,1,8,7
85.84,Both,2,2,4,4
328.11,Interior,3,1,14,6
591.21,Exterior,2,2,8,10
625.53,Exterior,2,4,10,9
2643.59,Both,3,2,1,521
81.64,Interior,1,1,6,2
143.7,Exterior,3,1,1,25
2368.31,Both,2,1,5,58
636.56,Exterior,2,1,4,18
92.69,Exterior,4,3,3,10
2463.57,Interior,2,1,14,19
177.14,Interior,1,2,4,3
1692.6,Exterior,2,4,4,57
200.64,Interior,2,2,7,4
3592.52,Both,3,4,10,83
194.54,Exterior,2,3,13,3
229.3,Both,2,1,14,3
194.46,Both,4,4,10,8
93.72,Both,2,2,4,4
91.95,Interior,3,7,8,4
229.33,Exterior,4,3,9,8
444.1,Both,2,8,2,43
455.84,Exterior,2,2,4,14
636.45,Both,4,1,1,156
53.29,Both,2,3,10,2
138.82,Exterior,1,1,7,2
1738.15,Interior,4,7,9,54
701.41,Exterior,3,1,7,18
397.92,Exterior,2,5,12,6
231.81,Interior,1,3,15,2
1820.31,Interior,4,9,4,138
178.89,Both,3,2,4,11
2935.12,Both,2,2,2,193
597.66,Both,3,2,5,25
114.48,Interior,1,1,12,1
191.52,Both,1,1,7,3
4086.52,Both,2,3,2,288
385.64,Both,3,3,8,12
78.75,Interior,4,4,5,6
78.37,Interior,2,1,12,2
520.58,Interior,1,7,4,10
423.16,Both,3,1,2,40
597.54,Both,2,1,5,15
253.75,Exterior,2,1,10,4
152.35,Interior,4,1,3,11
66.69,Exterior,2,1,1,8
160.3,Interior,3,2,9,5
1225.91,Interior,3,3,16,16
671.78,Interior,3,7,9,17
661.15,Both,3,2,10,15
743.94,Both,2,4,18,9
412.12,Both,3,7,6,20
211.81,Interior,2,1,3,7
678.95,Interior,2,1,4,16
427.54,Interior,1,1,2,11
105.61,Exterior,4,4,4,9
489.93,Both,2,1,6,11
3553.67,Interior,2,1,10,33
53.57,Both,3,1,7,3
1485.38,Both,4,1,6,62
706.59,Interior,2,1,1,65
422.93,Exterior,2,3,6,10
2394.16,Interior,2,4,3,91
2031.51,Interior,1,3,15,9
4835.34,Both,2,3,3,228
115.87,Exterior,3,1,2,11
316.83,Interior,2,2,14,4
617.86,Exterior,2,2,8,10
196.17,Interior,2,1,5,5
1212.8,Exterior,4,3,4,77
52.63,Interior,3,1,2,6
2094.96,Exterior,2,6,7,46
980.52,Interior,4,1,10,20
679.23,Interior,2,1,5,13
331.86,Both,3,1,12,7
145.25,Exterior,2,1,8,3
333.69,Exterior,2,1,1,37
126.5,Both,2,1,3,6
522,Interior,3,2,17,7
229.01,Exterior,2,2,5,6
473.1,Interior,2,4,9,7
207.15,Interior,2,2,6,4
231.56,Exterior,3,4,7,9
63.89,Interior,4,1,4,5
262.43,Both,4,1,11,8
783.28,Exterior,2,1,1,85
794.74,Both,2,1,1,97
210.78,Interior,2,1,9,3
141.75,Both,2,1,10,3
399.2,Exterior,3,1,7,11
328.76,Exterior,2,3,18,4
67.85,Both,2,1,5,3
1564.31,Both,2,1,8,25
480.09,Both,2,1,8,8
1009.91,Both,3,3,1,215
3747.82,Exterior,2,1,20,26
340.27,Exterior,1,1,7,4
168.61,Interior,2,2,6,4
77.54,Both,3,2,20,3
67.2,Interior,4,1,6,4
56.43,Both,2,3,9,2
2746.25,Interior,2,1,8,32
1037.46,Both,2,2,3,46
163.33,Exterior,2,1,14,2
155.31,Exterior,2,3,8,3
481.86,Interior,1,2,19,3
78.12,Both,3,2,10,4
561.5,Interior,3,1,6,15
669.88,Exterior,3,1,1,109
69.48,Interior,2,1,5,2
656.91,Interior,2,1,9,8
229.01,Exterior,2,2,6,5
1860.61,Interior,1,1,15,8
90.86,Exterior,3,2,1,18
146.74,Interior,2,4,5,4
722.76,Exterior,2,2,2,43
198.33,Exterior,2,1,10,3
617.57,Interior,3,1,9,11
106.68,Interior,2,2,5,3
749.55,Interior,2,4,6,15
3395.01,Both,2,1,9,47
346.8,Interior,3,2,7,9
202.52,Interior,2,5,9,4
4015,Interior,3,2,8,76
114.82,Both,2,2,6,4
196.58,Interior,3,2,8,6
2468.28,Both,3,1,12,42
1453.56,Both,4,1,1,354
924.83,Both,3,4,13,20
139.9,Interior,3,2,4,7
408.06,Interior,2,4,12,5
54.85,Both,1,1,1,4
475.01,Exterior,1,1,10,4
707.99,Exterior,2,1,10,9
2162.91,Interior,3,4,7,54
1307.69,Interior,2,2,2,65
1293.53,Both,2,1,12,15
2687.87,Exterior,4,6,9,91
550.72,Both,3,6,16,12
134.28,Interior,4,1,3,10
1928.01,Both,2,1,15,19
2101.71,Interior,4,6,10,55
2308.89,Exterior,2,3,4,73
608.03,Interior,2,4,16,6
2566.86,Both,2,2,6,57
279.63,Both,3,2,7,10
73.6,Exterior,4,1,1,18
68.4,Interior,2,3,15,2
795.03,Interior,3,4,2,69
406.15,Interior,3,4,17,7
513.81,Interior,1,1,9,4
2183.01,Both,4,2,3,193
1298.27,Exterior,2,1,10,15
119.33,Interior,4,2,2,14
1686.17,Interior,3,1,7,35
97.02,Interior,3,7,1,22
167.65,Interior,4,1,14,4
724.66,Interior,1,1,4,9
613.56,Interior,3,6,13,12
2342.76,Both,3,3,5,101
485.72,Exterior,3,1,4,21
4831.25,Interior,4,2,10,97
1242.91,Both,2,9,1,248
186.52,Interior,4,3,5,10
588.94,Interior,3,3,15,9
111.38,Exterior,3,4,6,6
507.08,Both,2,4,1,77
294.67,Both,3,7,8,12
1270.17,Both,2,2,5,34
378.74,Exterior,2,2,8,6
193.47,Interior,3,1,3,11
275.56,Interior,2,2,1,28
115.16,Interior,3,2,8,4
115.31,Both,2,2,9,3
3235.86,Interior,2,1,5,60
171.81,Both,2,3,10,3
2397.96,Interior,3,3,1,381
4896.6,Both,3,10,9,172
317.56,Both,3,2,10,8
398.78,Both,2,1,3,17
112.96,Both,3,2,19,3
444.24,Exterior,4,3,9,14
1191.37,Both,4,5,4,97
616.58,Exterior,3,1,4,27
790.8,Exterior,3,3,14,14
74.16,Interior,3,6,7,4
2217.73,Interior,2,1,10,21
2337.34,Interior,2,2,6,39
214.94,Interior,3,1,6,7
1404.07,Interior,2,2,13,13
1990.49,Exterior,3,2,15,29
229.12,Exterior,2,2,9,4
194.51,Interior,3,1,6,6
743.62,Exterior,3,2,3,45
2421.02,Interior,4,4,9,63
566.75,Exterior,1,1,3,11
373.77,Interior,4,1,6,13
1933.27,Interior,2,4,11,22
272.82,Both,2,1,6,7
405.73,Both,2,2,4,14
71.92,Exterior,3,2,8,4
77.36,Interior,3,7,12,3
1356.77,Exterior,2,2,6,27
1335.86,Both,2,6,13,20
161.63,Both,3,6,7,8
125.24,Both,3,1,2,13
1281.14,Interior,4,7,12,33
63.45,Exterior,2,1,8,2
597.43,Interior,2,2,18,5
2287.69,Exterior,2,2,10,27
304,Interior,4,3,4,18
182.48,Interior,2,1,4,5
2115.49,Exterior,3,2,7,54
103.58,Interior,4,2,8,5
113.52,Interior,2,1,13,2
371.2,Exterior,1,2,2,12
678.97,Interior,4,2,5,29
194.45,Both,1,3,15,2
59.84,Interior,2,9,14,2
1190.64,Both,4,1,2,146
2591.15,Interior,4,1,9,54
106.62,Interior,3,3,1,19
1442.98,Interior,3,4,11,25
194.42,Both,2,1,15,3
963.35,Exterior,2,4,13,12
659.17,Interior,2,1,20,5
410.89,Interior,4,2,10,10
460.94,Both,3,7,11,14
568.26,Interior,3,2,6,16
433.51,Both,4,1,4,28
297.05,Interior,3,2,12,6
148.68,Interior,3,4,5,7
729.41,Interior,2,2,9,9
180.4,Interior,3,2,11,5
1524.27,Interior,2,1,6,24
137.52,Both,1,2,5,3
662.2,Exterior,2,1,8,10
2296.5,Interior,2,4,7,38
154.65,Interior,3,3,8,5
366.63,Interior,3,10,12,10
706.35,Interior,2,1,1,65
87.53,Exterior,2,1,4,3
287.66,Exterior,4,1,2,33
214.15,Both,3,1,9,6
3903.22,Exterior,2,2,2,226
102.59,Interior,3,2,13,3
719.52,Exterior,4,3,9,22
50.53,Interior,2,5,7,2
224.92,Interior,4,1,9,7
509.96,Interior,3,1,9,10
1404.13,Both,2,1,7,25
4863.78,Both,3,4,9,124
388.55,Interior,4,3,3,29
2110.5,Interior,2,2,12,20
349.27,Exterior,1,2,6,4
431.32,Both,4,2,3,40
104.99,Exterior,1,3,1,8
4558.49,Both,4,10,9,213
199.99,Exterior,2,1,10,3
1061.27,Exterior,4,1,6,40
177.5,Interior,1,2,17,2
655.86,Interior,3,4,12,12
1798.05,Both,2,6,6,52
215.01,Exterior,3,1,8,6
629.11,Interior,3,4,13,11
120.14,Interior,3,3,9,4
233.6,Interior,1,1,6,3
2141.06,Interior,2,1,7,29
186.18,Both,4,3,8,9
191.18,Interior,2,1,2,10
89.84,Both,2,2,3,5
442.52,Exterior,2,2,11,6
3963.47,Interior,3,9,8,113
189.93,Exterior,3,3,2,20
143.54,Interior,2,3,2,9
428.32,Exterior,3,5,1,93
728.26,Interior,2,1,6,12
121.6,Interior,2,3,10,2
567.2,Interior,2,4,3,22
515.92,Interior,1,5,5,7
135.18,Interior,3,2,2,12
2307.33,Both,4,1,17,41
116.63,Both,4,1,13,4
341.77,Interior,2,4,1,40
221.55,Interior,3,1,8,6
81.87,Interior,2,1,4,3
707.41,Exterior,3,1,2,59
430.58,Interior,3,4,10,9
147.66,Exterior,3,1,7,5
437.58,Both,3,3,12,10
87.59,Interior,2,1,9,2
112.22,Exterior,2,1,17,2
186.47,Both,2,1,6,5
473.06,Both,2,1,9,7
180.76,Exterior,2,1,6,4
691.53,Exterior,2,2,5,17
2780.07,Interior,2,3,11,29
117.42,Both,3,1,14,4
506.15,Interior,4,2,5,22
389.53,Interior,2,4,7,7
133.41,Interior,2,1,1,13
468.52,Interior,2,1,4,12
401.81,Both,3,1,15,8
273.31,Interior,1,2,6,3
789.17,Interior,4,3,6,30
199.35,Exterior,3,1,11,5
1770.95,Both,3,2,11,35
510.63,Both,2,3,13,7
276.11,Interior,2,1,2,14
132.86,Interior,2,2,18,2
94.96,Exterior,2,2,10,2
1799.87,Exterior,2,1,11,19
113.93,Both,2,4,10,3
620.47,Interior,1,4,19,3
440.57,Interior,4,1,3,29
507.59,Interior,3,2,9,10
2559.5,Both,3,2,5,103
171.42,Both,1,1,20,2
222.98,Both,4,8,8,13
1511.49,Exterior,2,1,3,55
543.35,Interior,2,3,4,15
224.67,Interior,1,4,12,2
304.98,Exterior,2,2,1,36
327.08,Exterior,4,2,6,15
99.99,Exterior,2,1,10,2
1912.34,Exterior,4,4,3,171
1207.6,Exterior,3,1,1,196
1152.71,Exterior,2,2,17,10
3751.04,Interior,3,1,12,48
194.41,Interior,3,3,10,5
4655.56,Interior,2,1,6,72
1832.25,Both,3,2,11,36
129.68,Both,3,1,10,4
492.59,Both,2,4,15,7
990.92,Interior,2,1,14,8
69.43,Exterior,1,4,7,2
1382.81,Exterior,2,2,3,54
668.97,Interior,2,1,8,9
1322.02,Exterior,3,1,8,29
211.04,Interior,3,4,2,20
92.33,Interior,3,1,10,3
590.53,Interior,2,1,13,6
458.51,Both,3,4,9,13
825.18,Both,2,1,3,34
651.09,Interior,2,2,6,12
2237.92,Both,2,1,1,272
305.26,Interior,1,2,10,2
2449.77,Interior,3,1,2,169
608.29,Interior,3,2,5,20
105.5,Exterior,3,5,12,4
284.41,Interior,3,2,10,6
887.79,Both,1,2,9,7
158.47,Interior,2,2,6,4
1553.05,Exterior,3,2,11,27
131.43,Interior,3,1,8,4
3249.79,Both,2,1,8,50
312.2,Both,2,1,15,4
340.56,Interior,2,1,14,3
187.39,Both,2,1,3,9
426.69,Exterior,2,1,10,6
428.75,Interior,2,1,2,20
153.29,Exterior,3,2,7,6
3680.48,Both,2,1,3,150
1336.77,Interior,3,3,4,55
131.76,Exterior,2,2,2,9
193.33,Interior,2,1,13,2
656.72,Both,3,2,1,131
115.1,Exterior,3,2,16,3
1463.72,Both,3,1,20,19
306.69,Exterior,2,1,11,4
734.59,Interior,4,3,12,16
566.17,Exterior,2,1,8,9
699.7,Exterior,2,3,13,8
3403.71,Both,3,1,2,311
433.82,Exterior,3,1,6,14
178.45,Interior,3,3,11,5
1671.33,Interior,2,1,8,20
1636.92,Exterior,3,3,10,32
1704.46,Both,3,1,15,26
355.8,Interior,3,4,7,11
291.09,Exterior,2,2,9,5
