floor_area_m2,material_type,location,floors,labor_count,duration_days
116.56,Hardwood,Both,5,10,10
410.26,Cement Rendering,Outdoor,1,12,8
1448.72,Tiles,Outdoor,5,11,58
41.42,Tiles,Indoor,6,5,5
1495.29,Cement Rendering,Outdoor,5,9,45
21.15,Titanium,Outdoor,2,6,4
124.25,Tiles,Both,2,6,9
128.9,Titanium,Indoor,5,8,10
524.49,Tiles,Indoor,2,11,17
2253.64,Titanium,Outdoor,2,11,93
54.31,Tiles,Indoor,3,11,4
1074.09,Hardwood,Indoor,1,4,114
3589.01,Cement Rendering,Indoor,1,1,642
790.37,Tiles,Outdoor,4,9,36
4550.75,Tiles,Indoor,1,10,128
1286.93,Cement Rendering,Outdoor,3,5,60
25.77,Cement Rendering,Indoor,1,20,1
1400.96,Tiles,Outdoor,3,11,49
34.43,Tiles,Both,8,6,5
3191.99,Tiles,Indoor,8,9,156
85.14,Cement Rendering,Indoor,2,16,2
2426.45,Hardwood,Both,3,10,140
3908.36,Titanium,Both,9,8,339
544.25,Cement Rendering,Indoor,1,10,11
4192.61,Cement Rendering,Indoor,9,8,154
153.15,Cement Rendering,Indoor,4,13,4
169.02,Tiles,Indoor,7,5,16
4208.09,Hardwood,Indoor,1,11,167
1152.32,Cement Rendering,Indoor,3,4,61
167.23,Titanium,Outdoor,3,12,9
207.16,Tiles,Outdoor,3,19,7
2277.04,Tiles,Both,8,5,234
112.27,Cement Rendering,Both,2,8,4
424.71,Titanium,Indoor,9,11,25
607.62,Cement Rendering,Indoor,3,6,22
341.75,Tiles,Indoor,2,9,13
489.74,Cement Rendering,Outdoor,2,13,10
48.78,Cement Rendering,Outdoor,1,3,4
57.73,Tiles,Indoor,1,17,3
148.91,Cement Rendering,Indoor,10,13,5
627.03,Titanium,Indoor,3,9,31
608.45,Cement Rendering,Both,2,10,15
388.15,Tiles,Outdoor,8,5,39
39.4,Hardwood,Both,1,9,4
289.04,Titanium,Indoor,4,8,18
2312.49,Tiles,Indoor,4,4,201
149.23,Tiles,Outdoor,3,13,7
45.92,Cement Rendering,Indoor,2,5,3
348.9,Tiles,Both,2,9,16
3535.56,Cement Rendering,Indoor,5,10,84
4252.04,Cement Rendering,Indoor,1,2,381
1732.79,Cement Rendering,Indoor,5,2,205
44.84,Titanium,Both,2,5,6
120.24,Cement Rendering,Both,1,10,4
1353.52,Tiles,Both,3,5,105
781.15,Titanium,Indoor,3,10,34
530.11,Tiles,Outdoor,2,6,31
679.11,Tiles,Indoor,1,6,33
150.46,Hardwood,Indoor,2,1,70
4867.45,Tiles,Indoor,2,6,245
21.15,Tiles,Indoor,3,7,3
137.94,Tiles,Indoor,1,7,7
142.33,Hardwood,Both,4,5,19
2175.17,Tiles,Both,1,6,120
563.37,Tiles,Outdoor,1,1,176
105.6,Cement Rendering,Indoor,1,11,3
1196.55,Cement Rendering,Indoor,2,6,39
2496.54,Tiles,Both,2,13,77
2641.04,Titanium,Indoor,2,4,257
2189.51,Hardwood,Indoor,5,5,243
1553.59,Titanium,Indoor,2,12,56
788.93,Tiles,Outdoor,2,6,46
207.11,Hardwood,Outdoor,1,10,12
162,Hardwood,Indoor,1,10,9
46.78,Tiles,Indoor,5,1,19
145.36,Tiles,Outdoor,2,3,18
34.62,Tiles,Both,10,10,4
123.13,Titanium,Both,1,5,12
4471.62,Titanium,Both,2,4,509
402.71,Cement Rendering,Both,3,7,15
131.53,Cement Rendering,Indoor,2,11,3
153.02,Hardwood,Outdoor,1,4,20
62.14,Tiles,Indoor,4,7,5
23,Hardwood,Both,1,11,3
514.61,Tiles,Outdoor,3,9,22
380.69,Tiles,Indoor,3,2,63
1021.49,Hardwood,Indoor,3,3,167
698.67,Titanium,Outdoor,4,5,71
556.09,Cement Rendering,Both,1,8,16
936.85,Hardwood,Indoor,3,16,35
409.45,Titanium,Both,1,2,88
68.62,Hardwood,Both,1,11,5
298.28,Tiles,Indoor,4,4,28
1506.4,Cement Rendering,Outdoor,2,8,41
727.47,Cement Rendering,Indoor,2,6,24
179.75,Tiles,Indoor,2,20,5
79.48,Titanium,Indoor,5,9,6
313.42,Titanium,Both,1,17,11
426.8,Titanium,Both,3,8,28
3255.3,Tiles,Indoor,6,1,1268
1972.83,Tiles,Outdoor,3,15,56
26.04,Tiles,Indoor,2,9,3
149.77,Cement Rendering,Indoor,8,11,5
2148.14,Cement Rendering,Both,4,9,63
3988.48,Tiles,Outdoor,3,2,716
143.34,Tiles,Both,2,14,6
1186.19,Titanium,Outdoor,1,12,44
369.66,Cement Rendering,Outdoor,1,8,10
28.08,Titanium,Indoor,2,9,3
318.47,Tiles,Indoor,1,2,46
211.52,Tiles,Indoor,3,12,8
41.58,Tiles,Indoor,4,4,6
636.38,Cement Rendering,Indoor,5,6,26
2724.9,Titanium,Indoor,2,6,177
195.98,Tiles,Both,3,19,7
271.26,Cement Rendering,Both,1,7,9
2249.85,Cement Rendering,Indoor,8,15,49
2194.41,Cement Rendering,Outdoor,1,7,63
53.44,Tiles,Indoor,3,5,5
632.82,Cement Rendering,Outdoor,1,9,15
207.92,Cement Rendering,Indoor,5,9,6
124.76,Cement Rendering,Indoor,1,13,3
715.99,Cement Rendering,Both,4,5,38
785.52,Cement Rendering,Indoor,7,8,27
100.1,Tiles,Both,1,5,9
387.48,Tiles,Indoor,2,6,21
327.21,Hardwood,Outdoor,6,10,23
2313.79,Hardwood,Indoor,3,5,226
163.55,Titanium,Indoor,2,17,6
568.2,Cement Rendering,Indoor,1,17,8
3323.88,Tiles,Indoor,1,8,117
2266.54,Tiles,Outdoor,3,3,272
4939.47,Cement Rendering,Both,8,6,271
768.18,Cement Rendering,Indoor,7,11,20
2296.34,Tiles,Indoor,2,16,53
2386.59,Tiles,Both,1,4,197
1840.76,Tiles,Outdoor,1,5,116
403.38,Titanium,Indoor,3,9,21
1436.36,Hardwood,Indoor,1,4,152
142.33,Cement Rendering,Indoor,2,11,4
4394.68,Cement Rendering,Both,10,14,129
382.11,Tiles,Indoor,2,2,59
1447.26,Tiles,Outdoor,5,9,68
723.11,Titanium,Outdoor,2,13,28
179.33,Tiles,Indoor,5,9,9
571.37,Cement Rendering,Indoor,2,6,19
1584.83,Tiles,Outdoor,1,8,63
152.78,Tiles,Outdoor,1,12,6
4240.59,Cement Rendering,Indoor,2,4,205
622.12,Cement Rendering,Indoor,1,10,12
4491.42,Titanium,Indoor,1,7,231
505.24,Tiles,Both,3,16,16
416.6,Titanium,Both,3,10,22
159.01,Cement Rendering,Outdoor,2,6,7
1559.19,Tiles,Indoor,1,4,110
337.68,Tiles,Both,3,1,130
1205.16,Tiles,Indoor,2,2,183
332.48,Tiles,Outdoor,3,13,12
43.72,Titanium,Indoor,6,10,4
1308.05,Hardwood,Indoor,2,4,149
559.26,Titanium,Outdoor,5,4,75
539.38,Hardwood,Indoor,2,6,42
222.89,Tiles,Outdoor,2,3,27
350.87,Tiles,Outdoor,4,9,17
136.76,Tiles,Both,3,10,7
4965.71,Tiles,Outdoor,2,8,209
3385.28,Cement Rendering,Outdoor,3,10,79
292.36,Tiles,Outdoor,9,1,150
120.07,Cement Rendering,Both,5,20,3
387.62,Tiles,Outdoor,1,4,32
146.43,Tiles,Outdoor,2,1,51
392.3,Titanium,Outdoor,1,4,41
74.07,Titanium,Both,5,10,6
569.24,Hardwood,Outdoor,2,12,27
640.66,Hardwood,Indoor,5,6,61
309.91,Titanium,Both,7,6,34
3201.87,Cement Rendering,Both,4,13,72
422.14,Tiles,Both,5,11,19
25.06,Tiles,Indoor,1,7,3
3041.13,Tiles,Indoor,5,12,102
3609.99,Cement Rendering,Indoor,3,4,188
4331.37,Tiles,Both,1,14,116
2394.7,Titanium,Indoor,5,8,143
1688.46,Cement Rendering,Both,4,9,50
94.7,Cement Rendering,Outdoor,4,6,5
374.22,Hardwood,Indoor,1,5,33
90.58,Cement Rendering,Indoor,1,1,17
499.2,Cement Rendering,Indoor,2,3,33
1282.27,Cement Rendering,Indoor,3,6,45
261.52,Tiles,Outdoor,1,2,42
291.79,Tiles,Outdoor,6,11,14
374.4,Hardwood,Outdoor,4,8,29
4389.6,Tiles,Indoor,6,15,133
463.01,Titanium,Outdoor,2,5,42
157.78,Tiles,Both,2,11,7
669.25,Hardwood,Indoor,1,8,37
466.51,Cement Rendering,Both,3,3,39
150.81,Titanium,Indoor,4,12,8
429.11,Tiles,Outdoor,3,18,12
391.9,Hardwood,Outdoor,5,7,36
1726.15,Cement Rendering,Outdoor,1,15,27
482.22,Tiles,Indoor,3,13,15
172.94,Cement Rendering,Indoor,6,12,5
486.97,Titanium,Indoor,6,14,22
4090.7,Cement Rendering,Indoor,1,8,92
538.74,Cement Rendering,Outdoor,2,9,14
3262.07,Hardwood,Indoor,10,6,392
21.3,Hardwood,Indoor,1,6,3
520.76,Cement Rendering,Outdoor,6,6,25
2271.79,Cement Rendering,Outdoor,2,6,82
417.19,Tiles,Outdoor,2,4,37
753.25,Hardwood,Indoor,10,10,56
31.48,Cement Rendering,Outdoor,3,7,2
2712.57,Tiles,Indoor,2,12,75
444.51,Cement Rendering,Outdoor,3,7,16
296,Tiles,Outdoor,6,5,28
435.31,Tiles,Indoor,9,9,24
993.27,Tiles,Outdoor,1,11,31
4959.19,Titanium,Indoor,1,14,145
95.59,Titanium,Both,1,10,6
1331.94,Cement Rendering,Indoor,5,8,40
471.45,Titanium,Indoor,9,12,27
25.65,Hardwood,Outdoor,5,9,4
95.71,Cement Rendering,Indoor,10,12,4
358.54,Cement Rendering,Outdoor,6,5,21
64.96,Hardwood,Indoor,1,4,9
274.55,Tiles,Both,1,11,10
675.81,Hardwood,Indoor,1,4,72
2886.22,Tiles,Both,5,5,251
575.66,Cement Rendering,Outdoor,2,10,13
998.07,Cement Rendering,Indoor,2,11,19
1705.75,Tiles,Outdoor,2,4,144
821.16,Hardwood,Indoor,4,17,32
206.39,Hardwood,Outdoor,9,7,24
4646.03,Tiles,Indoor,1,10,131
659.58,Titanium,Outdoor,3,4,78
130.44,Cement Rendering,Outdoor,4,13,4
35.63,Cement Rendering,Indoor,1,5,2
23.79,Cement Rendering,Both,4,13,2
4095.57,Titanium,Indoor,6,3,685
738.04,Tiles,Both,7,11,36
94.71,Hardwood,Outdoor,8,5,16
740.2,Titanium,Indoor,1,2,134
1451.38,Tiles,Indoor,9,5,134
485.38,Hardwood,Outdoor,1,8,30
142.99,Cement Rendering,Outdoor,8,11,5
31.67,Tiles,Indoor,2,14,3
122.45,Hardwood,Outdoor,1,11,7
3937.03,Tiles,Both,3,7,215
2127.81,Titanium,Outdoor,1,17,61
1620.03,Tiles,Both,2,10,59
572.38,Hardwood,Indoor,3,17,21
93.54,Titanium,Outdoor,1,2,21
299.23,Titanium,Both,4,6,28
121.25,Titanium,Indoor,1,11,6
483.83,Cement Rendering,Outdoor,2,8,14
1564.37,Hardwood,Indoor,1,12,60
38.91,Hardwood,Outdoor,2,10,4
1054.07,Tiles,Both,1,3,117
472.68,Hardwood,Indoor,4,3,83
27.99,Tiles,Both,2,4,4
687.22,Cement Rendering,Indoor,5,5,33
1525.13,Hardwood,Both,4,6,157
3940.34,Cement Rendering,Both,5,12,99
388.68,Cement Rendering,Indoor,2,11,8
452.53,Hardwood,Indoor,1,13,18
662.37,Cement Rendering,Indoor,1,4,31
124.28,Hardwood,Indoor,6,12,8
308.61,Tiles,Outdoor,2,16,10
204.29,Cement Rendering,Indoor,9,10,7
1392,Cement Rendering,Indoor,1,8,32
77.9,Titanium,Outdoor,1,12,5
352.11,Cement Rendering,Both,4,17,7
290.14,Titanium,Indoor,4,5,28
387.93,Hardwood,Both,1,11,20
2940.54,Titanium,Indoor,1,14,87
1808.01,Tiles,Indoor,4,6,106
1355.1,Cement Rendering,Outdoor,7,7,58
95.36,Tiles,Both,1,15,4
420.76,Cement Rendering,Outdoor,4,18,8
40.35,Titanium,Indoor,1,13,3
286.97,Tiles,Both,3,12,12
559.54,Cement Rendering,Both,6,3,56
1632.17,Hardwood,Outdoor,6,5,214
2051.77,Cement Rendering,Indoor,3,14,35
273.21,Tiles,Indoor,10,2,67
656.77,Cement Rendering,Outdoor,2,12,14
1569.7,Cement Rendering,Outdoor,1,11,30
2832.65,Tiles,Outdoor,1,8,111
132.53,Hardwood,Outdoor,1,7,11
2286.26,Tiles,Both,2,8,103
713.58,Cement Rendering,Both,2,1,163
348,Hardwood,Outdoor,5,12,21
160.94,Titanium,Indoor,8,10,11
989.53,Tiles,Outdoor,2,4,84
222.48,Titanium,Indoor,10,5,29
96.56,Hardwood,Outdoor,9,5,17
1184.02,Tiles,Indoor,4,5,84
75.24,Tiles,Outdoor,1,11,4
510.84,Tiles,Outdoor,5,16,17
2399.55,Cement Rendering,Both,2,2,273
1290.95,Hardwood,Indoor,1,11,53
722.62,Tiles,Outdoor,2,17,19
262.72,Tiles,Indoor,4,6,17
159.49,Cement Rendering,Both,4,7,7
123.37,Tiles,Outdoor,4,13,6
369.23,Cement Rendering,Both,1,5,17
781.88,Titanium,Indoor,2,7,45
167.86,Titanium,Indoor,9,13,10
593.47,Cement Rendering,Indoor,1,6,19
61.67,Cement Rendering,Outdoor,1,6,3
79.67,Tiles,Indoor,2,15,4
490.14,Cement Rendering,Indoor,2,1,96
2458.55,Tiles,Outdoor,2,6,139
4951.74,Tiles,Indoor,3,15,125
607.58,Titanium,Both,1,9,30
84.26,Hardwood,Indoor,1,2,20
542.14,Cement Rendering,Both,1,1,115
456.74,Titanium,Indoor,3,4,49
116.81,Hardwood,Both,2,4,17
1429,Tiles,Indoor,2,18,31
949.83,Titanium,Indoor,10,12,54
148.91,Hardwood,Indoor,7,3,33
234.28,Cement Rendering,Indoor,7,19,5
173.62,Titanium,Indoor,2,15,7
525.05,Titanium,Both,1,4,57
523.84,Cement Rendering,Both,6,6,27
467.88,Cement Rendering,Indoor,1,17,7
1603.85,Titanium,Both,2,8,93
332.5,Cement Rendering,Indoor,10,2,52
1788.23,Tiles,Both,4,8,93
255.02,Tiles,Outdoor,6,4,30
71.15,Hardwood,Indoor,1,5,8
745.59,Tiles,Indoor,3,16,20
655.43,Cement Rendering,Indoor,5,9,18
2205.77,Titanium,Indoor,4,10,100
112.81,Hardwood,Indoor,3,7,10
391.65,Hardwood,Indoor,1,5,35
163.53,Tiles,Both,3,8,10
649.15,Cement Rendering,Indoor,1,12,11
3699.32,Tiles,Indoor,6,14,118
653.66,Tiles,Outdoor,1,12,20
157.09,Cement Rendering,Indoor,1,3,10
130.53,Titanium,Indoor,5,11,8
37.25,Titanium,Outdoor,1,3,7
30.6,Titanium,Both,5,15,3
164.19,Cement Rendering,Indoor,1,13,3
4872.03,Tiles,Indoor,3,11,150
111.24,Cement Rendering,Outdoor,1,5,5
65.1,Hardwood,Outdoor,9,3,18
100.67,Titanium,Indoor,3,7,8
2952.94,Tiles,Indoor,1,5,166
177.54,Cement Rendering,Indoor,1,12,4
1747.57,Cement Rendering,Indoor,1,5,63
374.13,Hardwood,Indoor,3,6,32
1121.75,Cement Rendering,Both,2,10,26
179.8,Tiles,Indoor,2,10,7
42.94,Tiles,Outdoor,1,15,3
2662.71,Hardwood,Indoor,3,20,82
154.1,Titanium,Indoor,4,9,10
146.32,Tiles,Indoor,2,9,7
480.93,Tiles,Both,1,5,33
569.96,Cement Rendering,Indoor,1,2,52
782.71,Tiles,Outdoor,1,10,26
32.24,Titanium,Both,5,4,6
484.46,Tiles,Indoor,6,9,23
2579.96,Tiles,Both,2,6,154
465.53,Cement Rendering,Outdoor,7,6,24
1636.02,Cement Rendering,Outdoor,3,3,127
589.59,Titanium,Outdoor,2,13,23
423.27,Tiles,Both,3,6,29
3301.89,Cement Rendering,Indoor,6,6,139
846.7,Hardwood,Indoor,1,6,61
398.44,Titanium,Indoor,4,9,22
2664.69,Tiles,Indoor,1,6,125
715.43,Tiles,Both,1,11,24
791.19,Tiles,Indoor,3,12,25
128.02,Tiles,Outdoor,5,6,11
405.9,Tiles,Indoor,6,12,16
1711.38,Tiles,Indoor,10,7,119
138.86,Cement Rendering,Both,1,6,6
148.19,Tiles,Indoor,5,10,7
148.66,Tiles,Outdoor,1,7,9
461.55,Titanium,Indoor,1,11,18
1781.06,Cement Rendering,Both,5,8,63
3832.27,Tiles,Both,2,9,152
504.28,Tiles,Indoor,1,10,16
89.66,Tiles,Both,1,4,9
690.88,Tiles,Indoor,3,7,34
50.71,Cement Rendering,Both,2,9,2
581.44,Cement Rendering,Indoor,1,5,22
1920.08,Cement Rendering,Both,9,8,84
157.53,Cement Rendering,Outdoor,7,14,5
405.97,Titanium,Indoor,8,11,23
37.91,Titanium,Both,3,13,4
4828.96,Tiles,Both,1,3,528
1360.46,Tiles,Indoor,5,5,102
270.31,Cement Rendering,Both,2,5,13
484.53,Tiles,Both,2,7,26
777.29,Hardwood,Both,2,11,41
836.81,Hardwood,Outdoor,6,10,56
4227.02,Titanium,Indoor,3,6,294
3407.77,Hardwood,Indoor,7,13,180
744.16,Tiles,Both,1,3,83
1201.05,Cement Rendering,Both,8,10,40
2103.69,Tiles,Indoor,7,13,75
3678.26,Tiles,Both,4,14,122
2201.66,Titanium,Outdoor,2,9,107
2054.5,Tiles,Indoor,1,10,59
670.64,Cement Rendering,Indoor,4,6,26
45.25,Tiles,Both,6,12,4
1966.09,Titanium,Indoor,2,11,74
129.99,Hardwood,Both,1,7,11
160.22,Hardwood,Both,1,16,8
4118.12,Tiles,Both,9,4,554
1087.72,Tiles,Indoor,1,3,103
767.34,Cement Rendering,Outdoor,2,15,14
597.96,Cement Rendering,Outdoor,1,13,11
1290.25,Tiles,Indoor,6,9,58
3208.14,Titanium,Indoor,2,4,311
61.89,Tiles,Both,2,10,4
187.39,Cement Rendering,Indoor,4,10,5
2004.66,Titanium,Indoor,1,2,360
57.57,Hardwood,Both,8,17,5
644.16,Cement Rendering,Indoor,3,6,23
410.59,Hardwood,Outdoor,3,5,46
756.87,Hardwood,Indoor,2,8,45
38.69,Cement Rendering,Indoor,7,13,2
2374.68,Tiles,Both,3,11,87
70.08,Hardwood,Indoor,10,12,6
156.49,Titanium,Both,1,4,18
25.74,Tiles,Outdoor,2,20,3
2602.94,Tiles,Outdoor,3,8,118
2273.83,Cement Rendering,Indoor,7,4,151
101.4,Tiles,Both,3,9,6
3815.51,Tiles,Indoor,1,12,97
730.28,Cement Rendering,Outdoor,4,7,27
769.81,Hardwood,Indoor,1,13,29
462.06,Hardwood,Outdoor,1,17,17
769.6,Tiles,Outdoor,5,17,24
311.84,Cement Rendering,Outdoor,2,2,34
172.3,Tiles,Indoor,1,17,5
952.53,Hardwood,Indoor,5,5,107
1912.26,Cement Rendering,Indoor,2,12,34
129.59,Cement Rendering,Outdoor,6,8,5
729.07,Tiles,Outdoor,2,11,25
1843.96,Tiles,Indoor,1,6,87
319.8,Titanium,Indoor,3,10,15
360.95,Tiles,Both,2,4,34
164.46,Hardwood,Outdoor,2,2,43
27.22,Cement Rendering,Indoor,1,10,1
337.84,Tiles,Indoor,3,3,38
292.14,Cement Rendering,Indoor,1,14,5
113.95,Tiles,Outdoor,4,5,11
4678.49,Cement Rendering,Indoor,5,9,124
981.66,Tiles,Indoor,1,4,70
609.23,Hardwood,Both,3,8,45
783.86,Tiles,Outdoor,4,7,45
40.01,Cement Rendering,Indoor,1,17,2
1156.48,Tiles,Outdoor,2,10,41
1125.36,Tiles,Indoor,2,1,340
44.39,Titanium,Both,2,13,4
305.63,Tiles,Both,1,1,102
622.4,Hardwood,Both,5,9,47
360.99,Tiles,Indoor,3,9,15
686.53,Tiles,Outdoor,3,7,37
30.16,Hardwood,Indoor,2,8,4
3367.56,Titanium,Indoor,2,4,327
57.14,Cement Rendering,Both,2,9,2
1917.17,Cement Rendering,Indoor,4,17,31
1944.61,Titanium,Both,5,13,93
355.84,Titanium,Outdoor,1,4,37
243.46,Tiles,Both,2,4,23
22.9,Hardwood,Indoor,1,13,3
855.32,Cement Rendering,Indoor,3,3,60
61.25,Tiles,Indoor,1,14,3
44.19,Titanium,Outdoor,4,11,4
3595.13,Tiles,Both,1,3,394
665.15,Hardwood,Both,1,3,111
720.07,Hardwood,Indoor,2,7,48
634.45,Cement Rendering,Outdoor,2,3,46
1547.05,Tiles,Both,1,12,47
100.8,Cement Rendering,Indoor,5,6,5
274.85,Titanium,Indoor,1,12,11
434.36,Tiles,Both,5,6,33
43.29,Cement Rendering,Both,8,2,8
177.11,Cement Rendering,Indoor,5,10,5
739.65,Cement Rendering,Outdoor,4,10,19
364.05,Tiles,Outdoor,3,6,24
2345.78,Cement Rendering,Indoor,3,15,38
1559.08,Cement Rendering,Outdoor,5,10,42
730.47,Titanium,Indoor,1,6,45
73.52,Titanium,Outdoor,1,20,4
34.85,Tiles,Outdoor,5,4,6
147.46,Tiles,Indoor,5,11,7
2776.99,Cement Rendering,Indoor,4,6,103
124.15,Cement Rendering,Indoor,5,7,5
4513.66,Hardwood,Outdoor,7,10,311
549.64,Tiles,Indoor,5,11,21
623.18,Tiles,Indoor,2,9,23
1414.79,Cement Rendering,Outdoor,6,2,197
162.16,Tiles,Indoor,2,8,8
502.23,Tiles,Indoor,3,7,25
757.31,Tiles,Both,6,4,89
133.78,Cement Rendering,Outdoor,7,3,14
95.74,Titanium,Both,2,16,5
433.94,Cement Rendering,Outdoor,1,4,23
794.44,Tiles,Indoor,5,3,99
211.11,Hardwood,Both,1,13,11
256.72,Tiles,Both,2,9,12
738.28,Titanium,Indoor,5,9,41
1658.59,Tiles,Indoor,2,13,44
147.97,Titanium,Indoor,1,7,10
774.05,Hardwood,Outdoor,4,13,40
1772.82,Titanium,Outdoor,3,3,274
300.11,Tiles,Outdoor,1,9,12
96.13,Hardwood,Indoor,8,4,18
145.88,Cement Rendering,Outdoor,7,7,7
1832.05,Tiles,Indoor,7,1,755
437.85,Hardwood,Indoor,1,3,63
46.9,Cement Rendering,Indoor,1,6,2
285.73,Tiles,Indoor,1,2,42
379.11,Tiles,Indoor,2,13,12
52.41,Titanium,Outdoor,3,11,4
252.24,Cement Rendering,Indoor,2,8,7
325.69,Hardwood,Indoor,9,10,24
108.75,Titanium,Indoor,2,2,23
306.94,Hardwood,Indoor,10,12,22
443.3,Hardwood,Indoor,1,8,25
1292.43,Hardwood,Indoor,8,8,107
700.64,Tiles,Indoor,4,9,29
209.16,Titanium,Outdoor,2,7,15
42.34,Tiles,Indoor,2,9,3
3296.44,Titanium,Indoor,1,11,113
333.23,Hardwood,Indoor,2,9,19
130.7,Tiles,Indoor,2,14,5
436.75,Hardwood,Outdoor,5,8,35
1903.82,Cement Rendering,Indoor,6,10,49
399.5,Hardwood,Both,2,4,55
1985.25,Cement Rendering,Indoor,8,7,80
23.17,Tiles,Both,2,3,5
368.67,Titanium,Indoor,3,6,27
164.72,Titanium,Indoor,1,13,7
719.48,Tiles,Indoor,3,10,25
603.4,Tiles,Indoor,1,2,86
111.18,Cement Rendering,Outdoor,5,4,8
795.02,Titanium,Outdoor,1,9,37
761.55,Tiles,Both,1,16,20
796.97,Tiles,Outdoor,2,6,46
2302.58,Cement Rendering,Indoor,2,7,64
51.14,Cement Rendering,Outdoor,1,11,2
3560.13,Cement Rendering,Indoor,1,6,107
240.87,Tiles,Both,3,10,11
60.07,Cement Rendering,Indoor,2,2,7
147.06,Hardwood,Both,3,12,9
539.36,Cement Rendering,Indoor,1,6,17
911.48,Cement Rendering,Both,2,6,35
221.72,Titanium,Outdoor,2,7,16
140.31,Cement Rendering,Outdoor,4,1,36
673.21,Hardwood,Outdoor,2,16,27
1572.48,Tiles,Indoor,1,9,51
146.31,Cement Rendering,Outdoor,4,5,8
629.54,Tiles,Indoor,5,2,117
89.74,Hardwood,Both,2,14,6
1051.45,Tiles,Indoor,2,1,317
600.87,Cement Rendering,Outdoor,6,13,15
301.96,Cement Rendering,Both,5,6,15
611.07,Hardwood,Outdoor,2,9,36
4040.64,Tiles,Indoor,2,12,110
55.1,Cement Rendering,Indoor,1,10,2
137.53,Hardwood,Indoor,5,4,21
178.38,Tiles,Indoor,1,3,19
51.1,Tiles,Both,1,1,19
47.86,Hardwood,Outdoor,2,9,5
23.44,Hardwood,Both,1,10,3
668.41,Cement Rendering,Both,2,5,31
1923.88,Hardwood,Both,10,14,133
912.08,Cement Rendering,Both,5,4,64
412.66,Tiles,Both,1,2,69
298.05,Tiles,Both,2,2,55
2283.97,Hardwood,Both,7,4,416
95.31,Titanium,Indoor,3,11,6
496.17,Tiles,Indoor,2,7,23
623.99,Tiles,Indoor,2,15,16
203.66,Cement Rendering,Indoor,7,7,9
162.19,Tiles,Both,2,9,8
33.44,Tiles,Indoor,3,8,3
444.76,Tiles,Indoor,6,6,31
292.15,Cement Rendering,Outdoor,2,2,32
1672.23,Tiles,Both,8,3,286
26.13,Cement Rendering,Indoor,2,6,2
1962.33,Tiles,Outdoor,10,20,67
2057.96,Hardwood,Indoor,2,13,80
1487.08,Tiles,Outdoor,4,8,73
652.16,Cement Rendering,Indoor,1,11,12
500.3,Titanium,Both,5,8,37
1332.91,Cement Rendering,Both,4,5,70
526.68,Tiles,Outdoor,1,16,14
149.66,Hardwood,Indoor,2,10,9
662.98,Tiles,Indoor,1,12,18
2885.07,Hardwood,Indoor,4,9,168
717.64,Hardwood,Indoor,2,8,42
37.38,Tiles,Indoor,7,3,7
108.47,Cement Rendering,Outdoor,3,4,7
174.08,Tiles,Indoor,4,2,32
102.97,Cement Rendering,Both,2,4,7
105.83,Tiles,Indoor,9,13,6
52.91,Tiles,Outdoor,2,9,4
3969.14,Tiles,Outdoor,1,1,1227
30.24,Tiles,Both,3,15,3
1582.89,Tiles,Outdoor,2,14,45
614.5,Titanium,Indoor,3,12,25
59.86,Hardwood,Outdoor,2,15,4
110.98,Tiles,Both,1,14,5
120.49,Tiles,Both,4,11,7
98.96,Hardwood,Outdoor,10,2,41
142.65,Tiles,Indoor,1,8,7
226.31,Titanium,Outdoor,2,11,11
1474.95,Cement Rendering,Indoor,8,6,69
1624.61,Cement Rendering,Outdoor,1,16,25
151.27,Hardwood,Indoor,1,3,23
105.54,Tiles,Indoor,5,10,6
77.29,Cement Rendering,Indoor,4,5,4
698.79,Hardwood,Outdoor,4,14,34
371.85,Cement Rendering,Indoor,5,12,9
3437.24,Cement Rendering,Indoor,2,19,44
50.74,Titanium,Indoor,7,12,4
1086.23,Cement Rendering,Indoor,1,6,33
298.33,Cement Rendering,Outdoor,8,3,32
77.05,Cement Rendering,Indoor,2,7,3
221.86,Hardwood,Outdoor,2,2,57
68.25,Tiles,Both,1,8,5
4626.31,Cement Rendering,Both,3,19,74
600.62,Hardwood,Outdoor,2,10,32
1341.23,Hardwood,Indoor,2,9,69
417.69,Tiles,Indoor,3,19,11
118.62,Hardwood,Indoor,5,11,8
218.09,Tiles,Indoor,1,4,17
167.75,Tiles,Both,5,6,14
122.98,Titanium,Outdoor,9,10,10
23.79,Hardwood,Indoor,1,8,3
4162.85,Cement Rendering,Outdoor,4,9,115
380.09,Tiles,Indoor,7,2,80
121.5,Cement Rendering,Indoor,1,9,3
2384.15,Cement Rendering,Indoor,5,6,95
1217.13,Cement Rendering,Indoor,2,7,35
349.28,Titanium,Indoor,9,7,31
90.62,Tiles,Outdoor,5,13,5
834.66,Tiles,Both,5,15,30
275.58,Titanium,Indoor,2,7,17
556.13,Cement Rendering,Indoor,2,4,28
22.05,Tiles,Outdoor,3,15,3
4926.26,Tiles,Indoor,4,9,191
205.03,Hardwood,Indoor,3,4,27
339,Hardwood,Outdoor,3,8,25
612.11,Titanium,Both,5,5,70
150.1,Tiles,Outdoor,4,10,8
92.88,Titanium,Indoor,3,16,5
821.96,Titanium,Outdoor,8,7,75
738.72,Tiles,Indoor,2,13,21
68.36,Hardwood,Outdoor,2,6,8
