wall_area_m2,material,location,floors,labor_count,duration_days
3634.25,Cement Sand,Internal,1,3,151
1827.02,Cement Sand,External,2,8,39
683.4,Gypsum,External,2,4,20
57.15,Cement Sand,External,3,19,1
131.99,Gypsum,Internal,4,6,2
113.06,Cement Sand,Both,1,12,2
3568.89,Cement Sand,External,2,12,51
54.87,Gypsum,External,3,7,1
1755.1,Cement Sand,Both,1,8,37
79.35,Gypsum,Internal,3,2,4
131.36,Cement Sand,Internal,1,3,5
801.6,Gypsum,External,1,4,21
4330.95,Cement Sand,Both,1,7,103
20.86,Gypsum,Internal,2,2,1
1977.23,Gypsum,External,2,8,28
153.33,Cement Sand,Both,1,5,5
2463.69,Gypsum,Internal,1,3,68
2396.44,Cement Sand,Internal,1,4,75
991.77,Cement Sand,Internal,5,20,9
1103.16,Cement Sand,Both,1,14,13
1597.31,Gypsum,Internal,1,12,11
2286.83,Cement Sand,Internal,3,16,21
4768.87,Gypsum,External,1,15,33
21.35,Gypsum,Internal,2,1,2
714.72,Cement Sand,Both,1,8,15
1222.31,Cement Sand,Internal,1,9,17
174.12,Gypsum,Internal,2,13,1
1928.91,Cement Sand,Internal,1,9,27
231.96,Gypsum,Both,10,11,4
28.94,Cement Sand,Internal,1,9,1
321.2,Cement Sand,External,5,7,10
53.45,Gypsum,Internal,1,9,1
412.47,Cement Sand,Internal,1,8,6
1428.36,Cement Sand,Internal,5,18,14
1242.43,Gypsum,External,1,11,12
71.41,Cement Sand,Both,3,4,4
133.22,Cement Sand,Both,1,3,7
755.83,Gypsum,Internal,3,1,76
59,Gypsum,External,1,13,1
432.17,Cement Sand,External,3,5,16
1179.06,Gypsum,Internal,1,7,14
2046.51,Gypsum,Internal,7,7,39
153.6,Cement Sand,Internal,1,2,10
356.47,Cement Sand,External,1,3,19
177.23,Cement Sand,Internal,1,15,1
138.03,Gypsum,Internal,6,8,2
133.92,Cement Sand,Internal,1,2,8
99.61,Cement Sand,External,2,7,2
90.12,Cement Sand,Both,2,12,1
1934.55,Cement Sand,External,1,8,38
458.21,Cement Sand,Both,4,9,11
1713.48,Gypsum,External,2,1,196
359.59,Cement Sand,Internal,1,5,9
2766.43,Cement Sand,Internal,10,6,110
585.83,Cement Sand,Internal,2,16,5
637.75,Cement Sand,Both,1,7,15
1614.65,Cement Sand,External,8,9,48
736.67,Cement Sand,Internal,1,7,13
613.19,Cement Sand,External,2,12,9
120.92,Gypsum,Internal,1,9,1
1950.63,Cement Sand,Internal,1,9,27
372.67,Gypsum,Internal,2,1,34
1778.46,Gypsum,Both,1,3,66
2335.4,Cement Sand,External,2,6,67
74.83,Gypsum,Both,9,18,1
2864.02,Cement Sand,External,4,7,83
506.67,Cement Sand,External,1,10,8
4064.74,Cement Sand,External,2,13,54
97.17,Cement Sand,Both,1,1,16
400.55,Cement Sand,Internal,1,3,17
3463.87,Cement Sand,Internal,9,13,60
394.76,Cement Sand,External,1,10,6
511.47,Cement Sand,External,5,7,16
4396.07,Gypsum,Both,2,8,67
168.25,Cement Sand,Internal,1,3,7
725.59,Cement Sand,Internal,1,3,30
279.23,Gypsum,Internal,2,3,9
865.25,Cement Sand,Both,4,1,187
243.4,Gypsum,External,1,14,2
272.01,Cement Sand,External,6,2,32
760.42,Gypsum,External,2,4,22
113.26,Cement Sand,Internal,5,3,7
67.29,Gypsum,Internal,1,10,1
235.48,Cement Sand,Both,1,2,20
646.53,Cement Sand,Internal,6,15,8
2191.72,Cement Sand,Internal,1,10,27
130.97,Cement Sand,External,5,10,3
25.65,Cement Sand,Internal,2,13,1
2284.19,Cement Sand,External,3,6,71
243.31,Cement Sand,Both,5,10,6
52.05,Cement Sand,Internal,1,3,2
380.71,Cement Sand,Internal,2,3,17
138.7,Gypsum,Both,2,3,6
1023.55,Gypsum,Internal,1,7,12
788.37,Cement Sand,Internal,2,2,54
172.99,Cement Sand,Both,1,9,3
177.22,Gypsum,External,2,8,3
1225.82,Cement Sand,Both,2,5,45
636.14,Cement Sand,External,4,11,12
135.55,Cement Sand,Both,3,7,4
22.04,Gypsum,Both,3,1,3
1478.42,Gypsum,External,3,15,12
541.24,Cement Sand,Internal,7,14,8
1769.16,Cement Sand,Internal,6,13,26
384.42,Cement Sand,External,7,2,48
1867.38,Cement Sand,Both,2,5,68
2313.28,Gypsum,Internal,2,10,21
337.79,Cement Sand,External,4,2,34
2340.44,Gypsum,External,2,17,16
69.86,Gypsum,Both,1,8,1
560.02,Cement Sand,Both,4,3,40
919.44,Gypsum,Both,2,7,16
172,Cement Sand,Both,2,7,5
29.07,Gypsum,External,2,16,1
160.43,Gypsum,Internal,2,1,15
1793.35,Gypsum,Internal,1,7,21
52.6,Gypsum,Internal,1,4,1
1984.32,Gypsum,Both,1,6,37
884.55,Cement Sand,Both,2,1,162
257.06,Gypsum,Internal,1,9,2
4426.07,Cement Sand,Both,3,9,98
347.27,Cement Sand,Internal,3,2,26
1753.87,Cement Sand,Internal,2,9,27
2091.65,Cement Sand,External,1,11,30
2316.85,Gypsum,External,2,7,38
94.76,Cement Sand,Internal,6,3,6
164.75,Gypsum,Internal,1,1,14
137.87,Cement Sand,Internal,4,8,3
290.19,Cement Sand,Internal,3,15,3
154.9,Gypsum,External,5,4,6
133.97,Cement Sand,External,1,6,3
534.05,Cement Sand,Internal,7,4,27
143.66,Cement Sand,Both,6,15,2
439.29,Cement Sand,Both,4,1,95
89.87,Cement Sand,Internal,1,14,1
931.3,Cement Sand,Internal,1,9,13
760.36,Cement Sand,Both,2,5,28
1482.05,Cement Sand,Both,1,5,49
167.82,Cement Sand,Internal,4,5,5
78.16,Gypsum,Both,6,8,2
509.13,Cement Sand,External,1,13,6
716.4,Cement Sand,External,2,9,14
130.17,Cement Sand,Internal,2,4,4
36.73,Cement Sand,Both,2,13,1
142.19,Gypsum,External,1,12,1
682.8,Cement Sand,External,1,5,21
688.05,Cement Sand,Both,1,13,9
504.74,Gypsum,Internal,2,1,46
1854.81,Cement Sand,External,4,11,34
70.67,Cement Sand,Both,3,1,14
92.18,Gypsum,Both,7,10,2
255.44,Cement Sand,External,1,10,4
792.2,Cement Sand,External,1,4,31
167.72,Cement Sand,Both,1,5,6
114.28,Cement Sand,Internal,2,12,1
350.42,Cement Sand,Internal,1,9,5
140.67,Cement Sand,Internal,1,8,2
183.76,Cement Sand,External,2,6,5
2340.83,Cement Sand,Both,4,10,51
2069.46,Gypsum,External,3,12,22
123.52,Cement Sand,Both,1,10,2
393.79,Cement Sand,Internal,1,6,8
4347.04,Cement Sand,External,2,5,149
539.56,Cement Sand,Both,3,6,18
97.47,Cement Sand,Both,2,1,18
3447.68,Cement Sand,Internal,3,10,52
565.35,Gypsum,External,2,5,13
1556.91,Cement Sand,Both,3,1,311
641.55,Gypsum,Both,2,15,5
111.04,Gypsum,Both,1,1,12
21.07,Gypsum,Internal,1,10,1
2107.52,Cement Sand,Both,1,9,39
167.68,Cement Sand,Internal,3,5,5
41.31,Cement Sand,External,3,3,3
1665.19,Gypsum,Internal,1,1,139
84.92,Cement Sand,External,2,6,2
56.82,Cement Sand,External,1,7,1
123.55,Cement Sand,Internal,2,4,4
223.14,Cement Sand,Internal,1,11,3
1746.47,Cement Sand,Both,4,8,47
2339.11,Cement Sand,Internal,1,8,37
249.27,Gypsum,Both,3,6,6
360.84,Gypsum,Both,1,9,4
1045.71,Cement Sand,External,1,10,16
1161.97,Cement Sand,External,3,12,18
117.53,Gypsum,External,1,5,2
756.67,Cement Sand,Both,2,4,35
109.79,Cement Sand,Both,4,4,6
228.68,Cement Sand,Both,1,14,3
324.77,Gypsum,External,2,3,12
44.58,Cement Sand,Internal,9,4,3
112.74,Cement Sand,External,1,2,9
918.23,Cement Sand,External,1,15,10
2477.63,Gypsum,Internal,2,13,17
1649.61,Cement Sand,Internal,3,6,41
82.77,Gypsum,Internal,1,12,1
148.59,Gypsum,Both,1,9,2
186.02,Cement Sand,Both,2,1,34
151.27,Cement Sand,Internal,4,3,8
749.68,Cement Sand,Internal,1,11,9
520.45,Gypsum,Internal,2,10,5
402.69,Gypsum,Internal,2,5,7
2051.34,Gypsum,Internal,2,15,13
3684.84,Cement Sand,Internal,4,3,200
1017.2,Gypsum,External,5,10,15
174.43,Cement Sand,Internal,6,2,16
2362.59,Cement Sand,Both,5,11,50
822.2,Cement Sand,External,4,12,14
489.13,Cement Sand,Internal,1,6,10
1054.16,Cement Sand,Internal,4,15,11
642.77,Cement Sand,External,2,3,37
1398.14,Cement Sand,Both,5,1,326
1252.3,Gypsum,Both,1,14,10
194.37,Cement Sand,Internal,1,13,2
20.95,Cement Sand,Both,3,12,1
735.8,Gypsum,External,3,5,18
162.05,Gypsum,Both,1,4,5
450.96,Cement Sand,Both,6,8,14
89.07,Cement Sand,Both,4,5,4
2341.32,Gypsum,External,2,4,67
29.81,Cement Sand,External,1,9,1
206.79,Cement Sand,External,3,2,19
42.99,Gypsum,Internal,2,2,2
2261.28,Cement Sand,External,2,14,28
2490.06,Cement Sand,Internal,1,7,44
4804.49,Gypsum,Internal,3,11,44
413.2,Cement Sand,External,3,2,39
119.51,Cement Sand,Internal,5,5,4
2295.77,Cement Sand,Internal,2,2,158
27.65,Cement Sand,Internal,1,10,1
167.59,Cement Sand,Internal,5,4,7
555.71,Gypsum,External,3,4,17
2901.51,Gypsum,Both,1,4,81
2067.24,Cement Sand,Internal,1,11,23
119.14,Gypsum,Internal,3,14,1
88.84,Cement Sand,Internal,3,7,2
718.82,Cement Sand,Internal,2,1,99
90.08,Gypsum,Internal,2,14,1
1175.09,Gypsum,External,1,1,122
21.23,Cement Sand,Both,1,3,1
186.42,Gypsum,Internal,1,13,1
2135.21,Gypsum,External,1,10,22
402.82,Gypsum,External,2,13,4
1152.56,Cement Sand,Both,2,4,53
3784.92,Gypsum,Internal,1,9,35
34.66,Cement Sand,Internal,2,10,1
343.79,Gypsum,External,4,1,47
611.27,Gypsum,Internal,1,1,51
175.79,Cement Sand,Internal,9,10,4
28.99,Gypsum,Internal,2,2,1
37.41,Cement Sand,Internal,3,3,2
416.24,Cement Sand,External,1,8,8
71.04,Cement Sand,Both,1,9,1
2308.1,Cement Sand,Internal,8,4,123
137.39,Gypsum,Internal,9,13,2
1664.22,Cement Sand,Internal,2,9,25
1036.15,Gypsum,Internal,3,14,7
645.75,Cement Sand,Internal,1,3,27
2918.46,Gypsum,Internal,6,1,365
162.22,Cement Sand,Internal,2,3,7
4737.55,Cement Sand,Both,6,9,132
758.7,Cement Sand,Both,1,5,25
655.11,Cement Sand,Internal,1,6,14
2274.29,Cement Sand,Internal,9,10,51
1011.31,Cement Sand,Internal,1,13,10
129.05,Gypsum,Internal,3,13,1
42.75,Cement Sand,Internal,6,11,1
177.66,Cement Sand,Both,3,12,3
114.17,Gypsum,Both,1,8,2
40.65,Cement Sand,Both,1,2,3
138.57,Gypsum,Internal,1,7,2
579.63,Cement Sand,Internal,1,4,18
1877.47,Cement Sand,Internal,1,13,18
297.27,Cement Sand,Internal,1,16,2
483.45,Gypsum,Both,1,4,13
2843.85,Cement Sand,Internal,1,12,30
4156.58,Gypsum,Both,1,12,38
4642.06,Cement Sand,Both,1,1,774
83.8,Gypsum,External,4,12,1
113.87,Cement Sand,External,3,7,3
53.07,Cement Sand,Both,1,7,1
176.23,Cement Sand,External,1,9,3
229.76,Cement Sand,Internal,1,8,4
163.62,Cement Sand,Internal,1,10,2
172.46,Cement Sand,Both,1,5,6
2346.91,Cement Sand,Internal,1,10,29
667.43,Gypsum,Both,10,13,11
1989.53,Gypsum,External,1,13,16
3951.39,Cement Sand,External,1,12,51
2265.16,Gypsum,External,1,6,39
644.3,Cement Sand,External,6,9,17
567.56,Cement Sand,Internal,3,2,43
1121.21,Gypsum,Internal,4,4,30
500.6,Cement Sand,Internal,2,5,14
25.9,Cement Sand,Both,1,15,1
300.42,Cement Sand,Internal,1,11,3
80.89,Gypsum,Internal,1,7,1
454.91,Gypsum,Internal,1,5,8
667.53,Cement Sand,External,1,6,17
134.32,Gypsum,Internal,1,13,1
105.75,Cement Sand,Internal,1,3,4
28.7,Cement Sand,Internal,3,18,1
679.17,Cement Sand,Internal,1,5,17
475.37,Cement Sand,External,3,4,22
530.39,Cement Sand,Internal,2,3,24
141.3,Cement Sand,External,3,2,13
1168.51,Gypsum,Both,1,1,130
1565.93,Cement Sand,Both,2,16,18
791.71,Cement Sand,Internal,2,10,11
585.94,Cement Sand,Internal,1,4,18
2283.56,Cement Sand,Both,3,3,152
787.4,Gypsum,Internal,3,12,7
184.05,Gypsum,Both,1,9,2
526.88,Cement Sand,Internal,7,15,7
1872.59,Gypsum,External,5,18,15
706.01,Gypsum,Internal,2,10,6
760.01,Cement Sand,Internal,1,18,5
449.43,Cement Sand,External,2,7,11
4022.41,Cement Sand,External,2,9,77
25.08,Cement Sand,Internal,2,10,1
797.36,Gypsum,Both,3,3,35
96.86,Gypsum,Internal,1,10,1
161.68,Cement Sand,Internal,1,1,20
1888.49,Cement Sand,Internal,2,19,14
178.15,Cement Sand,Internal,2,7,3
773.14,Cement Sand,External,3,2,72
66.8,Cement Sand,Internal,4,11,1
63.84,Gypsum,External,4,15,1
1377.89,Gypsum,Both,2,7,24
21.13,Cement Sand,External,1,17,1
301.84,Cement Sand,External,5,5,13
788.41,Gypsum,Both,2,9,11
36.78,Cement Sand,External,2,5,1
65.38,Cement Sand,Both,2,10,1
676.18,Gypsum,Internal,1,2,28
1231.18,Cement Sand,External,4,7,36
467.17,Cement Sand,Internal,1,8,7
428.08,Cement Sand,Internal,1,11,5
1852.94,Cement Sand,Internal,1,10,23
368.57,Cement Sand,Both,2,2,34
139.23,Gypsum,Internal,4,13,1
253.29,Cement Sand,Internal,1,16,2
96.82,Cement Sand,Internal,2,8,2
3218.01,Cement Sand,External,3,14,43
40.26,Gypsum,Both,2,8,1
144.43,Cement Sand,Internal,1,7,3
2461.37,Cement Sand,Internal,1,12,26
556.17,Cement Sand,Internal,2,5,15
292.01,Cement Sand,External,1,7,7
239.97,Cement Sand,Internal,5,10,4
701.72,Gypsum,Internal,1,7,8
372.4,Cement Sand,Internal,2,15,3
1497.55,Cement Sand,Both,2,1,275
760.93,Cement Sand,External,2,7,19
603.16,Cement Sand,Internal,4,16,6
456.66,Gypsum,Both,1,4,13
46.48,Cement Sand,Both,1,15,1
2400.93,Cement Sand,Both,4,19,27
2377.6,Gypsum,Internal,5,1,277
714.03,Cement Sand,External,8,4,47
1277.64,Cement Sand,Both,1,11,19
487.47,Gypsum,Internal,3,11,4
722,Gypsum,Internal,2,7,9
1278.49,Gypsum,Internal,2,10,12
525.45,Cement Sand,Both,4,14,8
229.56,Cement Sand,External,1,3,12
178.21,Gypsum,External,1,9,2
663.27,Gypsum,Internal,1,20,3
303.52,Gypsum,External,1,3,11
827.94,Gypsum,External,4,16,7
621.6,Gypsum,Internal,2,11,5
91.08,Cement Sand,External,6,10,2
316.56,Cement Sand,Internal,4,8,6
2040.17,Gypsum,External,1,13,16
573.98,Cement Sand,Both,3,6,19
375.06,Cement Sand,Both,1,7,9
59.76,Cement Sand,Internal,1,2,4
104.88,Cement Sand,Internal,5,7,3
1530.24,Cement Sand,Both,4,14,24
831.59,Gypsum,Both,1,7,13
4012.29,Cement Sand,Both,4,14,62
72.42,Cement Sand,Internal,1,4,2
1701.14,Cement Sand,Both,3,4,85
489.1,Cement Sand,Internal,2,11,6
233.37,Gypsum,Internal,1,6,3
659.93,Cement Sand,External,2,8,14
124.68,Cement Sand,External,2,2,11
130.53,Cement Sand,External,3,2,12
121.38,Gypsum,Both,1,4,3
2262.97,Cement Sand,External,2,5,78
2110.77,Gypsum,Both,1,14,17
40.23,Cement Sand,Internal,4,1,7
154.56,Gypsum,External,2,5,4
601.09,Cement Sand,Internal,4,16,6
101.37,Gypsum,External,1,4,3
193.24,Cement Sand,Both,1,17,2
82.35,Cement Sand,Both,1,2,7
47.65,Cement Sand,Both,2,2,4
824.72,Cement Sand,External,6,8,24
217.53,Gypsum,External,1,7,3
144.08,Cement Sand,Internal,1,3,6
310.08,Gypsum,External,1,4,8
28.72,Cement Sand,Both,4,2,3
865.25,Cement Sand,External,1,2,68
116.76,Cement Sand,External,2,4,5
222.6,Cement Sand,Internal,2,7,4
524.67,Cement Sand,Internal,2,6,12
24.68,Gypsum,Both,2,3,1
85.44,Gypsum,External,1,13,1
4460.44,Cement Sand,Internal,6,3,279
4970.28,Gypsum,Internal,5,1,580
322.29,Gypsum,Both,2,9,4
732.14,Cement Sand,External,2,11,11
2181.67,Cement Sand,Internal,1,5,55
632.25,Cement Sand,Internal,6,7,17
684.15,Gypsum,Both,1,9,8
113.75,Cement Sand,Internal,1,11,1
1331.09,Cement Sand,Internal,1,10,17
2758.87,Cement Sand,External,3,9,57
155.89,Cement Sand,Internal,7,13,2
121.34,Cement Sand,Internal,2,1,17
530.34,Cement Sand,Both,3,1,106
668.35,Cement Sand,Both,1,6,19
173.2,Cement Sand,External,4,5,7
97.98,Cement Sand,Internal,6,6,3
181,Cement Sand,External,2,12,3
171.03,Gypsum,Internal,2,11,1
266.41,Gypsum,Internal,2,1,24
69.56,Cement Sand,Internal,1,7,1
885.47,Cement Sand,External,1,15,9
534.08,Gypsum,Internal,1,7,6
133.98,Cement Sand,Internal,4,8,3
2011.74,Cement Sand,External,3,4,94
88.99,Cement Sand,External,1,6,2
34.04,Cement Sand,Internal,1,2,2
131.4,Cement Sand,Internal,1,5,3
61.02,Cement Sand,Both,4,7,2
611.9,Gypsum,Internal,5,5,14
470.33,Cement Sand,Internal,4,9,8
583.55,Gypsum,Both,1,14,5
34.15,Cement Sand,Internal,6,19,1
185.99,Gypsum,Both,2,8,3
358.94,Cement Sand,Both,2,8,8
72.27,Cement Sand,Internal,2,10,1
1332.78,Cement Sand,Both,3,14,19
2133.05,Cement Sand,Internal,2,5,59
440.11,Cement Sand,Both,5,14,7
190.12,Gypsum,Internal,3,12,2
205.26,Cement Sand,Internal,5,13,3
577.25,Cement Sand,Internal,1,4,18
4398.22,Cement Sand,Both,1,15,49
386.62,Cement Sand,Both,3,6,13
1821.64,Cement Sand,External,2,12,26
4438.12,Cement Sand,Internal,7,8,111
21.62,Gypsum,Internal,1,15,1
2032.25,Gypsum,Internal,2,3,62
499.32,Cement Sand,Internal,2,5,14
101.71,Cement Sand,Internal,2,8,2
779.52,Cement Sand,Internal,4,3,42
178.14,Gypsum,Both,1,13,2
138.72,Cement Sand,Internal,1,13,1
176.39,Cement Sand,Internal,2,6,4
28.74,Cement Sand,Internal,4,4,1
1981.26,Gypsum,External,6,3,103
2434.55,Cement Sand,External,1,1,380
158.15,Cement Sand,Internal,2,7,3
512.34,Gypsum,Internal,4,19,3
153.15,Gypsum,Internal,2,5,3
772.55,Gypsum,External,1,4,20
388.71,Gypsum,Internal,4,7,6
386.5,Cement Sand,Internal,3,5,12
391.92,Gypsum,Both,2,1,48
129.97,Cement Sand,External,1,7,3
185.81,Cement Sand,Internal,3,3,9
420.69,Cement Sand,Internal,1,8,7
2291.54,Gypsum,Both,1,6,42
60.97,Gypsum,Both,7,8,1
2091.27,Cement Sand,External,3,8,49
344.3,Cement Sand,Internal,1,4,11
460.23,Cement Sand,Internal,6,8,11
144.71,Cement Sand,Both,3,9,3
1690.25,Gypsum,Internal,2,15,10
97.7,Cement Sand,External,1,6,3
176.18,Cement Sand,Internal,1,14,2
650.37,Cement Sand,Both,2,7,17
1942.62,Cement Sand,External,6,6,76
334.13,Cement Sand,Internal,1,8,5
2272.11,Cement Sand,Both,1,8,47
1615.75,Gypsum,Both,1,10,18
172.41,Cement Sand,Internal,1,2,11
137.21,Cement Sand,Both,2,14,2
2009.26,Gypsum,External,8,5,71
540.9,Cement Sand,External,10,9,18
705.44,Cement Sand,External,1,2,55
490.64,Cement Sand,Internal,7,1,98
1285.11,Gypsum,External,1,9,15
354.7,Cement Sand,External,1,7,8
95.04,Gypsum,External,1,7,1
187.61,Gypsum,Both,1,2,10
667.58,Cement Sand,Both,2,13,9
121.03,Gypsum,External,5,8,2
35.26,Cement Sand,Internal,1,2,2
190.33,Gypsum,Internal,2,5,3
1932.84,Cement Sand,Internal,1,10,24
367.52,Cement Sand,External,10,11,10
72.98,Gypsum,Internal,10,1,12
460.26,Gypsum,External,2,5,11
1645.1,Gypsum,Both,1,6,30
662.43,Cement Sand,Internal,1,2,41
335.2,Cement Sand,External,1,13,4
1441.02,Cement Sand,Internal,2,10,20
138.73,Cement Sand,External,1,15,1
169.5,Gypsum,Internal,2,12,1
116.15,Cement Sand,External,3,8,3
3757.9,Gypsum,Internal,2,10,34
144.06,Cement Sand,Internal,4,4,6
252.19,Gypsum,External,1,4,7
65.1,Gypsum,External,5,16,1
197.5,Cement Sand,Internal,2,11,2
198.71,Gypsum,Internal,1,5,3
2018.2,Cement Sand,External,4,10,41
197.34,Gypsum,Internal,6,5,5
1219.33,Gypsum,Both,1,15,9
472.67,Cement Sand,Internal,2,11,6
647.8,Gypsum,External,1,4,17
1362.68,Cement Sand,Both,3,9,30
1364.38,Gypsum,Internal,1,9,13
866.5,Gypsum,Internal,1,2,36
137.97,Gypsum,External,1,5,3
268.48,Cement Sand,External,5,8,7
560.3,Cement Sand,Internal,2,8,10
42.12,Gypsum,External,3,3,2
39.51,Cement Sand,External,3,7,1
344.73,Cement Sand,Both,5,4,20
394.2,Cement Sand,Both,6,13,8
4855.46,Cement Sand,Internal,1,14,43
21.47,Cement Sand,Internal,1,4,1
66.41,Cement Sand,Both,1,1,11
63.43,Gypsum,Internal,1,10,1
91.68,Cement Sand,External,1,3,5
422.24,Gypsum,Internal,2,11,4
54.69,Cement Sand,Both,2,3,3
248.12,Gypsum,External,7,8,5
75.5,Cement Sand,Internal,2,5,2
2428.26,Gypsum,Both,1,3,90
617.36,Gypsum,External,1,12,5
357.55,Cement Sand,Internal,4,2,29
134.49,Cement Sand,Internal,3,8,3
2530.75,Cement Sand,External,3,1,475
31.22,Cement Sand,External,1,20,1
121.4,Cement Sand,External,6,4,7
998.17,Cement Sand,Both,2,10,18
1568.36,Cement Sand,Internal,2,10,22
76.53,Gypsum,External,1,6,1
646.2,Cement Sand,Both,1,2,54
3692.15,Gypsum,External,2,2,212
1465.26,Cement Sand,Internal,4,11,22
911.64,Cement Sand,External,1,7,20
2004.68,Cement Sand,External,1,3,104
175.05,Gypsum,Internal,4,2,9
845.77,Gypsum,External,3,9,12
2308.75,Cement Sand,External,1,9,40
2367.44,Gypsum,External,7,5,79
265.37,Cement Sand,Internal,2,8,5
4677.43,Cement Sand,Both,5,8,136
630.3,Cement Sand,Internal,3,15,6
4277.62,Gypsum,External,4,3,193
563.96,Cement Sand,External,2,9,11
673.74,Cement Sand,Both,1,11,10
225.48,Cement Sand,External,2,1,39
91.78,Cement Sand,Internal,2,11,1
4549.73,Cement Sand,Both,3,8,114
2002.99,Cement Sand,Internal,1,1,250
95.03,Gypsum,Both,1,10,1
112.26,Cement Sand,Both,1,14,1
173.21,Cement Sand,Internal,4,15,2
52.4,Gypsum,Internal,1,3,1
153.72,Cement Sand,External,4,9,3
625.78,Cement Sand,External,1,19,5
1946.33,Gypsum,Both,1,20,11
2806.84,Cement Sand,External,1,3,146
1472.72,Cement Sand,Internal,2,2,101
1460.11,Cement Sand,Internal,1,8,23
2188.13,Cement Sand,Internal,2,9,33
1319.23,Gypsum,Both,1,14,10
31.36,Cement Sand,Both,4,10,1
41.05,Cement Sand,External,5,2,4
278.32,Cement Sand,External,1,5,9
211.2,Gypsum,Internal,1,9,2
65.05,Cement Sand,Both,1,10,1
198.16,Cement Sand,Both,1,4,8
1182.45,Cement Sand,Internal,4,2,96
1853.67,Cement Sand,Both,4,10,40
49.81,Gypsum,Both,3,3,2
3385.2,Cement Sand,External,1,2,264
619.11,Cement Sand,Internal,4,8,13
629.63,Gypsum,Internal,5,11,7
398.58,Cement Sand,Internal,4,6,11
2549.96,Cement Sand,Internal,1,9,35
1838.01,Gypsum,Both,5,2,143
69.47,Cement Sand,Internal,3,1,10
1543.21,Cement Sand,External,4,11,28
1794.64,Gypsum,External,4,8,30
191.47,Cement Sand,External,1,3,10
54.4,Cement Sand,Internal,1,6,1
32.93,Cement Sand,Internal,3,7,1
307.74,Cement Sand,Internal,3,4,12
787.95,Gypsum,Internal,5,13,7
260.46,Cement Sand,Internal,1,11,3
158.69,Cement Sand,Internal,2,8,3
2047.2,Cement Sand,Both,7,13,42
42.03,Gypsum,Internal,6,8,1
710.95,Cement Sand,Internal,2,6,16
664.35,Cement Sand,Internal,2,6,15
4375.6,Cement Sand,Both,6,8,137
2223.75,Cement Sand,External,1,1,347
42.78,Cement Sand,External,5,14,1
479.07,Cement Sand,Both,3,11,9
2386.64,Cement Sand,Internal,1,11,27
502.46,Cement Sand,External,7,17,7
3810.08,Cement Sand,External,5,3,278
788.65,Cement Sand,Internal,6,2,74
503.96,Cement Sand,External,4,1,102
2430.91,Cement Sand,Internal,4,4,99
46.17,Cement Sand,Both,1,9,1
605.89,Gypsum,Both,6,1,101
3528.42,Cement Sand,Internal,2,14,35
81.72,Cement Sand,External,3,9,2
487.07,Cement Sand,External,2,1,84
1275.82,Gypsum,Internal,1,7,15
852.69,Gypsum,Internal,1,4,18
482.92,Gypsum,Internal,1,15,3
591.53,Gypsum,Internal,1,10,5
1085.87,Cement Sand,Both,8,8,38
320.36,Cement Sand,External,4,10,7
214.37,Cement Sand,External,7,3,18
493.73,Cement Sand,External,3,13,7
110.19,Cement Sand,Internal,2,16,1
687.75,Cement Sand,External,1,10,11
1999.73,Cement Sand,Internal,2,4,69
3380.06,Cement Sand,Internal,9,3,254
389.41,Cement Sand,Both,2,15,5
50.79,Gypsum,Internal,2,10,1
171.2,Cement Sand,Internal,3,10,3
656.83,Gypsum,Both,2,10,8
85.6,Gypsum,Both,3,1,11
150.06,Cement Sand,Internal,2,9,2
603.93,Gypsum,Both,1,7,10
4344.73,Gypsum,Internal,3,6,72
180.06,Gypsum,Internal,1,17,1
129.57,Cement Sand,Internal,3,3,6
1547.03,Gypsum,Both,2,2,95
1176.23,Cement Sand,External,1,3,61
2093.67,Cement Sand,Both,2,8,48
119.76,Cement Sand,Both,1,15,1
180.69,Gypsum,Internal,2,7,2
2320.14,Cement Sand,Internal,1,1,290
309.03,Cement Sand,Both,7,6,14
1577.27,Gypsum,External,1,1,164
83.86,Gypsum,External,3,2,5
2372.93,Cement Sand,External,2,9,45
1821.02,Cement Sand,Internal,1,9,25
258.14,Gypsum,External,3,5,6
111.12,Cement Sand,External,4,2,11
138.31,Cement Sand,Internal,2,10,2
57.86,Gypsum,Internal,1,3,2
409.84,Cement Sand,Both,3,13,6
745.39,Gypsum,Internal,1,1,62
1538,Cement Sand,Both,1,3,85
91.88,Cement Sand,Internal,5,14,1
4674.48,Cement Sand,Both,1,9,87
366.04,Gypsum,Internal,4,18,2
226.28,Cement Sand,External,2,9,4
719.85,Cement Sand,Internal,1,13,7
190.59,Cement Sand,Internal,3,5,6
157,Cement Sand,External,1,8,3
790.08,Cement Sand,External,2,1,136
1592.12,Cement Sand,Internal,3,6,40
311.69,Gypsum,Both,1,7,5
64.81,Cement Sand,Both,1,1,11
453.87,Cement Sand,Internal,5,6,13
95.72,Cement Sand,External,1,4,4
1408.51,Cement Sand,Internal,3,4,53
232.94,Cement Sand,External,4,2,24
1331.29,Cement Sand,Both,2,8,31
900.46,Cement Sand,External,1,4,35
253.6,Cement Sand,External,1,4,10
159.54,Cement Sand,Both,1,19,1
1676.79,Cement Sand,Both,2,15,20
2381.95,Gypsum,Internal,1,9,22
1765.99,Cement Sand,Both,1,2,147
160.28,Cement Sand,Both,2,2,15
487.34,Cement Sand,External,2,6,14
2475.27,Cement Sand,Internal,1,4,77
65.29,Gypsum,Internal,1,6,1
